Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135
59,4.162791,6.122449,11.56152,7.774869,5.220183,5.555555,3.85,3,5.673611,5.59375,4.235294,26.05643,18.42724,27.24421,5.547369,6.604167,5,4,3,3.666667,4.271605,5.376471,5.029412,4,5,4.678571,5.5,5.25,6.45933,4.470588,5.040541,5.68421,4.578948,5.451852,3.5,4.625,5.081633,4.409091,5.416667,4.25,4.888889,4.214286,7.3,4.821429,4.552631,4.615385,5.362319,26.35431,5.188976,4.21519,4.515625,5.228571,22.52332,5.88,9.216418,7.692307,4.747127,5.217617,6.149254,5.590909,5.504273,8.456522,3.666667,7.420561,4.293103,5.793103,6.338983,4.822222,6.488636,5.958333,6.446215,5.550296,7.02439,6.555555,21.65037,6.893204,5.962963,7,5.942307,8.217021,5.12,6.5,5.9375,5.307693,19.51707,5.875,5.481818,5.902256,5.851563,6.163636,5.560345,6.582609,7.1,6.851852,6.3125,5.641148,7.366071,7.226191,6.161074,6.676471,7.324324,5.540541,10.16084,6,6.926829,7.216049,6.64151,5.1,5.75,7.166667,5.401575,5.376812,5.678571,4.217391,6.054054,5.5,5.910891,4.706897,5.891892,5,4.963636,6.155556,5.314516,7.730628,4.954545,5.405406,5.555555,7.397436,4,5.274194,5.028572,6.962963,5.977528,6.166667,5.333333,3.7
60,5.441861,6.285714,11.55705,7.748691,5.59633,5.259259,4.75,4,5.645833,5.546875,5.176471,26.15237,18.32508,27.72014,5.431579,6.515625,4,4,2.9,4.111111,4.82716,5.223529,4.397059,5.136364,4.163636,5.017857,5.8,5.25,6.358852,4.558824,5.216216,5.526316,4.421052,5.237037,4.25,4.972222,5.403061,4.681818,5.537037,4.336207,4.814815,5.085714,6.5,4.75,4.473684,4.7,5.304348,26.56954,5.354331,4.050633,4.617188,4.757143,22.46373,5.64,9.600746,5.923077,4.655172,5.316062,6.029851,4.886364,6.17094,8.691304,3.666667,7.261682,4.068965,6,6.474576,5.111111,6.590909,5.916667,6.306773,5.715976,6.937916,6.555555,21.63325,6.786408,6.444445,7.503937,5.903846,8.370213,5.333333,5.5,5.3125,4.769231,19.51707,6.1875,5.909091,5.721805,5.460938,6.218182,5.387931,6.156522,6.8,6.925926,5.916667,5.703349,6.986607,6.928571,6.395973,7.705883,6.97973,5.689189,10.44056,5,6.780488,6.87037,6.688679,5.2,6.5,7.166667,5.27559,5.536232,6,4.086957,5.936937,5.088235,5.425743,4,4.972973,4.157895,4.981818,6.583333,5.266129,7.649446,4.636364,5.405406,5.944445,7.378205,4.470588,5.080645,5.2,5.962963,6.039326,5.166667,4.933333,4.7
61,5.302326,5.714286,11.54586,7.774869,5.146789,5.592593,5.175,4,5.993055,5.640625,4.661765,25.9605,18.28483,27.86096,5.831579,6.432292,4,4,3,4.333333,4.716049,5.2,5.132353,3.818182,4.490909,5.017857,5.15,5.875,6.751196,4.279412,4.932433,4.578948,4.710526,5.42963,4,4.930555,5.535714,4.336364,5.555555,4.491379,4.925926,4.442857,6.5,4.089286,4.763158,4.961538,5.586957,26.76159,5.173228,4.050633,4.171875,4.414286,22.6943,5.84,9.283582,5.923077,4.597701,5.290155,5.985075,5.022727,5.948718,8.765218,4,7.481308,4.37931,6,5.762712,4.688889,6.920455,5.541667,6.091633,5.911242,6.964523,6.222222,21.72861,6.825243,5.962963,7.062992,5.942307,8.765958,5.813334,4.5,5.3125,5.153846,19.54878,5.632813,5.918182,5.842105,5.570313,6.363636,5.405172,6.626087,6.8,6.814815,6.09375,5.794259,7.473214,7.017857,6.57047,7,7.074324,5,10.12238,4.6,7.097561,6.58642,7.037736,5.3,5.75,7.166667,5.417323,5.318841,5.428571,4.173913,5.702703,5.264706,5.435644,4.948276,5.837838,5,4.890909,6.355556,5.491935,7.760148,5.045455,5.027027,5.472222,7.355769,4.588235,5.419355,5.8,6.222222,6,5.666667,5.266667,4
62,5.372093,6.020408,11.59284,7.832461,5.238532,5.407407,4.825,4,6.083333,5.40625,4.205883,25.97517,18.3096,27.67558,5.589474,6.796875,4,3.571429,3,4.351852,5.135802,5.105882,4.411765,4.045455,4.654545,4,5.55,5.875,6.842105,4.573529,5.135135,4.421052,3.5,5.22963,3.75,4.833333,5.127551,4.645454,5.62037,3.956897,5,4.771429,6.7,4.392857,5.210526,4.984615,4.949275,26.31457,5.574803,4.113924,4.617188,4.614286,22.07254,6,9.302238,6.076923,4.770115,5.341969,5.80597,5.613636,5.974359,8.786957,3.333333,7.523365,4.172414,5.413793,6.322034,4.288889,6.295455,5.770833,6.286852,5.532545,7.079823,5.888889,21.68215,6.92233,6.555555,7.161417,6.173077,8.4,5.133333,4.5,5.75,4.076923,19.48049,5.5,5.318182,5.661654,5.398438,6.4,5.517241,6.330435,5.8,6.994709,6.15625,5.880383,7.272321,6.934524,6.456376,7.617647,7.006757,4.864865,10.55944,5.8,6.487805,6.814815,7.283019,4.9,4,5.833333,5.559055,6.173913,5.178571,4.086957,5.81982,4.705883,5.306931,4.5,5.216216,4.157895,4.824243,6.438889,5.233871,7.926199,4.965909,5.135135,5.333333,7.233974,4,5.290323,4.8,6.555555,5.949438,5,5.255556,3.9
63,5,5.77551,11.61298,7.649215,5.660551,4.740741,4.35,4,5.743055,5.632813,4.661765,26.00677,18.52322,27.60428,5.842105,6.927083,4,3,3,4.703704,4.530864,5.035294,5.102941,4.045455,4.618182,4.714286,5.3,5.875,6.416268,4.764706,5.040541,4.421052,3.763158,5.259259,3.75,5.375,5.209184,4.409091,5.425926,4.12931,4.481482,4.114286,6.3,4.017857,4.447369,4.776923,5.601449,26.62252,5.68504,4.367089,4.976563,4.357143,22.26684,5.52,9.261194,5.923077,4.712644,5.212435,5.835821,4.886364,5.145299,8.669565,4.333333,7.663551,4.068965,5.517241,6.508474,4.288889,6.147727,5.416667,6.25498,5.573965,6.995565,4.666667,22.15403,6.805825,5.888889,7.181102,5.576923,8.20851,5.066667,4,6.0625,5.153846,19.41463,6.0625,6.127273,5.819549,5.132813,5.945455,5.517241,6.069565,7.6,6.449736,6.09375,5.727273,7.366071,6.958333,6.483222,7.735294,7.25,5.432433,10.05944,7.2,6.878049,6.91358,7.245283,5.1,5.25,6,5.212598,5.826087,5.875,4.782609,5.855856,6.088235,6.089109,4.672414,5.864865,3.578947,4.375758,6.177778,5.16129,7.900369,5.022727,5.540541,5.083333,7.317307,4,5.129032,5.914286,6.962963,6.280899,5.5,4.511111,5
64,5.093023,5.77551,11.76734,7.706806,5.385321,5.925926,4.375,4,5.729167,5.21875,4.75,25.8781,18.68731,27.75758,6.147368,6.598958,4,4,3,3.962963,5.049383,5.294117,5.058824,3.818182,4.2,4.928571,6.5,5.25,6.272727,4.294117,5.405406,5.157895,4.078948,5.296296,3.5,4.652778,5.510204,4.736363,4.87037,4.310345,5.222222,4.714286,5.4,4.125,4.342105,4.930769,5.717391,26.66887,5.346457,3.898734,5.0625,5.057143,22.70984,6.12,9.313433,6,4.747127,5.42487,5.835821,5.090909,5.153846,8.765218,3.666667,7.691589,4.293103,5.793103,5.525424,4,6.022727,5.125,6.521913,5.609468,6.722838,5.333333,21.32029,6.669903,6.444445,6.893701,6.096154,8.268085,5.253334,4.5,5.625,4.923077,19.84146,5.578125,5.227273,5.924812,5.257813,6.218182,5.646552,6.469565,7.3,6.703704,5.791667,5.569378,7.227679,7.315476,6.322148,7.264706,7.114865,4.783784,9.958042,6.4,6.487805,6.839506,7,4,6,5.416667,5.393701,5.811594,5.267857,4.130435,6,4.705883,5.613862,4.465517,6.081081,4,4.806061,6.411111,5.040323,7.538745,4.511364,5.486486,5.305555,7.266026,4,5.403226,5.942857,6.37037,6.247191,5.833333,4.711111,4
65,4.837209,5.346939,11.4094,7.680628,5.348624,4.62963,4.575,4,5.548611,5.601563,4.308824,26.04628,18.67492,27.68806,5.936842,6.786458,4,4,3,4.444445,4.975308,5.270588,4.338235,3.863636,4.345455,4.625,5.3,5.875,6.545455,4.397059,5.432433,5,3.578947,5.62963,4,4.625,5.428571,4.790909,5.231482,4.663793,5.333333,4.8,5.4,4.732143,4.342105,5.130769,5.413043,27,5.574803,4.316456,4.351563,5.042857,22.66062,5.92,9.328359,6.923077,4.62069,5.150259,5.671642,4.954545,5.205128,8.752174,4.333333,7.53271,4.534483,5.793103,6.271186,4,5.909091,5.854167,6.366534,5.621302,7.011086,5.333333,22.13203,6.936893,5.777778,7.035433,6.211538,8.514894,5.186666,4,6.5,4,19.79024,5.648438,6.018182,5.924812,5.28125,5.927273,5.318965,5.878261,6.5,6.783069,6.21875,5.69378,7.25,7.035714,6.181208,6.941176,7.027027,5.135135,10.12238,6.2,6.317073,7.006173,7.349057,5.1,5.75,6.166667,5.393701,6.173913,5.696429,4.695652,5.36036,5.088235,5.613862,4.758621,4.972973,4.157895,4.709091,6.477778,5.346774,7.870849,4.647727,5.378378,5.138889,7.342949,4,5.483871,5.257143,5.740741,5.955056,5.666667,5.033333,5.2
66,4.395349,5.469388,11.50336,7.413612,5.165138,5.444445,3.85,3,5.902778,5.617188,4.338235,25.93792,18.31269,27.39038,5.494737,6.630208,3.5,3,3,3.666667,4.666667,5.835294,4.720588,4.409091,4.254546,4.910714,5.45,5.25,6.5311,4.25,5.081081,5.368421,4.710526,5.162963,4,4.680555,5.352041,4.681818,4.898148,4.62931,4.888889,4.6,6.3,4.142857,4.31579,4.861538,5.804348,26.92384,4.96063,4.113924,4.273438,4.114286,22.43005,5.44,9.294776,6,4.643678,5.694301,5.522388,5.318182,5.40171,8.234782,3.666667,7.64486,4.465517,5.965517,6.40678,4,5.965909,5.416667,6.278884,5.35503,7.008869,5.333333,21.75061,6.548543,5.777778,6.807086,6.115385,8.540425,5.826667,4.5,5.5625,4.384615,19.41463,5.945313,5.672727,5.984962,5.28125,6.036364,5.5,6.295652,7.3,6.820106,5.96875,5.650718,7.178571,7.089286,6.57047,7.117647,7.121622,4.824324,10.18532,6.8,7.219512,6.759259,6.811321,4.9,5.5,5.75,5.354331,5.73913,5.428571,4.391304,5.513514,4.823529,6.069307,4,4.972973,4.157895,5.024242,6.027778,5.370968,7.723247,4.954545,5.648649,5.361111,7.285256,4,5.258065,4.857143,6.333333,5.97191,5.666667,5.033333,4
67,4.116279,6.142857,11.63982,7.513089,5.788991,5.925926,4.775,4,5.875,5.484375,4.647059,26.22122,18.60062,27.57041,5.652632,6.8125,4,4,4.1,4.018518,5.320988,5.235294,5.058824,4,4.327273,4.571429,6.05,5.875,6.770335,4.911765,5.472973,4,4.710526,5.140741,4.25,4.736111,5.515306,4.7,5.416667,4.5,4.37037,4.028572,6.3,4.017857,4.210526,5.138462,5.652174,26.43377,5.614173,4.35443,4.148438,5.428571,22.29534,5.48,9.675373,6,4.643678,5.26943,5.656716,4.636364,5.316239,8.743478,4,7.995327,4.293103,5.965517,6.372881,4,6.136364,5,6.354582,5.443787,6.838138,5,21.91932,6.88835,6.37037,6.744094,5.75,8.382978,5.28,5.5,5.625,4.923077,19.52439,5.546875,5.527273,5.87218,5.945313,5.945455,5.344828,6.478261,6.5,6.740741,6.166667,5.861244,7.165179,7.113095,6.067114,7.588235,7.385135,5.013514,10.03846,6,7.097561,6.728395,6.933962,5.1,6.5,4.75,5.27559,6.246377,5.142857,4.73913,5.315315,4.794117,5.910891,4.534483,6.162162,4.157895,4.624242,6.2,5.233871,7.830258,4.352273,4.324324,5.5,7.333333,4,5.741935,5.514286,5.703704,6.264045,6.166667,5.155556,4.7
68,4.186047,5.081633,11.82774,7.759162,5.798165,5.222222,4.625,4,5.576389,5.453125,4.147059,26.20993,18.67492,27.69519,5.526316,6.203125,4.5,3.857143,4,3.666667,4.802469,5.388235,5.014706,4,4.254546,4.553571,5.3,4.25,6.157895,4.691176,5.27027,4,4.789474,5.6,4.5,4.708333,5.209184,4.718182,4.916667,4.474138,5.333333,5.014286,6.7,4.035714,4.394737,5.107692,5.905797,26.46358,5.220472,4.21519,4.34375,4.842857,22.70466,5.68,9.380597,5.923077,4.632184,5.492228,5.134328,5.204545,5.196581,8.830435,3.333333,7.920561,4.465517,5.793103,6.440678,4.288889,6.022727,5.3125,6.330678,5.597633,7.093126,5.222222,21.44499,6.781553,6.074074,6.874016,6.153846,8.587234,5.133333,4,5.875,4.076923,19.59512,5.585938,5.609091,5.774436,5.53125,6.345455,5.318965,6.269565,7.6,6.671957,6.177083,5.703349,7.147321,6.797619,6.33557,7.264706,7.006757,5.202703,10.28322,3.8,6.219512,6.808642,7.216981,4.9,5.5,6.333333,6.173228,5.405797,4.892857,4.304348,5.837838,4.323529,5.445545,4.87931,5.945946,5,4.739394,6.038889,5.274194,7.99262,4.977273,5.135135,5.305555,7.24359,4,4.935484,5.714286,6.074074,5.882022,5.166667,5.2,4
69,5.209302,4.795918,11.63758,7.581152,5.302752,5.222222,4.5,4,5.826389,5.359375,4.779412,26.15463,18.65944,27.78253,5.757895,6.822917,5.5,4,3,4.425926,4.395061,5.247059,4.058824,4.409091,4.109091,5.25,4.7,5.25,6.708134,4.485294,5.283784,5.368421,4.578948,5.259259,4.25,4.638889,5.336735,4.636364,5.157407,4.301724,4.814815,4.957143,6.6,4.785714,4.157895,5.161539,5.753623,26.45364,5.299212,4.126582,4.320313,5.014286,22.36788,5.28,9.272388,5.923077,4.574713,5.430052,5.208955,5.431818,5.418803,8.682609,4.666667,7.313084,4.344828,5.965517,5.59322,4,5.590909,5.25,6.434263,5.828403,6.871397,6.444445,21.73594,6.601942,5.888889,7.015748,6.211538,8.480851,5.053333,5,6,4.692307,19.51464,5.648438,5.881818,5.699248,5.054688,6.2,5.75,6.426087,7,6.867725,6.104167,5.904306,6.982143,7.130952,6.630872,7.058824,7.182433,5.22973,10.09091,5.6,6.487805,6.666667,7.160378,5,6.5,5.75,5.322834,5.594203,4.964286,5.173913,5.504505,4.323529,5.366337,4.672414,4.972973,3.578947,4.890909,6.333333,4.951613,7.553505,4.25,5.135135,4.972222,7.314103,4,5.032258,5.628572,7.222222,6.14045,5.666667,5.277778,5.2
70,4.069767,4.571429,11.73826,7.764398,5.770642,5.037037,4.775,4,5.847222,5.601563,5.191176,26.0158,18.82663,27.86631,5.778947,6.6875,4,3.857143,3,4.62963,4.469136,5.470588,4.235294,4,3.963636,5.053571,6,5.25,6.631579,4.544117,5.675676,5,4.105263,5.681481,4.25,4.861111,5.260204,4.718182,4.935185,5.068965,4.925926,4,7.3,4.357143,4.289474,5.038462,5.362319,26.61921,5.456693,4.025316,4.320313,5.728571,22.47409,5.84,9.350746,7,4.62069,5.378238,5.582089,5.295455,5.034188,8.343478,3.333333,7.299066,4.465517,5.655172,5.627119,4,5.136364,5.458333,6.729084,5.727811,6.727273,7.222222,21.92665,6.834951,5.407407,6.96063,5.807693,8.476596,5.2,5,5.9375,5.153846,19.51707,5.71875,5.945455,5.729323,5.914063,5.854546,5.568965,6.4,6.5,6.830688,6.072917,5.593301,7.348214,7.208333,6.38255,7.117647,7.22973,4.648649,10.15385,7.4,6.341464,6.808642,6.85849,5.3,6.5,6.166667,5.740158,5.652174,5.5,4.478261,5.288288,5.647059,5.623763,4.586207,5.864865,4.578948,4.593939,6.905556,5.596774,7.678967,4.943182,5.351351,5.305555,7.403846,4.470588,5.370968,5.971428,6.666667,6.151685,5.5,5.388889,4
71,5.441861,4.897959,11.73378,7.884817,5.798165,5.407407,3.725,4,5.798611,5.5,4.661765,25.82506,18.69969,27.82531,5.621053,6.416667,4,4,3,4.185185,4.814815,5.352941,4.323529,4.318182,4.163636,4.392857,5.65,5.25,6.516747,4.397059,5.459459,4.263158,3.657895,5.311111,3.75,4.319445,5.505102,4.463636,4.861111,4.887931,4.925926,5.014286,6.7,4.303571,4,4.923077,5.731884,26.4702,5.417323,4.240506,4.21875,5.385714,22.72539,6.08,9.294776,5.923077,4.574713,5.259068,5.19403,4.795455,4.74359,8.439131,3.666667,7.537383,3.793103,5.655172,6.525424,4,5.147727,4.875,6.422311,5.721893,6.83592,5.888889,21.84352,6.941748,5.037037,6.992126,5.980769,8.378723,5.546667,4.5,5.8125,4.076923,19.67805,6.039063,5.809091,6.015038,6.164063,6.018182,5.327586,6.426087,6.9,7.259259,5.927083,5.732058,7.080357,6.940476,6.577181,7.411765,7.033784,5.5,10.0979,6.4,6.487805,6.87037,7.301887,7,5.75,7.083333,5.188976,6.202899,5.571429,4.826087,5.621622,5.117647,5.940594,4.155172,4.972973,4.157895,5.145454,6.744444,5.395161,7.405904,4.806818,5.621622,5.75,7.451923,4.352941,5.516129,5.657143,6.851852,6.08427,4.666667,5.422222,4
72,4.511628,6.77551,11.43624,7.926702,5.339449,6.222222,5.575,3,6.465278,6.609375,4.397059,26.31603,19.30031,27.67023,5.884211,7.671875,6,4,4,4.277778,5.234568,5.776471,4.602941,6.954545,5.127273,5.053571,6,5.25,6.789474,4.602941,7.608108,5.210526,4.631579,5.355556,5,4.833333,5.77551,4.590909,6.962963,5.25,4.444445,7.1,7.5,6.964286,7.868421,5.538462,6.681159,27.23179,6.283464,4.772152,4.320313,5.628572,23.07772,6.56,9.652985,4.923077,4.827586,5.974093,6.865672,4.568182,5.974359,8.917392,4.666667,7.537383,4.637931,5.62069,8.915255,6.022222,6.431818,4.75,7.916335,5.585799,7.472284,7.555555,22.6357,7.320388,5.037037,9.07874,7.75,8.229787,5.093333,4.5,7.0625,4.461538,20.09512,6.007813,6.281818,6.714286,6.007813,5.581818,7,6.930435,6,7.661376,7.041667,6.526316,7.558036,6.809524,7.087248,7.352941,8.655405,4.864865,10.21678,6.2,6.341464,7.716049,8.95283,9.6,5.75,7.583333,6.472441,8.014493,4.946429,5.782609,8.810811,5.088235,5.574257,4.827586,5.837838,4.578948,6.333333,6.683333,5.274194,7.852398,5.125,5.297297,5.527778,7.298077,6.352941,4.596774,4.971428,6.111111,6.657303,4,4.977778,6.3
73,5.255814,7.77551,11.68456,8.172775,5.550459,6.407407,4.85,4,6.854167,7.367188,4.544117,26.1219,19.14861,27.77005,6.010526,7.703125,6,5,4.9,4.851852,4.765432,7.094118,4.441176,6.454545,5.509091,5.017857,5.3,3.375,6.746411,4.985294,7.837838,4.578948,4.605263,4.814815,4.75,5.333333,6.040816,4.281818,7.314815,4.301724,4.777778,7.414286,6.3,6.892857,8.526316,5.784616,6.485507,27.50993,6.19685,5.012658,4.28125,5.485714,23.11658,7.08,9.843284,5.923077,4.735632,5.875648,7.507463,5.227273,6.65812,9.16087,4,7.518692,4.431035,5.793103,9.864407,6.844444,6.568182,5.125,8.131474,5.39645,7.388027,6.222222,22.21516,7.203884,4.62963,9.598425,7.519231,8.251064,5.493333,5,6.375,4.461538,20.06342,6.015625,6.690909,6.293233,5.6875,6.090909,6.758621,7.208696,5.1,7.835979,6.989583,6.38756,7.433036,6.857143,7.040268,7.470588,9.391891,4.972973,10.43007,6.4,6.926829,8.012345,8.820755,10.8,6.75,7.25,5.511811,8.217391,5.535714,5.391304,9.117117,5.088235,6.19802,4.793103,5.486486,5,6.406061,7.211111,5.225806,7.605166,4.761364,5.540541,6.027778,7.224359,7.470588,4.693548,4.542857,5.962963,6.573034,4.666667,4.855556,5.5
74,4.534883,9,11.83669,7.827225,5.678899,6.703704,4.45,5,6.9375,7.15625,4.588235,26.32619,19.17337,27.63102,6.431579,7.828125,7,6,4.5,4.851852,4.185185,7.42353,4.382353,6.704545,5.636364,4.946429,5.8,6.75,6.784689,4.794117,7.418919,4.68421,4.447369,5.044445,5,5.083333,6.112245,4.690909,8.111111,5.327586,4.962963,6.957143,6.7,7.392857,9.5,6.076923,6.384058,27.0298,6.448819,5.063291,4.1875,4.385714,23.40674,6.76,9.645522,5.923077,4.735632,5.860104,7.80597,5.454545,6.709402,9.782609,3.666667,7.471962,4.637931,5.758621,9.610169,6.733333,7.034091,5.020833,8.135458,5.236686,7.718403,7.555555,22.34963,7.339806,4.259259,9.874016,7.288462,8.425532,5.506667,5,7.25,3.615385,20.11707,5.835938,6.972727,6.69173,6.539063,5.909091,6.775862,7.721739,6.5,7.756614,7.385417,6.564593,6.96875,7.041667,7.134228,7.676471,9.168919,4.743243,10.76573,6,6.292683,7.728395,9.943397,11.4,4.75,6.666667,5.811024,8.028986,5.107143,5.913043,8.657658,4.294117,6.039604,4.827586,6,5.210526,6.10303,7.038889,5.564516,7.789668,5.125,5.108108,5.222222,7.099359,8.294118,4.629032,5.114286,5.925926,6.561798,4.666667,5.166667,4.7
75,5.604651,8.979591,11.84564,7.905759,5.761468,7.407407,5.1,5,6.611111,6.984375,4.691176,26.16704,19.42415,28.01961,6.252632,7.927083,8,6,5,4.481482,4.728395,7.035294,5,7.227273,5.836364,5.089286,6.8,4.25,6.392344,4.544117,7.243243,5.157895,4.447369,4.792593,5.25,5.055555,6.081633,4.636364,7.842593,4.663793,4.777778,6.628572,7.2,7.232143,10.23684,5.8,6.5,27.10265,6.086614,5.265823,4.164063,5.1,23.01554,7.4,9.802238,6.461538,4.643678,6.264249,8.522388,5.363636,7.008547,9.365217,3.666667,7.551402,4.344828,5.517241,9.593221,7.711111,7.238636,4.979167,7.864542,5.242604,7.680709,6.555555,22.15648,7.398058,5.222222,9.515748,8.192307,8.302128,5.48,4.5,7.875,4.076923,20.18049,5.828125,6.754546,6.18797,6.382813,6.363636,6.758621,7.713044,6.3,7.708995,8,6.770335,7.477679,7.172619,7.771812,7.970588,8.918919,5.027027,10.61888,7,7.170732,7.641975,9.726415,11.1,4.5,7.166667,5.598425,8.84058,4.857143,5.608696,8.378378,5.088235,5.772277,4.948276,6.189189,4,6.024242,7.433333,5.209677,8.04059,4.534091,4.72973,5.055555,7.583333,8.294118,4.483871,5.228571,5.259259,6.286517,4.666667,5.233333,5.4
76,4.441861,8.734694,12.06711,7.701571,5.93578,6.814815,5.275,5,6.902778,7.609375,4.764706,26.39503,19.26935,27.85027,6.105263,7.78125,8.5,5.571429,4.55,4.111111,4.08642,6.847059,4.941176,7.181818,6.163636,4.875,5.6,4.75,6.38756,5.088235,7.756757,4.789474,3.473684,5.2,5.5,5.25,5.964286,4.663636,8.916667,4.681035,4.703704,7.028572,6.7,7.857143,9.868421,5.984615,6.746377,27.2053,6.291338,5.088608,4.28125,5.157143,22.95596,7,9.929105,6,4.666667,6.279793,9.597015,5.954545,7.128205,9.234782,4.333333,7.78972,4.603448,6.103448,9.694915,7.222222,7,4.895833,8.207171,5.710059,7.840355,6.222222,22.47433,7.359223,4.925926,9.5,9,8.459575,5.053333,5.5,7.875,4.076923,20.08537,5.890625,7.281818,6.12782,6.328125,5.781818,6.603448,7.695652,5.9,7.814815,7.5625,6.617225,7.308036,6.964286,7.724832,7.323529,8.72973,4.797297,10.68532,7.6,6.341464,7.901235,9.462264,11.1,4.75,8.333333,5.929134,8.434783,5.232143,5.26087,8.423424,5.264706,6.039604,4.931035,6,4,6.030303,7.577778,5.306452,7.793358,4.375,5.540541,5.277778,7.339744,8.882353,4.935484,5.142857,6.666667,6.544944,4,5.277778,6.2
77,5.418605,8.795918,11.80537,7.78534,6.091743,7.407407,4.525,5,6.222222,7.234375,3.941176,26.20767,19.49536,27.98039,6.326316,7.671875,7,6,4.1,4.796296,4.382716,6.894118,4.455883,6.727273,6.4,5.160714,5.4,5.25,6.425838,4.838235,7.891892,5.210526,4.605263,5.348148,5.75,5,6.290816,4.727273,8.805555,4.491379,4.481482,7.257143,6.5,7.839286,9.868421,5.446154,6.804348,26.88742,6.27559,5.253165,4.1875,5.1,23.21243,6.76,9.630597,5.384615,4.609195,6.331606,9.626865,4.977273,7.666667,9.313044,3.666667,7.621495,4.344828,6.103448,9.474576,7.533333,7.477273,5.020833,8.25498,5.704142,7.627494,7.222222,22.23961,7.514563,5.740741,9.641732,7.923077,8.319149,5.48,4.5,7.4375,4.076923,20.20732,5.59375,7.290909,6.398496,6.28125,5.872727,6.258621,7.530435,5.5,7.777778,7.635417,6.717703,7.727679,7,7.228188,7.735294,8.777027,5.081081,10.39161,6.2,6.219512,8.080247,9.613208,10.6,5,6.583333,6.094488,8.710145,5.196429,5.130435,8.171171,5.117647,5.990099,4.793103,5.945946,4.578948,6.2,7.366667,5.75,7.830258,4.545455,5.054054,5.388889,7.576923,8.764706,5,5.371428,6.62963,6.837079,4.333333,5.211111,5.6
78,5.395349,9.367347,11.87472,8.125654,6.009174,6.851852,4.975,6,6.736111,7.601563,4.102941,26.17269,19.13932,27.68271,5.757895,7.838542,9.5,6,5,4.5,4.345679,6.788235,5,7.613636,5.963636,5.142857,5.7,5.375,6.440191,4.823529,7.540541,4.894737,4.31579,5.333333,6.75,5.25,6.301021,4.227273,8.796296,4.456897,5.37037,7.028572,6.7,7.839286,10.39474,5.369231,6.811594,27.15563,6.244094,5.025316,4.0625,4.828571,23.34456,6.84,9.682836,4.692307,4.574713,6.088083,9.686567,5.272727,7.717949,9.152174,3.333333,7.579439,4.258621,6.137931,9.305085,7.8,7.829545,5.145833,7.844622,5.378698,7.807096,6.777778,22.09535,7.402913,4.962963,9.401575,8.384615,8.259575,5.106667,4.5,7.25,4.461538,20.14146,6.132813,7.309091,6.353384,6.140625,6.054545,6.5,8.130435,7.65,7.677248,7.614583,6.755981,7.191964,7.202381,7.731544,7.441176,8.939189,4.837838,10.48951,5.8,6.219512,8.12963,9.632075,10.4,6.5,6.833333,5.72441,9.333333,5.285714,5.956522,8.045045,5,6.039604,4.517241,5.054054,4.578948,5.690909,7.65,5.387097,7.712177,5.090909,5.675676,5.027778,7.317307,8.647058,4.387097,4.742857,6.222222,6.516854,4,5.244444,5
