Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129
10,16,14,13.75,15.16667,15.76522,16.51449,13.56522,13.46667,15,14.31818,13.57143,15.29808,12.33333,16.49398,20.04173,15,12.25,12.25,16.96227,14.57143,12,13.9,14.36364,12.22222,18,14.88298,44.75928,12.68,15.69032,10,12.64815,15.02,11.57143,12,15.28159,11.7,14.25424,19,15,12.27778,17.41505,15.18182,11.71875,14.71698,26.42711,11.5,15.27517,15.7316,11.3,14,15.23077,18.36364,25.08203,15.40268,14.55556,12.5,13.36,17.35484,15.8,19.47767,14.14286,16.06667,15.44186,16.49429,16.65909,15.50256,24.29985,12.92308,18.77778,14.26667,14.68085,16.23656,16.15385,14.68182,14,13.86957,17.93617,14.35897,16.20879,16.34021,14.67347,15.72881,9.333333,15.18182,17.52954,14.72832,16.655,15.58571,14.125,18.57627,16.62162,14.57143,18.7721,18.85455,17.90042,18.125,17.18072,18.91148,15.55556,15.68,17.11111,16.86842,15.57627,13,14,18.23636,26.38676,13.53061,15.36,15.75472,16.27068,14.99115,18.33209,14.80198,14.91177,16.13265,16.65385,15.08,12.5,11.81818,15.5,13.74468,16.93373,17.1498,18,13,14.40984,13.66667,16.33809,14.59804
11,13,12.33333,16.375,14.33333,15.92174,16.95652,12.6087,14.06667,14,14.27273,13,14.61539,16,17.38153,20.64083,14,12.65,16,16.52201,14.85714,17,14.76,14.45455,14.66667,15.5,14.23404,44.64891,13.68,16.1871,14,12.77778,15.31,11,13.66667,15.50181,13.28,14.38418,17.125,13,13.22222,17.88172,12.81818,14.84375,14.81132,26.95652,12,16.12081,16.09524,13.4,13.71429,16.61539,17.63636,25.53711,15.52349,14.03704,13.9,13.88,18.25806,16.9,19.39029,14.61654,14.73333,15.2907,16.80571,16.11364,14.89231,24.38204,13.07692,18.78004,14.7,13.91489,15.77419,15.07692,14.22727,11,13.47826,17.50638,15.61539,16.64835,17.42268,15.62245,15.28814,8.666667,15.18182,17.34177,15.72832,18.08,16.37143,14.875,17.0339,17.09459,12.71429,18.50479,18.18182,18.34025,18.84375,17,18.65311,16.79167,16.44,17.44444,16.73684,16.36441,12.8,12,18.78182,26.47129,14.20408,15.16,15.54717,17.23308,15.30089,18.5,15.40594,13.52941,15.60204,17.76923,15.2,12.83333,11.90909,16.75,14.93617,17.08735,16.82996,17.83333,13.1,15.13934,13.16667,16.00952,15.02941
12,16,13.66667,14.125,16.33333,15.88696,17.32609,12.47826,13.93333,12,15.63636,14.28571,15.125,14.33333,16.87952,20.77099,15.5,13.6,13.25,16.68554,14.82857,13,14.18,15.36364,13.77778,13,15.52128,44.63463,13.84,15.95484,14,12.98148,15.22,14.14286,11.83333,15.07942,12.24,14.0904,18.125,17.33333,13,17.59785,14.36364,14.28125,14.69811,26.78772,15.5,15.38926,16.7013,12.2,14.5,16.1282,15.27273,25.81836,14.91946,14.18519,15.3,14.64,16.45161,13.9,19.53592,15.18797,15.2,15.39535,16.22857,14.79545,15.78462,24.0624,13.07692,18.28798,15.23333,13.80851,15.33333,14.30769,13.40909,10,14.34783,18.26383,14.75641,16.8022,17.08247,15.17347,15.72881,15,15.09091,17.23629,15.13295,17.76,17.2,16.20833,18.47458,17.06757,17.42857,18.64537,18.38182,18.03734,18,17.46386,19.24163,16.86111,16.4,15.88889,16.51316,16.88983,13.4,16,19.01818,26.5319,14.23265,16.24,16.17924,17.27068,15.67257,18.84328,15.83168,14.52941,16.20408,16.46154,14.52,12.5,12.63636,15.33333,15.44681,17.14759,16.8664,19,13.35,15.17213,13,16.43333,15.46078
13,16,14,16.25,14.16667,15.94783,17.30435,12.73913,12.6,13,15.31818,12.85714,15.83654,11.33333,16.96787,20.31793,17,13.3,13.5,16.68868,15.68571,12,14.48,13.45455,13.88889,13.5,15.31915,44.73169,12.44,15.93548,14,12.81481,15.17,14.85714,15.5,15.05415,13.38,14.51977,16.875,12.33333,12.66667,17.84731,15.72727,14.28125,14.86792,27.23018,13.5,15.62416,15.93939,12.9,15.14286,15.58974,20.09091,25.7168,15.6443,14.66667,12.7,13.84,17.09678,15.5,19.93689,14.71429,18.36667,15.16279,17.17143,15.77273,16.36923,24.2519,14,19.04082,15.75,14.44681,16.33333,16.23077,14.22727,14,14.6087,18.26809,15.58974,15.87912,16,14.7449,16.0339,12.33333,16.45455,17.29958,15.88439,17.56,16.68571,15.20833,17.91525,17.01351,15,18.70288,18.89091,18.14315,18.71875,17.09036,19.00479,15.91667,17.48,16.11111,16.52632,15.82203,10.6,14.5,19.28182,26.54226,14.19184,16.28,15.45283,16.06767,14.49557,18.85821,14.92079,15,16.73469,15.65385,14.72,13.66667,12.27273,14.66667,13.7234,17.49096,16.78947,16.5,13.75,14.90984,15.5,17.0619,16.18627
14,14.66667,15,14.625,14.33333,16.49565,16.64493,12.3913,13.33333,12,14.95455,12,15.21154,11,17.18474,20.29558,13,14.35,13.25,16.65094,13.77143,15,14.06,16.81818,11.33333,15.5,14.1383,44.10086,13.4,15.9871,13,13.01852,15.285,12.14286,14.83333,14.92058,13.34,14.27119,19.25,14.33333,16.22222,17.5828,13.27273,12.78125,14.75472,26.80563,12.5,16.02685,16.04762,13.2,15,15.21795,15.54545,25.97656,15.87248,14.18519,15.4,12.6,16.74194,17.1,19.38835,14.53383,15.46667,15.5814,16.63714,16.31818,15.81026,24.4102,15.92308,19.38095,14.61667,14.14894,16.70968,14.30769,15.31818,11,14.58696,18.24255,14.97436,16.58791,16.98969,15.26531,15.15254,11,16.36364,17.48312,15.09827,17.36,15.95714,15.04167,18.25424,16.74324,15,18.78701,18.92727,18.42324,18.34375,16.25301,18.63876,16.36111,15.28,16.44444,16.14474,16.75424,16,13,19,26.57974,14.14286,15.6,15.30189,16.46617,16.18584,19.25373,16.38614,13.14706,15.79592,15.96154,15.24,12.41667,11.18182,13.83333,15.19149,17.37651,16.47368,15.33333,13.7,15.62295,12.5,16.90952,15.28431
15,13.66667,16,15.875,14.83333,14.84348,16.8913,13.86957,12.8,13,14.68182,13.28571,14.86539,12.33333,16.67068,20.43517,12,12.35,12.25,17.12893,15.2,15,14.2,16.27273,12.88889,16,14.71277,43.98192,13.28,16.17419,15,13.14815,15.44,14.28571,12.16667,15.31769,12.54,14.59887,15.875,17.66667,13,17.66022,11.90909,13.40625,14.16981,27.27366,12,16.00671,16.28139,11.3,15.64286,16.28205,17.54545,25.48242,15.57718,13.62963,15,13.4,17.22581,16.2,19.69417,15.2782,16.56667,16,17.21714,15.56818,16.67179,24.32648,14.84615,18.89796,15.01667,13.76596,16.41936,14.76923,14.04545,11,14.3913,18.8,14.38461,16.97253,17.07216,15.61224,16.72881,14,14.54545,17.92827,15.2659,17.51,18.11429,15.79167,17.89831,17.08108,18,18.51012,18.78182,18.3361,19.4375,16.89157,18.73923,15.80556,14.32,18.77778,17.60526,16.61017,13.2,12.5,18.46364,26.626,14.29388,16.12,15.51887,16.93233,14.43363,18.49627,16.24752,13.17647,16.80612,16.23077,15.48,12.16667,13.27273,16,14.08511,17.82831,17.45344,17.16667,13.95,15.10656,12,16.63333,15.32353
16,14.66667,13.66667,13.25,17,15.26087,16.65942,12.21739,14.53333,16,12.72727,12.71429,15.25,11.66667,16.82731,20.29061,13,12.9,13.5,16.8522,14.05714,18,13.64,16.18182,14.22222,16,14.28723,43.39201,12.68,15.34194,13,12.98148,15.495,14,16.66667,15.99639,13.4,14.07345,15.375,13,13.33333,17.81936,12.63636,11.71875,15.11321,27.14067,13.5,15.85906,15.63636,13.4,16,15.08974,16,25.74023,15.73154,14.03704,15,13.36,16.45161,16,19.43398,15.17293,16.06667,15.11628,17.06286,16.97727,15.78974,24.15297,13.84615,19.15193,15.88333,13.40425,15.67742,12.30769,15,15,14.23913,17.86383,15.42308,16.14286,16.5567,15.46939,15.88136,11.33333,16.63636,17.27004,14.62428,17.05,17.44286,14.95833,18.20339,17.90541,14.57143,18.49947,18.45455,18.03112,18.90625,16.72892,18.82297,14.83333,16.72,16.77778,16.77632,16.94915,12.2,12.5,19.13636,26.05502,14.74694,16.92,14.56604,15.97744,15.16814,19.12687,16.30693,13.17647,16.23469,16.42308,15.76,11,12.63636,14.66667,13.89362,16.61747,17.2915,15.33333,13.15,14.7459,12.33333,16.65714,15.69608
17,16,10.66667,17,18.83333,15.28696,16.5942,13.91304,13.8,18,15.86364,9.714286,15.16346,12,17.1245,20.28217,13.5,13.4,11.25,16.90566,14.45714,12,13.8,15.09091,12.44444,18,14.84043,43.31874,13.04,16.27742,14,12.72222,15.015,10.14286,14.16667,15.34296,13.36,14.40113,16.875,14,12.22222,17.86021,14.18182,12.40625,13.79245,26.89258,14,16.32215,15.88745,12.1,16,15.28205,17.81818,25.69141,15.08725,13,15.4,13.6,16.93548,17.1,19.50874,14.84962,15.56667,14.81395,16.80571,15.45455,16.18462,24.38356,13.92308,18.36961,15.06667,13.53191,16.65591,16.23077,14.77273,14,14.15217,18.05532,14.64103,16.31319,16.2268,15.67347,16.17797,14,15.81818,17.18143,15.14451,17.485,17.65714,14.875,19.49153,18.06757,13,18.87646,18.96364,18.64938,19.125,16.91566,19.28947,15.47222,16.24,16.11111,17.09211,16.40678,11,17,18.9,26.27033,16.09388,16.72,16.0566,15.66917,15.04425,18.87687,15.89109,14.23529,16.32653,17.19231,14.64,14.25,12.18182,14.41667,14.51064,16.87349,17.19028,19.33333,13.6,14.85246,11.33333,17.31429,14.83333
18,15,11.66667,14.625,15.5,16.13043,17.46377,14.56522,12.6,12,14.63636,12.28571,14.79808,13,17.3012,20.57625,14,12.5,13.75,17.05975,13.37143,15,14.78,15.63636,13.44444,10.5,14.32979,43.86204,13.2,15.71613,11,12.64815,15.07,13.85714,13,15.47292,13.12,14.22034,16.5,10,11.72222,17.56344,12.72727,12.03125,14.77359,27.32225,13,15.48322,15.86147,12.6,13,16.23077,15.09091,25.60547,15.95302,14.25926,14.2,13.04,17.48387,15.5,19.13204,14.81955,16.5,16.30233,17.25714,16.79545,15.47692,24.07686,14.53846,18.63039,14.58333,14.59575,16.34409,15,15.27273,11,14.73913,18.48085,15.38461,16.62088,16.79381,15.4898,16.44068,13.66667,16.18182,17.63291,15.65896,17.79,17.91429,15.16667,18.40678,16.93243,13.57143,18.7082,19.61818,18.62656,18.78125,16.93373,19.03828,14.19444,15.64,17.66667,16.97368,16.59322,13.6,14,18.79091,26.23525,18.18776,16.16,16.17924,17.13534,16.0177,19.14179,17.30693,13.79412,16.59184,16.61539,16.68,12.66667,13.09091,14.66667,14.42553,17.99398,17.2915,14.66667,15.55,15.89344,15.33333,17.10476,15.82353
19,17.66667,12.33333,14,16.16667,16.06087,16.55797,12.21739,13.26667,12,14.13636,12.14286,14.93269,11,17,20.09389,15,11.8,13.25,16.86478,14.97143,9,14.4,14.27273,14.33333,17.5,15.70213,44.69363,13.52,15.28387,10,11.85185,14.97,12.57143,13.66667,15.83755,13.24,14.54802,17.5,15.33333,14.05556,18.16774,13.36364,12.625,14.33962,27.23529,13,15.80537,16.44156,12.6,13.64286,17.1282,16.36364,26.07813,15.83221,12.85185,14.9,13.96,19,15.1,19.39029,15.27068,15.7,15.59302,17.09429,17.18182,16.22564,24.20243,13.84615,18.70975,14.78333,14.95745,17.83871,15.84615,15.22727,12,15.08696,18.1617,14.64103,16.74725,17.27835,16.02041,15.66102,14,15.18182,17.95781,15.55491,17.705,18.5,15.5,18.38983,17.10811,15.85714,18.56869,20.76364,18.66183,19,16.92771,19.27033,15.44444,15,16.44444,17.21053,15.55085,13.2,15,18.62727,26.58612,17.98367,17.28,15.57547,16.89474,15.95575,19.35448,15.74257,13.05882,16.87755,16.88461,16.96,12.5,12.54545,15.75,14.87234,16.89157,16.88259,18.33333,13.85,14.86066,13,17.77143,16.33333
