Frame,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63,ROI64,ROI65,ROI66,ROI67,ROI68,ROI69,ROI70,ROI71,ROI72,ROI73,ROI74,ROI75,ROI76,ROI77,ROI78,ROI79,ROI80,ROI81,ROI82,ROI83,ROI84,ROI85,ROI86,ROI87,ROI88,ROI89,ROI90,ROI91,ROI92,ROI93,ROI94,ROI95,ROI96,ROI97,ROI98,ROI99,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129
59,10,12.66667,15.125,17.33333,16.17391,16.75362,13.43478,13.53333,11,13.81818,11.28571,14.85577,13.66667,16.53815,20.09439,13,13.3,15.25,16.65723,14.34286,10,14.48,17,12.77778,13,14.31915,50.33587,12.96,15.44516,11,12.81481,14.93,11.42857,15,14.51986,11.58,13.56497,18,12.66667,11.22222,17.41075,13.18182,12.84375,15.20755,26.68287,13.5,15.37584,16.05628,11.8,14.71429,15.60256,15.81818,25.10742,15.25503,13.03704,14.6,14.08,17.09678,15.2,19.11748,14.38346,14.2,14.83721,16.48857,16.68182,15.09744,23.5898,12.92308,18.59637,14.36667,14.59575,16.04301,14.76923,13.81818,13,13.5,17.28511,15.15385,16.32967,16.73196,14.63265,14.94915,13,14.63636,17.68565,16,17.595,16.58571,15.91667,18.05085,17.31081,14.28571,18.25985,18.47273,18.28008,18.40625,16.70482,18.54545,14.73611,16.88,15,16.57895,16.01695,11.4,11.5,18.34546,26.25518,14.29796,16.2,14.35849,15.96241,15.36283,19.03731,15.9604,13.85294,16.4898,15.80769,14.92,11.91667,13.27273,16,13.61702,17.19578,16.95142,18.16667,12.8,14.4918,16.33333,16.92381,15.71569
60,13.33333,16.66667,14.375,16.5,15.73043,18.05797,12.6087,13.33333,12,15.5,12.28571,14.65385,12,17.249,20.21411,16,14.25,10,16.12579,14.25714,12,13.86,15.63636,10.55556,14.5,14.61702,49.79353,12.76,14.70323,12,11.81481,14.99,14.85714,13.33333,14.45126,11.5,14.0226,17.375,13.66667,11.94444,17.67957,11.54545,14.03125,13.9434,26.64962,10.5,15.30872,15.35065,10.6,14.78571,16.38461,17.90909,24.98047,14.83893,14.11111,14.6,14.56,16.12903,16.4,19.01942,14.56391,15,15.33721,16.49429,16.68182,16.21539,23.78082,13.30769,18.65986,13.96667,15.7234,15.97849,14,13.95455,13,14.3913,17.34043,14.87179,16.13187,16.60825,15.08163,15.47458,10.33333,15.90909,17.07806,15.72832,17.36,17.02857,16.45833,17.81356,16.01351,15.85714,18.6049,19.2,17.95643,16.6875,16.72289,19.08373,15.54167,17.08,16.33333,17.21053,16.32203,12.8,13,19.56364,26.14753,14.47755,17.16,15.78302,16.24812,15.30089,18.35448,16.08911,13.41177,17.55102,16.23077,16.6,13,11.27273,14.83333,14.55319,17.15361,17.35628,14.16667,13.35,15.33607,11.66667,17.16191,15.40196
61,11.33333,14.33333,14.25,18.16667,15.91304,17.25362,14.91304,12.93333,16,14.31818,11.71429,14.92308,12.33333,16.63052,20.27024,14,11.35,12,16.32704,14.74286,8,13.42,15.09091,13,13.5,14.96809,49.6432,12.72,15.38064,13,13.75926,15.135,12.85714,13.83333,14.83393,12.62,14.65537,17.25,12.33333,13.61111,17.3871,12.45455,13.59375,15.39623,26.22251,13.5,15.73154,15.55411,13,13,15.53846,19.18182,25.3418,14.85235,13.66667,13.9,14.44,17.48387,15.2,19.27961,14.28571,16.3,15.7093,16.18,16.15909,16.27692,24.0449,11.92308,18.65079,15,15.02128,16.53763,15.53846,15.54545,12,14.86957,17.86809,14.74359,16.67033,16.2268,15.14286,15.8983,14,17.90909,17.48734,15.44509,17.635,17.6,13.33333,17.38983,16.5,16.42857,18.76677,18.18182,18.0249,18.9375,16.86145,19.10526,14.95833,16.68,14.77778,16.43421,17.34746,13.2,12,18.96364,26.2496,14.29388,15.96,15.83019,16.81955,14.48673,19.19403,15.93069,13.64706,16.36735,16.5,14.88,11,14.63636,15.75,14.85106,16.88253,16.98785,19.33333,13.25,15.15574,15.5,16.73333,14.60784
62,16,9.666667,16.5,17.33333,15.46087,16.81884,14,13.13333,14,15.54545,12.57143,14.83654,12,16.22892,20.01192,9.5,10.9,10.5,16.58176,14.88571,13,13.08,17.54545,12.22222,15,14.93617,50.82302,13.2,15.78065,12,12.77778,15.095,13.42857,9.833333,14.88809,12.42,14.42373,16.625,14.66667,13.33333,17.28602,14.81818,12.375,14.56604,26.45269,14,15.04698,15.8355,12.6,15.35714,14.97436,17.36364,25.24609,15.83221,13.62963,14.6,12.64,17.58064,13.7,19.44854,14.53383,16.13333,14.82558,16.64571,15.70455,16.10256,23.95738,13,19.4059,14.75,14.70213,16.45161,14.53846,14.68182,15,13.86957,18.10213,14.52564,16.53846,16.54639,14.89796,15.8983,10,14.63636,17.38608,14.75144,17.185,17.3,14.33333,17.74576,16.08108,16.14286,18.87327,19.07273,18.21162,17.53125,17.0241,18.07895,14.88889,15.84,16.22222,16.52632,16.39831,11.4,10.5,18.57273,25.96252,15.11429,14.32,15.33962,16.32331,14.90265,18.8806,15.43564,14.35294,16.42857,16.19231,16.32,12.25,11.90909,14.25,14.51064,17.43976,16.60324,14.33333,14.9,15.48361,14.5,16.22857,14.85294
63,13.66667,10.33333,14,16,14.6,17.45652,12.78261,16.13333,14,13.5,12,14.88461,11.33333,16.80723,20.07352,11.5,13.1,16.25,15.98428,13.4,11,15.26,14.09091,12.22222,14,13.80851,50.33873,13.48,15.66452,11,12.2963,14.955,12,11.83333,15.10108,12.62,14.63277,17.5,20.33333,11.94444,17.72043,12.72727,13.0625,14.67924,26.59591,13,15.30201,15.73593,12.4,14.78571,14.96154,16.27273,25.19727,16.06711,14.92593,15.8,12.92,16.03226,17.3,19.51553,15.26316,16.13333,15.15116,17.03143,15.25,15.2359,24.20928,13.23077,18.12698,15.3,14.23404,16.37634,13.61539,14.81818,14,14.63043,18.26383,14.71795,16.69231,17.7732,16.5102,16.01695,12,15.63636,17.47257,15.6185,17.11,16.7,16.04167,17.88136,17.64865,13.28571,18.7082,19.50909,18.62656,19.3125,16.85542,18.8756,15.23611,14.88,15.22222,16.22368,16.27119,13.8,13.5,18.66364,26.02233,16.31429,16.12,16.01887,17,14.74336,18.59328,16.45545,13,16.84694,16.69231,15.04,13.91667,13.36364,15.75,14.48936,17.03614,16.90283,18.83333,14.55,14.78689,11.5,16.68095,15.61765
64,14,13.66667,11.25,16.16667,15.32174,16.98551,13.17391,11.4,12,13.40909,13.57143,15.20192,11,16.92771,20.37308,11,12,11.25,17.06289,13.34286,14,13.56,13.81818,11.88889,20,14.82979,49.50238,12.76,16.35484,14,13.33333,15.305,13.71429,12.83333,15.18051,13.22,14.11299,16.625,14,14.16667,17.5914,11.72727,14.28125,15.01887,26.56266,12.5,16.44967,15.97836,12.5,13.78571,16,16,25.16797,15.09396,14.25926,13.5,14.4,15.83871,18.1,19.59612,14.96241,16.36667,15.86047,16.80286,16.43182,16.71795,24.25571,15.07692,18.52835,14.95,14.3617,16.75269,15.61539,16.36364,17,15.15217,18.31489,15.51282,16.67583,17.74227,16.16327,15.57627,10.66667,16.90909,17.47679,15.45665,17.705,17.14286,15.54167,18.15254,16.52703,12.28571,18.74654,20.54545,18.44813,20.3125,16.86145,19.25359,15.125,15.16,17,16.43421,16.72881,12.8,11.5,19.3,26.12998,16.57959,16.12,16.56604,16.70677,15.33628,19.58582,15.80198,13.94118,16.40816,18.11539,16.2,12.5,12.63636,16.58333,14.7234,17.80723,17.42915,20,13.2,15.52459,12,17.12381,16.72549
65,13.66667,10.66667,16.75,16,16.23478,17.65942,13.52174,12.53333,14,14.68182,13,14.78846,14,17.12048,20.13462,12,10.8,11.75,16.78931,14.82857,14,14.4,14.63636,12.77778,15,14.35106,48.74691,12.88,15.45161,11,12.62963,14.985,10.28571,15.66667,15.57401,12.62,14.19209,17.5,11.66667,14.94444,17.49462,13.27273,13.0625,14.71698,26.48082,13,16.20805,15.8961,13.7,14.5,16.15385,19.72727,25.24805,15.18792,14.07407,15.5,13.88,15.87097,16.4,19.55631,14.92481,17.46667,16.10465,16.91143,15.27273,16.27692,24.32725,13.69231,18.80045,14.86667,14.7234,17.02151,16.30769,15.5,13,13.5,18.57872,15.30769,16.9945,17.58763,15.60204,16.32203,15,15.63636,17.82489,15.63006,17.91,17.57143,16.45833,17.81356,16.62162,15,18.91587,19.14545,19.09336,19.1875,17.60241,19.4067,15.80556,15.8,20.22222,17.90789,17.48305,12,14.5,18.89091,26.58931,17.5551,17.76,15.35849,17.06015,15.26549,19.83955,16.93069,14.23529,16.08163,18.19231,16.48,14.75,14.90909,14.66667,14.29787,17.66867,17.583,19,14.75,15.03279,15,16.85714,14.90196
66,15,12.66667,13,15.33333,15.86957,17.77536,13.91304,14.06667,11,13.5,11.85714,15.03846,12,16.94779,20.231,11.5,12.6,10.25,16.37107,14.28571,12,14.38,14.63636,14.55556,12,14.41489,47.53758,12.64,16.27097,10,12.57407,15.52,15.71429,12.5,16.03249,14.06,14.16384,17.625,11.33333,13.77778,17.60645,12.54545,12.875,15.28302,27.29156,12.5,16.20134,16.02597,14.3,14.42857,16.57692,18.81818,25.05273,16.02013,15.03704,13.4,12.68,16.54839,14.5,19.25049,15.64662,14.8,15.15116,16.82857,17.25,15.8,24.36378,14.30769,18.47846,16.13333,14.46809,16.51613,15.61539,15.36364,11,13.36957,18.2383,15.10256,16.32417,17.19588,14.95918,16.08475,13,17.45455,17.74051,15.3526,17.245,17.81429,16.16667,17.23729,16.74324,13,18.48243,19.74545,18.34647,18.8125,17.96988,18.33971,15.26389,17.44,15.88889,17.35526,16.88983,13.8,12.5,18.27273,26.34689,17.50204,18.28,15.65094,16.05263,15.14159,18.99627,15.45545,15.44118,16.41837,16.61539,17,15.41667,11.81818,15.33333,14.55319,17.59639,17.62348,18.16667,14.45,15.31148,13.83333,16.9381,15.44118
67,10,12.33333,15,18.83333,15.42609,16.76812,14.08696,13.86667,16,15.40909,12.14286,15.48077,10.66667,16.92771,20.18281,17,13.5,10.5,16.55975,14.8,13,14.6,15.81818,13,12,14.34043,46.84491,13.8,15.45161,11,13.35185,15.35,12.57143,13.16667,16.03249,12.58,15.16384,19.75,16,13.83333,18.02796,13.09091,13.125,15.83019,27.58568,14.5,16.31544,15.8658,13.4,14.78571,17,19.54545,25.65625,15.80537,12.88889,14.5,14.04,17.32258,19.2,19.75825,15.89474,16.53333,15.72093,16.73429,16.81818,15.98462,24.50304,13.46154,18.85488,14.55,15.51064,17.41936,14.76923,15.09091,16,14.5,18.23404,14.76923,16.28572,17.01031,15.36735,15.26271,10.33333,15.54545,17.50422,15.94798,17.425,18.51429,15.95833,18.0678,17.62162,14.71429,18.31949,19.50909,19.24274,20.09375,17.95783,19.08373,15.75,15.44,17.22222,17.34211,17.33051,12.4,10.5,18.62727,26.56619,16.71837,16.2,15.39623,16.09023,16.0177,19.31343,16.47525,13.88235,16.33673,17.38461,16.72,13.08333,12.27273,13.33333,14.38298,17.84036,16.80162,17.16667,13.55,14.76229,12.66667,16.85714,15.5
68,14.66667,11,14.25,16.83333,15.38261,16.82609,11.73913,12.93333,11,14.68182,10.71429,15.50961,14.33333,16.51004,20.2305,13,12.25,10.75,16.25157,14.37143,12,14.18,15.54545,13.77778,15,15.7766,46.78306,13.44,16,14,12.12963,15.78,11.85714,14,16.58484,11.88,14.08475,18.625,13.66667,12.16667,18.19785,11.72727,13.125,14.30189,27.43222,10,16.41611,15.43723,12.8,15.28571,18.39744,19.09091,25.26758,16.28188,15.14815,15.7,14.44,17.96774,16.5,19.59612,15.45865,17.4,15.69767,16.55714,17.31818,16.09231,24.29224,13,18.93424,15.48333,15.65957,17.17204,15.07692,15.31818,10,14.93478,18.74894,15.05128,16.5,16.07216,15.65306,16.32203,10.66667,17.63636,17.82911,15.77457,17.5,16.81429,18.16667,18.59322,17.39189,16.28572,18.46858,20.78182,19.13278,18.15625,17.56024,18.6555,15.94444,15.68,16.55556,17.07895,16.77119,12,13.5,18.93636,26.44896,16.21224,16.08,14.41509,17.13534,15.35398,19.36194,16.69307,14.29412,16.32653,18.34615,15.96,13.08333,12.81818,15,14.93617,17.4759,17.10931,15,14.1,15.53279,12.83333,16.92381,16.06863
69,14.66667,13.33333,15.875,14.5,16.11304,16.74638,12.13043,13.13333,11,14.59091,13.14286,15.47115,13.66667,17.12048,20.30651,17,12.65,10.75,16.50315,13.85714,15,14.3,13.72727,12.77778,11.5,13.68085,46.36156,11.8,15.84516,15,13.05556,17.675,11.71429,11.83333,17.73285,12.78,16.33898,21.375,13,11.38889,18.48817,13.18182,13.3125,17,27.38363,12.5,17.22819,15.48052,13.2,16.92857,18.57692,17.90909,26.12891,16.8255,15.11111,16.2,13.76,17.32258,19.8,19.74272,16.48872,19.66667,15.76744,16.98571,17.56818,16.51282,24.78996,14.61539,19.46939,17.28333,16.14894,18.12903,17.92308,15.22727,11,16,19.42979,16.23077,17.5989,16.48454,16.36735,16.61017,9,20.36364,18.79747,16.33526,18.2,18.81429,15.875,19.83051,18.63514,19.42857,18.55272,24.69091,22.40456,21.9375,20.22289,20.76316,17.125,19.48,19.11111,17.69737,19.44068,12.6,12.5,21.13636,27.35407,16.16327,18.16,17.03773,17.07519,17.18584,21.27985,17.30693,15.55882,18.08163,17.76923,17.52,13.91667,13.18182,17.33333,15.57447,17.27108,18.01215,16.83333,16.8,16.54918,12.66667,17.00952,16.79412
70,13,11.33333,15.25,14.83333,15.2,17.52174,13.21739,12.2,12,14.40909,10.85714,14.84615,12.66667,16.70683,20.64083,12,12.3,13,16.52201,15.05714,17,13.78,13,13,16.5,14.34043,45.58326,11.56,15.63871,16,12.12963,18.135,13.42857,12.16667,19.14079,12.34,16.64407,16.375,12.33333,13.94444,19.4129,11.54545,13.09375,17.24528,26.94885,13.5,18.09396,16.31602,14.6,17.42857,19.61539,25.45455,26.82813,18.36913,13.7037,19.1,13.88,19.70968,18.8,19.91068,17.32331,19.7,16.30233,16.36857,19,16.93333,25.41096,15.92308,19.71428,17.05,16.57447,21.31183,18.46154,16.63636,12,15.78261,20.52341,18.38461,18.55494,16.83505,18.03061,16.87288,12.33333,18.54545,20.29536,18.11561,18.24,20.61429,18.25,22.49153,20.36486,18.28572,18.64963,26.76364,25.42116,20.78125,21.94578,22.87799,19.29167,18.2,19.33333,19.47368,19.92373,12,13,23.45455,27.8134,17.65306,19.96,18.77358,17.96992,17.71681,22.74627,18.06931,15.20588,18.57143,18.34615,17.96,13.08333,13.18182,17.41667,16.12766,17.47289,18.7166,21,15.9,17.04918,11.66667,17.62381,18.04902
71,15,13.33333,13.25,16.33333,15.45217,16.51449,14.34783,12,11,13.45455,12.57143,15.39423,13,17.32932,20.18679,12,13.35,17.5,16.60692,14.45714,9,14.26,13.81818,12.66667,13.5,14.32979,45.27308,13.32,16.02581,14,13.2037,18.17,11.28571,12.5,18.97473,13.18,17.38418,18.875,16,13.05556,19.09032,11.27273,13,17.66038,27.06138,14.5,19.24161,15.50649,13.2,19.78572,19.70513,24.27273,27.11523,19.42282,14.55556,20,13.64,19.64516,18.3,20.18349,18.17293,18.16667,15.84884,17.05143,19.06818,17.71282,25.85084,14.61539,20.03628,18.6,17.68085,21.24731,18.15385,17.31818,12,15.69565,21.32766,18.8718,17.67033,17.07216,18.16327,17.41525,13.66667,17.81818,20.4346,18.24855,18.66,19.64286,18.16667,22.67797,21.10811,17.57143,19.51225,26.83636,26.02905,23.90625,20.89759,23.5,19.23611,19.8,19.55556,19.48684,20.15254,12.2,14.5,23.62727,27.9681,17.17551,17.24,18.60377,18.33083,17.97345,22.5597,17.51485,15.61765,18.39796,19.15385,18.4,13.41667,13.36364,16.58333,16.10638,16.88855,18.77733,17.83333,17.75,17.80328,12.16667,18.14286,18.41176
72,16.66667,12,15,16.16667,15.58261,16.33333,13.08696,11.6,13,14.63636,14,14.89423,11.66667,17.14859,20.36513,17,11.35,11.5,17.09119,16.28572,11,14.88,15.45455,13.44444,15,14.12766,45.32731,14.08,15.74194,11,12.18519,18.405,12.28571,10.5,18.50903,12.56,17.50847,18.875,14,13.77778,19.4215,12.45455,12.9375,17.54717,27.26343,11.5,18.25503,15.28139,11.5,19.28572,19.21795,21.72727,27.09961,19.52349,12.81481,20.2,13.36,20.74194,18.7,20.32816,18.37594,17.6,16.53488,17.22571,18.11364,17.94872,25.71081,15.46154,20.35828,17.6,16.34043,20.63441,18.76923,15.95455,15,16.15217,20.85532,18.89744,18.67583,17.73196,17.93878,16.88136,10,18.72727,20.94304,17.92486,18.995,19.05714,19.41667,22.59322,20.47297,19.14286,18.74867,27.23636,25.99378,22.125,20.27108,24.28947,19.23611,20.08,19,19.53947,20.0339,13.4,16.5,23.50909,28.3126,16.61633,18.88,18.17924,19.01504,17.71681,22.37687,17.92079,16.44118,19.30612,18.23077,16.88,12.5,12,17.08333,16.19149,17.56928,18.47773,18.5,17.35,18.12295,13.5,17.97619,19.73529
73,16,14.33333,15.375,16,16.22609,17.2029,13.65217,12.06667,18,13.90909,12.57143,15.63461,14,16.7751,20.41679,12.5,12.6,12.25,17.00315,15.48571,11,13.22,15.18182,12.77778,16,14.44681,45.06375,12.32,15.10323,15,12.40741,18.67,12.71429,13.83333,18.40072,12.16,17.19774,16.375,13.66667,13.83333,18.73763,11.72727,12.4375,18.43396,27.07673,11,19.64429,16.30303,13.7,19.57143,18.92308,22.09091,27.76953,19.4698,14.51852,18.8,13.76,19.54839,18,20.10777,18.19549,17.66667,17.03488,17.25714,18.5,17.26154,26.07763,15.38461,20.90249,17.66667,16.59575,20.73118,17.92308,16.40909,13,16.97826,21.06808,19.34615,18.37363,16.7732,17.04082,16.94068,14,19.45455,20.53798,17.47977,18.72,19.75714,18.16667,22.62712,21.09459,19.85714,19.03727,27.12727,26.37967,23.46875,20.54217,24.39235,18.16667,20.08,19.33333,20.11842,19.86441,11.2,15.5,24.28182,27.82695,16.10204,19.08,17.37736,18.44361,17.46018,22.60821,17.69307,15.38235,19.20408,18.5,17.36,13.33333,14,18.25,16.87234,17.36446,18.65182,19.5,15.25,18.96721,11.66667,17.84762,18.77451
74,10,14,14.25,16.66667,14.97391,17.04348,12.82609,13.4,11,14.04545,13.85714,15.04808,14,17,20.46597,13,12.05,13,16.94969,14.74286,16,14.18,16.54545,13.33333,18,15.25532,44.62607,12.64,15.56129,11,12.7963,18.51,12.85714,13.66667,18.5704,12.62,17.71186,19.625,14.33333,12.94444,18.64946,13.54545,12.1875,17.4717,27.2046,13,19.24832,16.1039,13.4,19.28572,19.74359,22.18182,27.22461,20.20805,14.51852,17.4,12.48,21.48387,20.4,20.42233,18.31579,18.7,17.53488,17.08857,19.45455,17.25128,25.99619,15.84615,20.26757,17.16667,16.78723,19.53763,17.69231,16.40909,9,15.34783,20.62128,19.3718,18.32967,17.10309,18.17347,17.70339,13.33333,19.27273,20.92405,17.9133,18.365,20.3,17.33333,22.54237,21.10811,17.14286,18.87859,27.94545,26.47925,23.34375,20.72289,24.24641,17.93056,18.56,20.66667,20.92105,19.27966,11.8,16,24.5,28.55423,15.83673,18.28,17.16038,18.01504,17.40708,22.9403,18.0396,16.55882,18.96939,18,16.24,11.5,11.45455,17.5,15.68085,17.27108,18.76113,18,14.95,18.21312,14,18.01905,19.47059
75,15,11.33333,16,19,16.19131,16.6087,14.17391,13.46667,12,15.54545,14.14286,14.82692,13,17.30522,20.3383,13,11.9,12,16.73585,14.25714,11,13.72,14.72727,14.88889,13.5,14.8617,44.05233,13.84,16.09032,11,12.88889,17.895,12.57143,14.33333,17.58484,12.86,16.887,20.25,13.33333,12.22222,18.71398,13.81818,12.65625,18.30189,27.46547,15,18.07383,15.79221,13,20.85714,18.70513,20.90909,26.96094,19.58389,14.48148,18.5,13.08,19.87097,17.8,19.91456,17.70677,17.06667,16.7093,16.88286,18.47727,17.11282,25.28387,14.92308,20.07936,17.18333,16.80851,19.49462,17.69231,15.81818,18,15.06522,20.80851,19.23077,18.6978,16.73196,17.9898,17.0339,12,18.81818,20.58228,18.21965,18.09,19.67143,15.58333,21.59322,20.87838,16.71428,18.60703,28.14545,25.68672,21.875,20.58434,23.42344,16.77778,16.76,19.88889,20.27632,19.74576,10.6,12.5,23.41818,27.99282,16.06122,18.92,17.70755,17.70677,17.61062,22.26866,17.38614,16.20588,18.63265,16.73077,15.96,13,12.18182,17.66667,17.06383,17.77711,17.89474,18.33333,15.85,18.01639,13.16667,18.11429,19.56863
76,11.66667,12,14.125,15.16667,15.4087,17.23188,13.3913,15.73333,13,14.45455,11.71429,15.49039,16.33333,17.63454,20.48982,10.5,12.85,12,17.1478,14.68571,16,14.02,15.18182,13.88889,17,14.73404,43.82493,13.08,15.17419,15,12.38889,18.325,16.14286,14.66667,18.07942,13.02,16.63277,20.5,13,13.44444,18.94193,11.54545,12.59375,16.64151,26.9335,11,18.85906,15.70996,16,19.71428,17.76923,21.90909,27.01953,19.85235,15.18519,16.8,14.8,18.90322,18.3,20.45437,18.03008,17.86667,17.80233,17.01143,20.22727,17.68718,25.81279,14.69231,20.56463,18.33333,16.17021,19.01075,18.46154,15.45455,15,16.02174,21.02553,20.48718,18.67583,17.23711,16.4898,16.72034,13.66667,18.27273,20.48101,18.07514,18.695,19.42857,17.79167,22.72881,20.35135,16.85714,18.6869,26.38182,25.21992,21.71875,20.36747,24.21053,17.36111,19.6,18.22222,20.5,18.5,11,14,23.44545,28.17783,15.74286,18.2,18.01887,17.92481,18.0531,21.44776,17.93069,16.41176,18.08163,17.76923,17.72,12.16667,14.18182,18.25,16.85106,17.5,18.27126,18.83333,16.8,18.18033,11,18.3,19.04902
77,11.66667,14.33333,12.625,16,15.67826,17.30435,14.21739,12.8,9,13.63636,16.28572,15.45192,13,17.07229,20.84699,15,14.55,11,17.28931,14.74286,10,13.06,13.72727,12.44444,13,14.6383,43.55376,13.16,15.64516,9,13.64815,19.04,12.42857,12,17.80505,13.84,16.49718,15,16,13.72222,18.81505,14.63636,13.125,16.32076,26.80818,12.5,20.44967,15.70996,14.3,21.92857,18.28205,23.72727,27.11523,20.02685,14.7037,16.2,12.48,19.54839,17.1,20.43689,18.20301,17.66667,17.37209,17.23143,19,17.62051,25.37595,17.07692,20.93424,17.28333,15.02128,18.89247,16.30769,15.72727,11,14.73913,20.97021,19.51282,18.44506,16.63918,17.47959,16.59322,14.33333,19.36364,20.52321,18.77457,18.605,18.88571,18.75,21.40678,19.75676,17.14286,19.11608,24.43636,24.96888,21.8125,19.20482,23.59091,18.05556,16.72,18.88889,19.56579,19.71186,12.4,14,23.54545,27.88597,15.92653,19.2,17.07547,17.64662,18.28319,22.04851,17.75248,15.73529,19.12245,20.88461,16.04,12.41667,14,17.08333,18.31915,17.3012,18.50202,17.5,16.1,18.54098,15.16667,17.72381,18.68627
78,16,9.666667,14.75,15,15.15652,17.01449,13.3913,14,11,13.86364,11.71429,15.45192,18.33333,16.71084,20.68703,15,13.05,15.75,16.40252,14.97143,13,14.4,13.90909,13.77778,14.5,14.88298,43.85062,13.16,15.50968,13,12.64815,17.375,12.57143,14,17.56318,12.74,16.59322,16.5,12.33333,13.5,18.62796,13.09091,13.34375,16.75472,26.97187,13,19.06711,15.5368,13.5,17.92857,18.34615,19.45455,26.53906,19.46309,14,17.7,14.28,19.48387,18.4,20.23981,17.22556,16.76667,17.80233,17.36286,17.84091,17.63077,25.26789,15.15385,20.36735,17.8,16.78723,18.89247,18.53846,15.95455,11,15.84783,20.72766,19.48718,17.34615,16.54639,16.42857,17.01695,11.66667,18.27273,19.61814,17.74566,18.415,18.42857,17.41667,21.77966,20.7973,19.85714,18.836,23.78182,23.8029,20.5625,19.84337,23.13876,17.56944,19.04,17.33333,18.42105,18.33898,13.2,13,22.36364,27.5933,15.09796,18.4,17.66038,18.02256,18.1062,21.18657,16.38614,16.26471,17.64286,18.61539,17.92,14.75,12.72727,17.66667,15.87234,17.21386,17.79352,17.5,15.15,18.05738,11.33333,18.13333,17.67647
79,13.66667,13.33333,16.625,14.16667,15.4087,16.77536,15,14,17,13.90909,11.14286,15.98077,13.33333,17.48193,20.52658,14,11.8,13,16.5566,14.57143,10,13.84,14.18182,12.33333,15.5,15.03191,43.88107,12.92,15.49032,9,13.48148,17.315,11.71429,10.83333,17.13357,12.92,15.66667,20.375,15,13.38889,18.43871,12.45455,11.9375,15.49057,26.69309,11,17.81879,15.76623,13.6,19.21428,18.41026,19.27273,25.93164,19.08054,15.37037,16.4,13,17.16129,14.4,19.71165,17.41353,17.06667,17.61628,16.58,18.54545,16.70256,25.23516,14.53846,19.56236,16.5,15.21277,16.7957,15.69231,15.13636,9,15.54348,20.1234,18.82051,17.7967,16.29897,16.11225,16.26271,14.33333,18.90909,19.15823,17.96532,18.015,18.34286,17.58333,20.74576,20.62162,14.42857,18.53035,21.87273,23.07884,21.875,18.63253,21.89952,16.88889,17.68,16.77778,19.31579,18.66949,12.8,14.5,22.1,27.28868,15.06531,18.28,17.04717,16.80451,17.43363,20.42537,17.37624,16.14706,16.84694,16.88461,17,13.41667,11.72727,17.33333,16.46808,17.44578,17.97571,17.83333,15.05,17.5082,11.83333,17.52857,18.48039
80,15.33333,12.33333,12.75,17.83333,15.28696,17.48551,13.08696,13.2,15,14.77273,13.14286,15.25,14.66667,17.08835,20.87581,17,13.2,14.25,16.87421,14.65714,16,13.74,14.63636,12.88889,12.5,14.53191,43.16651,12.84,16.2,13,12.53704,17.22,14.85714,11,16.6787,13.14,16.02825,17,13,12.16667,18.61075,11,13.71875,15.60377,27.49361,14,18.5302,15.79654,13.6,18.28572,17.44872,16.63636,25.51367,18.34228,14.48148,14.8,14.44,18.16129,18.9,19.78155,16.98496,16.36667,16.45349,17.08,16.95455,16.64103,24.87443,14.38461,19.53741,16.73333,14.80851,17.46237,19.38461,15.04545,12,15.1087,19.86809,18.10256,16.9011,16.36082,15.82653,16.27119,8.333333,14.81818,19.38397,17.36416,17.475,17.71428,19.08333,20.57627,18.87838,16.57143,18.57508,20.45455,22.31328,23.28125,18.36747,21.21531,17.11111,16.64,18,18.43421,17.05085,14.6,13.5,20.69091,27.14832,15.09388,17.08,16.62264,17.15789,17.68142,19.6194,15.48515,15.29412,17.19388,17.73077,15.6,14.16667,12.36364,17.08333,16.7234,17.44578,17.04453,19,13.6,16.98361,14.16667,18.11905,17.7549
