"","x"
"531",9725
"532",7044
"533",83881
"534",8476
"535",116841
"536",128308
"537",2987
"538",81559
"539",149603
"540",58480
"541",5867
"542",126731
"543",58
"544",27097
"545",2590
"546",79605
"547",183
"548",84886
"549",64801
"550",128061
"551",54583
"552",7257
"553",54627
"554",3775
"555",388753
"556",9453
"557",1130
"558",4811
"559",128178
"560",3964
"561",55127
"562",1131
"563",56776
"564",2271
"565",23596
"566",1122
"567",200150
"568",10806
"569",10000
"570",10472
"571",159
"572",116228
"573",3192
"574",101928068
"575",84288
"576",79862
"577",388759
"578",25893
"579",80851
"580",10771
"581",91734
"582",22884
"583",5214
"584",8644
"585",10276
"586",54906
"587",54522
"588",84893
"589",84991
"590",5209
"591",57713
"592",3698
"593",22944
"594",79746
"595",55176
"596",11164
"597",8872
"598",57118
"599",55691
"600",51182
"601",64421
"602",221061
"603",8516
"604",8029
"605",338596
"606",8027
"607",221079
"608",399726
"609",23412
"610",648
"611",100499489
"612",22921
"613",220213
"614",57512
"615",10006
"616",10730
"617",91452
"618",143098
"619",220906
"620",102724316
"621",1326
"622",6935
"623",79741
"624",3688
"625",8453
"626",100288485
"627",57209
"628",219749
"629",399744
"630",100129482
"631",7582
"632",9790
"633",221002
"634",3185
"635",8187
"636",220992
"637",10151
"638",6387
"639",220979
"640",119016
"641",728407
"642",653268
"643",728113
"644",728643
"645",5540
"646",414241
"647",2658
"648",642517
"649",642826
"650",439965
"651",100996758
"652",414224
"653",2074
"654",8505
"655",100652748
"656",414189
"657",23283
"658",22943
"659",253430
"660",55847
"661",7321
"662",7019
"663",728640
"664",288
"665",221037
"666",221035
"667",305
"668",347731
"669",84665
"670",3189
"671",55680
"672",80312
"673",55749
"674",219736
"675",9188
"676",80201
"677",6865
"678",84883
"679",5464
"680",27143
"681",140766
"682",219699
"683",9469
"684",9806
"685",119504
"686",54788
"687",10367
"688",90550
"689",5033
"690",25961
"691",11319
"692",317662
"693",51021
"694",118491
"695",159195
"696",58529
"697",79933
"698",729092
"699",729096
"700",2749
"701",9632
"702",118487
"703",818
"704",7414
"705",23522
"706",51207
"707",7417
"708",118881
"709",84858
"710",100131213
"711",3778
"712",11128
"713",57178
"714",143244
"715",650623
"716",101060691
"717",729262
"718",642361
"719",84293
"720",92211
"721",54462
"722",2894
"723",23063
"724",79812
"725",6623
"726",2746
"727",54537
"728",728118
"729",728190
"730",439994
"731",728130
"732",9562
"733",55328
"734",59
"735",3988
"736",24138
"737",27063
"738",54708
"739",26509
"740",118924
"741",9124
"742",26123
"743",54619
"744",9849
"745",118788
"746",728658
"747",5223
"748",26287
"749",112817
"750",83742
"751",27291
"752",84795
"753",1147
"754",25956
"755",4714
"756",84545
"757",56652
"758",81855
"759",81621
"760",25911
"761",10724
"762",79803
"763",23082
"764",9221
"765",8729
"766",4791
"767",79176
"768",100505761
"769",10121
"770",118980
"771",54838
"772",729020
"773",84833
"774",51063
"775",79991
"776",9748
"777",119392
"778",114815
"779",4601
"780",644511
"781",64429
"782",143187
"783",4892
"784",840
"785",374354
"786",153
"787",55088
"788",26033
"789",2674
"790",57698
"791",6571
"792",63877
"793",8661
"794",2869
"795",6001
"796",7073
"797",22876
"798",79892
"799",196051
"800",5654
"801",80007
"802",118672
"803",36
"804",9184
"805",4942
"806",9679
"807",54764
"808",7390
"809",56647
"810",55760
"811",92565
"812",8038
"813",5791
"814",4255
"815",387723
"816",10539
"817",664
"818",282974
"819",170394
"820",282969
"821",1892
"822",92170
"823",503542
"824",100133161
"825",23410
"826",80162
"827",10410
"828",81490
"829",6050
"830",8045
"831",283232
"832",105369190
"833",79751
"834",6181
"835",283229
"836",977
"837",7106
"838",66005
"839",161
"840",1850
"841",1509
"842",6150
"843",283120
"844",3481
"845",10077
"846",975
"847",10984
"848",650368
"849",116969
"850",391
"851",55128
"852",84067
"853",112464
"854",6609
"855",23647
"856",26515
"857",23378
"858",8495
"859",51700
"860",8665
"861",9866
"862",6157
"863",56674
"864",493900
"865",57758
"866",7465
"867",440028
"868",133
"869",50862
"870",729013
"871",55031
"872",27122
"873",9645
"874",84953
"875",55742
"876",7003
"877",10418
"878",22800
"879",55553
"880",6207
"881",26297
"882",11234
"883",2965
"884",3939
"885",55293
"886",144108
"887",144110
"888",8048
"889",89797
"890",10196
"891",159963
"892",55327
"893",120534
"894",120526
"895",5954
"896",10114
"897",25758
"898",26273
"899",4005
"900",847
"901",8050
"902",25891
"903",24147
"904",54765
"905",143458
"906",29099
"907",7189
"908",5896
"909",8539
"910",55761
"911",51144
"912",2132
"913",90139
"914",57586
"915",8534
"916",55343
"917",1408
"918",283254
"919",4038
"920",84364
"921",53
"922",10062
"923",4607
"924",4722
"925",114900
"926",5795
"927",441601
"928",29015
"929",9246
"930",710
"931",25921
"932",280636
"933",63901
"934",5007
"935",219988
"936",79080
"937",27339
"938",54972
"939",55048
"940",26007
"941",79869
"942",9066
"943",746
"944",5866
"945",7439
"946",80150
"947",1937
"948",256364
"949",26229
"950",23193
"951",79081
"952",751071
"953",790955
"954",51035
"955",26580
"956",221092
"957",283237
"958",79842
"959",10629
"960",11145
"961",25923
"962",65998
"963",144097
"964",2011
"965",1351
"966",28992
"967",10963
"968",84304
"969",3338
"970",7423
"971",2286
"972",5331
"973",56834
"974",2101
"975",51504
"976",25824
"977",8986
"978",4221
"979",23130
"980",5526
"981",738
"982",378938
"983",4054
"984",10534
"985",399909
"986",5970
"987",84153
"988",9092
"989",8815
"990",55690
"991",81876
"992",10897
"993",9610
"994",10072
"995",254359
"996",89
"997",8722
"998",55231
"999",83759
"1000",79703
"1001",9986
"1002",5091
"1003",5883
"1004",9600
"1005",81622
"1006",221
"1007",51111
"1008",51083
"1009",1374
"1010",2017
"1011",55199
"1012",55298
"1013",10068
"1014",4926
"1015",55004
"1016",2348
"1017",116985
"1018",9828
"1019",23201
"1020",5870
"1021",51642
"1022",80227
"1023",283209
"1024",387787
"1025",143570
"1026",408
"1027",6188
"1028",283212
"1029",871
"1030",4135
"1031",56946
"1032",2615
"1033",726
"1034",5058
"1035",1207
"1036",28971
"1037",57558
"1038",9846
"1039",51585
"1040",338699
"1041",1740
"1042",58487
"1043",8301
"1044",11098
"1045",23682
"1046",50507
"1047",10003
"1048",26973
"1049",56935
"1050",619383
"1051",684959
"1052",654320
"1053",677805
"1054",79101
"1055",9440
"1056",54851
"1057",2526
"1058",51503
"1059",9702
"1060",8898
"1061",53942
"1062",143872
"1063",83935
"1064",5241
"1065",330
"1066",4319
"1067",4312
"1068",84259
"1069",55531
"1070",38
"1071",5962
"1072",143903
"1073",23235
"1074",5519
"1075",64776
"1076",1410
"1077",3316
"1078",85458
"1079",55216
"1080",26521
"1081",23705
"1082",335
"1083",100652768
"1084",6876
"1085",9159
"1086",53826
"1087",196264
"1088",10632
"1089",4297
"1090",56912
"1091",372
"1092",23187
"1093",1656
"1094",338657
"1095",6230
"1096",51399
"1097",10525
"1098",1798
"1099",867
"1100",7070
"1101",5818
"1102",220323
"1103",219902
"1104",23365
"1105",7007
"1106",6309
"1107",399959
"1108",3312
"1109",55800
"1110",54414
"1111",90952
"1112",2113
"1113",2313
"1114",3762
"1115",9743
"1116",4798
"1117",29068
"1118",170689
"1119",103611081
"1120",399979
"1121",50863
"1122",4978
"1123",22997
"1124",83700
"1125",27034
"1126",6540
"1127",5927
"1128",84318
"1129",283358
"1130",4815
"1131",100049716
"1132",65125
"1133",55846
"1134",83714
"1135",7289
"1136",57097
"1137",894
"1138",4908
"1139",4055
"1140",55080
"1141",51258
"1142",2597
"1143",4839
"1144",51147
"1145",171017
"1146",196500
"1147",50813
"1148",10536
"1149",7167
"1150",84727
"1151",171220
"1152",2026
"1153",1822
"1154",677777
"1155",10436
"1156",51279
"1157",9746
"1158",5830
"1159",144195
"1160",6515
"1161",55810
"1162",8076
"1163",57494
"1164",1911
"1165",144571
"1166",2
"1167",5858
"1168",100422872
"1169",100499405
"1170",29121
"1171",10748
"1172",100129361
"1173",100506248
"1174",1027
"1175",51202
"1176",83445
"1177",2012
"1178",55729
"1179",79887
"1180",144608
"1181",2059
"1182",11171
"1183",54477
"1184",5139
"1185",79912
"1186",5965
"1187",51026
"1188",3945
"1189",3764
"1190",10060
"1191",9847
"1192",6660
"1193",586
"1194",11228
"1195",79365
"1196",8082
"1197",3709
"1198",51768
"1199",23012
"1200",56938
"1201",8496
"1202",5744
"1203",55297
"1204",83857
"1205",55196
"1206",144245
"1207",1272
"1208",283464
"1209",10138
"1210",5756
"1211",84216
"1212",400027
"1213",81539
"1214",54407
"1215",347902
"1216",10411
"1217",79022
"1218",1280
"1219",140461
"1220",121274
"1221",904
"1222",112
"1223",784
"1224",9416
"1225",27289
"1226",51303
"1227",7480
"1228",23109
"1229",8085
"1230",55716
"1231",79962
"1232",65244
"1233",25766
"1234",91010
"1235",7009
"1236",57701
"1237",41
"1238",6602
"1239",84987
"1240",91012
"1241",51474
"1242",113251
"1243",7024
"1244",11226
"1245",6334
"1246",401720
"1247",91
"1248",160622
"1249",3855
"1250",84926
"1251",3489
"1252",84975
"1253",5204
"1254",5094
"1255",6895
"1256",11016
"1257",22818
"1258",3678
"1259",5502
"1260",3679
"1261",2647
"1262",967
"1263",10220
"1264",85406
"1265",4327
"1266",84305
"1267",102724112
"1268",6490
"1269",5869
"1270",6231
"1271",6171
"1272",4637
"1273",6601
"1274",79035
"1275",93058
"1276",10330
"1277",9924
"1278",6773
"1279",283377
"1280",5939
"1281",10728
"1282",4666
"1283",4035
"1284",22864
"1285",114785
"1286",10540
"1287",10956
"1288",25895
"1289",10677
"1290",100506844
"1291",121227
"1292",57460
"1293",283417
"1294",57522
"1295",2799
"1296",23592
"1297",8091
"1298",84298
"1299",11213
"1300",92797
"1301",55832
"1302",57122
"1303",11052
"1304",10576
"1305",196446
"1306",27345
"1307",7103
"1308",64786
"1309",729633
"1310",552889
"1311",84698
"1312",11010
"1313",23390
"1314",6857
"1315",4659
"1316",8825
"1317",8499
"1318",29080
"1319",84190
"1320",55117
"1321",9182
"1322",4922
"1323",400058
"1324",91298
"1325",4060
"1326",1634
"1327",7334
"1328",8738
"1329",10154
"1330",57458
"1331",7181
"1332",10988
"1333",59277
"1334",121441
"1335",55592
"1336",55681
"1337",400
"1338",56994
"1339",79158
"1340",7184
"1341",6996
"1342",50515
"1343",160428
"1344",23325
"1345",387882
"1346",9891
"1347",10970
"1348",55188
"1349",80298
"1350",1407
"1351",11137
"1352",11153
"1353",9733
"1354",6404
"1355",23603
"1356",54434
"1357",84749
"1358",83892
"1359",10094
"1360",51184
"1361",29902
"1362",160760
"1363",79600
"1364",160762
"1365",4633
"1366",100131138
"1367",6311
"1368",80724
"1369",217
"1370",51275
"1371",8550
"1372",8759
"1373",10961
"1374",5781
"1375",79039
"1376",84934
"1377",80024
"1378",196463
"1379",255480
"1380",54997
"1381",23014
"1382",54621
"1383",5037
"1384",64426
"1385",11021
"1386",6175
"1387",5829
"1388",26834
"1389",23409
"1390",4440
"1391",1337
"1392",8683
"1393",9921
"1394",51367
"1395",64897
"1396",80196
"1397",84876
"1398",23067
"1399",5715
"1400",605
"1401",22877
"1402",56616
"1403",65082
"1404",55596
"1405",65117
"1406",8562
"1407",79720
"1408",51329
"1409",91574
"1410",8099
"1411",387893
"1412",196383
"1413",11066
"1414",353116
"1415",10959
"1416",57696
"1417",2967
"1418",79867
"1419",23545
"1420",144348
"1421",7316
"1422",114795
"1423",121260
"1424",2054
"1425",283383
"1426",80324
"1427",57634
"1428",23141
"1429",55743
"1430",7699
"1431",7556
"1432",10795
"1433",55269
"1434",7750
"1435",2700
"1436",8100
"1437",53342
"1438",650794
"1439",253832
"1440",2254
"1441",6445
"1442",26278
"1443",221178
"1444",9818
"1445",6144
"1446",2971
"1447",219402
"1448",222484
"1449",255967
"1450",2321
"1451",51371
"1452",9201
"1453",23111
"1454",4093
"1455",29880
"1456",122011
"1457",10631
"1458",7223
"1459",80209
"1460",1997
"1461",89890
"1462",94240
"1463",29103
"1464",26747
"1465",55425
"1466",2963
"1467",7178
"1468",100190939
"1469",23091
"1470",8803
"1471",29079
"1472",5925
"1473",22862
"1474",440138
"1475",9724
"1476",55901
"1477",10910
"1478",81624
"1479",81550
"1480",64881
"1481",22894
"1482",11278
"1483",170622
