"","ENTREZID","SYMBOL"
"199",5048,"PAFAH1B1"
"200",388324,"INCA1"
"201",9135,"RABEP1"
"202",57336,"ZNF287"
"203",780851,"SNORD3A"
"204",440416,"CCDC144NL-AS1"
"205",90410,"IFT20"
"206",85464,"SSH2"
"207",79736,"TEFM"
"208",55813,"UTP6"
"209",54475,"NLE1"
"210",5193,"PEX12"
"211",22794,"CASC3"
"212",3292,"HSD17B1"
"213",10230,"NBR2"
"214",2535,"FZD2"
"215",10614,"HEXIM1"
"216",114881,"OSBPL7"
"217",29916,"SNX11"
"218",10241,"CALCOCO2"
"219",8405,"SPOP"
"220",10237,"SLC35B1"
"221",81558,"FAM117A"
"222",55316,"RSAD1"
"223",8161,"COIL"
"224",6426,"SRSF1"
"225",54903,"MKS1"
"226",55771,"PRR11"
"227",284161,"GDPD1"
"228",6198,"RPS6KB1"
"229",57508,"INTS2"
"230",5718,"PSMD12"
"231",84923,"FAM104A"
"232",55028,"C17orf80"
"233",6730,"SRP68"
"234",9489,"PGS1"
"235",9775,"EIF4A3"
"236",57521,"RPTOR"
"237",79643,"CHMP6"
"238",5881,"RAC3"
"239",7541,"ZBTB14"
"240",10650,"PRELID3A"
"241",6632,"SNRPD1"
"242",8780,"RIOK3"
"243",55364,"IMPACT"
"244",54531,"MIER2"
"245",126308,"MOB3A"
"246",29985,"SLC39A3"
"247",51343,"FZR1"
"248",51588,"PIAS4"
"249",6455,"SH3GL1"
"250",5609,"MAP2K7"
"251",79603,"CERS4"
"252",93134,"ZNF561"
"253",126070,"ZNF440"
"254",90576,"ZNF799"
"255",2193,"FARSA"
"256",4066,"LYL1"
"257",3337,"DNAJB1"
"258",85360,"SYDE1"
"259",8907,"AP1M1"
"260",54858,"PGPEP1"
"261",93436,"ARMC6"
"262",79414,"LRFN3"
"263",163087,"ZNF383"
"264",84503,"ZNF527"
"265",22835,"ZFP30"
"266",284323,"ZNF780A"
"267",29950,"SERTAD1"
"268",90324,"CCDC97"
"269",374907,"B3GNT8"
"270",56006,"SMG9"
"271",7773,"ZNF230"
"272",7769,"ZNF226"
"273",163071,"ZNF114"
"274",581,"BAX"
"275",9668,"ZNF432"
"276",147657,"ZNF480"
"277",112724,"RDH13"
"278",163033,"ZNF579"
"279",147694,"ZNF548"
"280",100293516,"ZNF587B"
"281",25799,"ZNF324"
"282",7260,"EIPR1"
"283",11321,"GPN1"
"284",55006,"TRMT61B"
"285",253635,"GPATCH11"
"286",10153,"CEBPZ"
"287",92906,"HNRNPLL"
"288",8491,"MAP4K3"
"289",6546,"SLC8A1"
"290",57504,"MTA3"
"291",5495,"PPM1B"
"292",53335,"BCL11A"
"293",5861,"RAB1A"
"294",27332,"ZNF638"
"295",8446,"DUSP11"
"296",1716,"DGUOK"
"297",84173,"ELMOD3"
"298",129303,"TMEM150A"
"299",5903,"RANBP2"
"300",80775,"TMEM177"
"301",10254,"STAM2"
"302",85461,"TANC1"
"303",10213,"PSMD14"
"304",115677,"NOSTRIN"
"305",79828,"METTL8"
"306",80067,"DCAF17"
"307",129831,"RBM45"
"308",3628,"INPP1"
"309",6775,"STAT4"
"310",9330,"GTF3C3"
"311",843,"CASP10"
"312",57404,"CYP20A1"
"313",54891,"INO80D"
"314",151194,"METTL21A"
"315",29926,"GMPPA"
"316",377007,"KLHL30"
"317",4735,"SEPTIN2"
"318",80023,"NRSN2"
"319",55968,"NSFL1C"
"320",55317,"AP5S1"
"321",64412,"GZF1"
"322",51230,"PHF20"
"323",25980,"AAR2"
"324",63905,"MANBAL"
"325",10904,"BLCAP"
"326",60625,"DHX35"
"327",51098,"IFT52"
"328",51006,"SLC35C2"
"329",10564,"ARFGEF2"
"330",101927631,"ADNP-AS1"
"331",11054,"OGFR"
"332",80331,"DNAJC5"
"333",29104,"N6AMT1"
"334",84221,"SPATC1L"
"335",11274,"USP18"
"336",7353,"UFD1"
"337",51586,"MED15"
"338",6598,"SMARCB1"
"339",84700,"MYO18B"
"340",402055,"SRRD"
"341",84164,"ASCC2"
"342",23780,"APOL2"
"343",129138,"ANKRD54"
"344",9463,"PICK1"
"345",60489,"APOBEC3G"
"346",100506472,"LOC100506472"
"347",84247,"RTL6"
"348",132001,"TAMM41"
"349",23609,"MKRN2"
"350",22908,"SACM1L"
"351",51385,"ZNF589"
"352",11277,"TREX1"
"353",64925,"CCDC71"
"354",386724,"AMIGO3"
"355",11070,"TMEM115"
"356",28972,"SPCS1"
"357",100009676,"ZBTB11-AS1"
"358",25871,"NEPRO"
"359",55254,"TMEM39A"
"360",131601,"TPRA1"
"361",7879,"RAB7A"
"362",51122,"COMMD2"
"363",64393,"ZMAT3"
"364",86,"ACTL6A"
"365",55486,"PARL"
"366",90407,"TMEM41A"
"367",1608,"DGKG"
"368",84984,"CEP19"
"369",10336,"PCGF3"
"370",1487,"CTBP1"
"371",7469,"NELFA"
"372",152,"ADRA2C"
"373",55300,"PI4K2B"
"374",29063,"ZCCHC4"
"375",132789,"GNPDA2"
"376",10606,"PAICS"
"377",92597,"MOB1B"
"378",8671,"SLC4A4"
"379",152926,"PPM1K"
"380",266812,"NAP1L5"
"381",56916,"SMARCAD1"
"382",1977,"EIF4E"
"383",55212,"BBS7"
"384",27152,"INTU"
"385",90826,"PRMT9"
"386",5356,"PLRG1"
"387",2983,"GUCY1B1"
"388",4750,"NEK1"
"389",2180,"ACSL1"
"390",134145,"ATPSCKMT"
"391",55100,"WDR70"
"392",728340,"GTF2H2C"
"393",653238,"GTF2H2B"
"394",2966,"GTF2H2"
"395",55814,"BDP1"
"396",79810,"PTCD2"
"397",167153,"TENT2"
"398",9765,"ZFYVE16"
"399",55781,"RIOK2"
"400",1105,"CHD1"
"401",90355,"MACIR"
"402",153733,"CCDC112"
"403",153443,"SRFBP1"
"404",8572,"PDLIM4"
"405",100996485,"PITX1-AS1"
"406",4888,"NPY6R"
"407",202052,"DNAJC18"
"408",23438,"HARS2"
"409",10826,"FAXDC2"
"410",9443,"MED7"
"411",5917,"RARS1"
"412",80315,"CPEB4"
"413",8899,"PRPF4B"
"414",3012,"H2AC8"
"415",10473,"HMGN4"
"416",80345,"ZSCAN16"
"417",7746,"ZSCAN9"
"418",7741,"ZSCAN26"
"419",222696,"ZSCAN23"
"420",8449,"DHX16"
"421",57827,"C6orf47"
"422",578,"BAK1"
"423",5467,"PPARD"
"424",6428,"SRSF3"
"425",9477,"MED20"
"426",55173,"MRPS10"
"427",84630,"TTBK1"
"428",9533,"POLR1C"
"429",26036,"ZNF451"
"430",51715,"RAB23"
"431",25821,"MTO1"
"432",57226,"LYRM2"
"433",23376,"UFL1"
"434",26235,"FBXL4"
"435",262,"AMD1"
"436",91749,"MFSD4B"
"437",10758,"TRAF3IP2"
"438",113115,"MTFR2"
"439",5689,"PSMB1"
"440",5575,"PRKAR1B"
"441",90639,"COX19"
"442",84262,"PSMG3"
"443",8379,"MAD1L1"
"444",54476,"RNF216"
"445",56913,"C1GALT1"
"446",221830,"POLR1F"
"447",5898,"RALA"
"448",79783,"SUGCT"
"449",3364,"HUS1"
"450",168374,"ZNF92"
"451",55695,"NSUN5"
"452",9569,"GTF2IRD1"
"453",54441,"STAG3L1"
"454",113878,"DTX2"
"455",6717,"SRI"
"456",9069,"CLDN12"
"457",10898,"CPSF4"
"458",3268,"AGFG2"
"459",5001,"ORC5"
"460",60561,"RINT1"
"461",64418,"TMEM168"
"462",27153,"ZNF777"
"463",728743,"LOC728743"
"464",80346,"REEP4"
"465",5533,"PPP3CC"
"466",23221,"RHOBTB2"
"467",286059,"LOC286059"
"468",157313,"CDCA2"
"469",23087,"TRIM35"
"470",157574,"FBXO16"
"471",55290,"BRF2"
"472",7336,"UBE2V2"
"473",90362,"FAM110B"
"474",55824,"PAG1"
"475",55656,"INTS8"
"476",51123,"ZNF706"
"477",51105,"PHF20L1"
"478",57623,"ZFAT"
"479",203062,"TSNARE1"
"480",2907,"GRINA"
"481",55958,"KLHL9"
"482",54840,"APTX"
"483",3301,"DNAJA1"
"484",401509,"ZNF658B"
"485",26149,"ZNF658"
"486",55312,"RFK"
"487",257019,"FRMD3"
"488",55035,"NOL8"
"489",83744,"ZNF484"
"490",10592,"SMC2"
"491",5998,"RGS3"
"492",85301,"COL27A1"
"493",51552,"RAB14"
"494",399665,"FAM102A"
"495",29941,"PKN3"
"496",84885,"ZDHHC12"
"497",5900,"RALGDS"
"498",6837,"MED22"
"499",57109,"REXO4"
"500",92715,"DPH7"
"501",55787,"TXLNG"
"502",23708,"GSPT2"
"503",23096,"IQSEC2"
"504",29934,"SNX12"
"505",139596,"UPRT"
"506",64860,"ARMCX5"
"507",644596,"SMIM10L2B"
"508",6845,"VAMP7"
