"sigVDA3.ENTREZID","sigVDA3.SYMBOL","sigVDA3.logFC","sigVDA3.AveExpr","sigVDA3.t","sigVDA3.P.Value","sigVDA3.adj.P.Val","sigVDA3.B"
"10221","TRIB1",2.56540324280738,6.26322750539779,9.35946883071029,1.43785217069984e-13,2.02507099721365e-09,20.5309494950415
"1385","CREB1",0.978125905795716,5.06370564928723,8.99110533736585,6.25225250044412e-13,4.40283621081275e-09,19.1136242070566
"7716","VEZF1",0.987210366470899,4.96003690116036,8.8735733506511,1.00121847841499e-12,4.70038701666558e-09,18.6471863161398
"162239","ZFP1",1.26752681542152,3.34990931629238,8.62719459344332,2.69346168825111e-12,9.48367860433214e-09,17.4374979217382
"57547","ZNF624",1.67331794914142,1.55836134971468,8.56779867249956,3.42075609782628e-12,9.63558577635707e-09,16.5720270119011
"284406","ZFP82",1.62672500465636,2.19065478578069,8.52170478587832,4.11843952943588e-12,9.66735038876249e-09,16.6967112640723
"84872","ZC3H10",1.59445016037134,2.25175552571295,8.32776450523242,9.00155714422711e-12,1.81111329741849e-08,15.9486042098245
"10140","TOB1",1.38039567190025,5.37294931689944,7.98857482137278,3.543747975001e-11,6.15734850660159e-08,15.2376225297521
"3337","DNAJB1",1.04909292502079,6.11426190249596,7.96269811711414,3.93468734446281e-11,6.15734850660159e-08,15.1563938535806
"23394","ADNP",0.902131377193832,6.64257307707577,7.90017007864754,5.06692586948423e-11,6.92361776837381e-08,14.9119689267354
"5514","PPP1R10",1.66504083295137,5.626744910146,7.8840863153217,5.40754014854529e-11,6.92361776837381e-08,14.8348929574443
"284309","ZNF776",1.19146419897847,3.82367756695441,7.78874810209878,7.95249380116608e-11,9.22643835183076e-08,14.3980518436364
"54925","ZSCAN32",0.906786309307378,3.43969950502764,7.77181755551741,8.51630918587048e-11,9.22643835183076e-08,14.2552345358653
"51307","FAM53C",-1.21975117039431,6.45787452867587,-7.47060640100645,2.88019899744236e-10,2.89748019142702e-07,13.2306215096196
"4690","NCK1",0.597507859802702,4.26063857492032,7.29633215192589,5.82537658665403e-10,5.46964025642902e-07,12.5337530999339
"339324","ZNF260",1.79481153590433,3.77450081317623,7.23129084323654,7.57525491481566e-10,6.66811813876648e-07,12.2167674656629
"79142","PHF23",0.77280172007568,5.74288952746455,7.20393947887082,8.45958282885841e-10,7.00851556244952e-07,12.1897930203638
"7705","ZNF146",0.814851524721197,5.91720527532027,7.13555302139785,1.11477686358021e-09,8.72250963703538e-07,11.9215408764989
"149483","CCDC17",-2.66049916016774,0.0612077236384548,-7.10791445334494,1.24622747926398e-09,9.05950203443567e-07,11.1317753546599
"22822","PHLDA1",1.87596441139772,7.11388820734616,7.09620677579835,1.30646889454431e-09,9.05950203443567e-07,11.7699588514588
"117143","TADA1",1.03865076749541,3.45854298304874,7.0879263476716,1.35082038286814e-09,9.05950203443567e-07,11.661428784718
"283219","KCTD21",1.44247128340352,3.68593999705992,6.91098320929918,2.75456299844086e-09,1.76342114863823e-06,10.9976058080775
"27245","AHDC1",1.1113713145276,5.8092415307381,6.82617532379547,3.87339657242851e-09,2.37186597069927e-06,10.7216826029198
"81629","TSSK3",-1.69183404498881,0.547898426756067,-6.6693634352441,7.26511355521677e-09,4.26341080465304e-06,9.58748848359879
"84132","USP42",0.822404428953549,4.21627090748547,6.62292727205256,8.74919457083336e-09,4.92894625342468e-06,9.94312576501174
"114821","ZBED9",1.3300229552113,2.4336762277658,6.597207797633,9.69716627548053e-09,5.25288037784107e-06,9.71780590696616
"51193","ZNF639",1.01803370217232,4.43869467566575,6.58583013575468,1.01484718289816e-08,5.29374360145843e-06,9.80654308711459
"29998","BICRA",1.1429315103821,3.33793142066892,6.55162651336554,1.16348309702025e-08,5.85231997801185e-06,9.62965745801923
"168451","THAP5",0.941184932680347,4.49061901397815,6.50664843052113,1.39234245014488e-08,6.76198312684154e-06,9.50394173502898
"83744","ZNF484",1.62096012259206,2.10003693616722,6.44055986656313,1.81208509944938e-08,8.50713551354836e-06,9.05713701478584
"5193","PEX12",1.09324942668038,3.12005349048709,6.43178140322521,1.87656660742436e-08,8.52566583837571e-06,9.16929180471763
"4899","NRF1",0.705634103553662,3.24796272112543,6.37313140717895,2.369890372296e-08,1.04304800010678e-05,8.97260719223965
"285349","ZNF660",1.43736842716399,1.14328811721871,6.31311028015639,3.00809408329748e-08,1.2838180930049e-05,8.45593263857897
"5914","RARA",1.37140215154113,5.08641072108059,6.26760714489242,3.60316107853903e-08,1.49255648912187e-05,8.58642776070676
"4092","SMAD7",1.21515528705225,5.22503482218347,6.25419863303422,3.79982084914039e-08,1.52904790969409e-05,8.54132424926875
"4084","MXD1",-1.06416845771377,3.66633584606588,-6.23929893827953,4.03086308568572e-08,1.57696321385549e-05,8.48648906989625
"4091","SMAD6",1.13419947017058,6.1758745167916,6.21990262309017,4.35262720897069e-08,1.65682166516603e-05,8.38264868428501
"55904","KMT2E",0.930449026185493,5.46776255613416,6.21264880165237,4.47939842088473e-08,1.66020650946686e-05,8.36340533004221
"60468","BACH2",1.57604225357993,3.98846581762416,6.16471033980844,5.41433330543755e-08,1.95526846855853e-05,8.20939633120082
"9972","NUP153",0.773287036994508,5.42562984772815,6.15413477443002,5.64532559840398e-08,1.98771914319804e-05,8.13968388029729
"79692","ZNF322",0.734086857812555,4.05744511410844,6.0650248844546,8.02248430752124e-08,2.70388825135282e-05,7.83657057805398
"91661","ZNF765",0.975611048583662,2.9578495354439,6.0588332897894,8.22044707010559e-08,2.70388825135282e-05,7.77713122204341
"4800","NFYA",1.11651635692522,4.36932982488225,6.05703725754496,8.27877153471691e-08,2.70388825135282e-05,7.804830281819
"157638","LRATD2",1.55019348268769,7.09096932299011,6.05191868737487,8.44725099826213e-08,2.70388825135282e-05,7.74320188776535
"57645","POGK",0.731833525875217,5.342322323214,6.04345903182553,8.73318054126461e-08,2.73329143873713e-05,7.72300436025282
"147949","ZNF583",1.20275711670339,1.95392123893609,5.99897224610411,1.04021447348401e-07,3.18486535751061e-05,7.48064087584782
"147694","ZNF548",0.975603784735715,2.90712943877382,5.97730718639726,1.13256831212498e-07,3.37055937397666e-05,7.47804567816838
"2627","GATA6",1.00332684455529,6.61339766970901,5.97193116240091,1.15671504613236e-07,3.37055937397666e-05,7.43538158050246
"389677","RBM12B",1.29270970746259,4.28419672392849,5.9684417927564,1.17265982196007e-07,3.37055937397666e-05,7.47475916944717
"3280","HES1",1.04782886671248,5.56376812019917,5.9396128121467,1.31299656598763e-07,3.69844872707397e-05,7.34648406394117
"121536","AEBP2",0.829657707090452,4.36134336978144,5.89539310943385,1.56118074228866e-07,4.31130775968499e-05,7.20387547466882
"8690","JRKL",1.04996351152645,3.06727005343621,5.87460934442689,1.69334740577428e-07,4.54755145666011e-05,7.10325852100264
"163081","ZNF567",0.986780994485644,2.47582700865529,5.87191005886273,1.71130522012912e-07,4.54755145666011e-05,7.06545901340524
"54971","BANP",0.881518665563686,3.21456175748568,5.85691904981966,1.81451994119002e-07,4.73253682439264e-05,7.03932961088443
"26512","INTS6",0.868610199600347,4.59219718687425,5.85086337819158,1.85793891359969e-07,4.75767484711602e-05,7.02921517545127
"10395","DLC1",1.23601919711772,6.66924775032538,5.77813406599802,2.46695483145949e-07,6.20439140112061e-05,6.70734171007115
"25976","TIPARP",0.947721717158029,6.36934432261082,5.71645869426141,3.13518147843727e-07,7.74664841093167e-05,6.47444050114182
"359948","IRF2BP2",0.993650415447085,6.34275888695446,5.68824369663625,3.4977357166594e-07,8.49346721266051e-05,6.38241544511038
"7738","ZNF184",1.22656348254866,2.71902041931158,5.6725965543498,3.71633524392917e-07,8.87133314838958e-05,6.36370686990707
"65260","COA7",0.74743252724977,3.6683316796902,5.66402822078455,3.84170077800012e-07,9.01775229289228e-05,6.35494560054035
"90321","ZNF766",0.865829802173239,3.43852281178452,5.62695854363374,4.43395069611715e-07,0.000102373379678875,6.22027589012565
