"","samplenames","indv","drug","time","RIN","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72"
"Da.1.3h","MCW_RM_R_11","1","Daunorubicin","3h","9.3","1",-18.3315394244983,61.7101292693746,44.0391386178659,-4.54703141721539,24.6421068335648,-35.0324525778396,3.97870842874403,-23.2527081545751,31.3865205165473,-4.48882307292388,10.0125118342454,-11.0187300975929,12.3666181571187,13.3476225762493,-2.08440028266311,14.1800299987161,-3.32563890795946,14.2713222802219,-7.77443937955283,4.05937038450783,-2.31248260899351,6.56643451054522,-10.4916551918616,6.52686528556431,-4.5518742959618,6.92658404495165,-4.3757564078328,2.15408373692706,2.30997394087993,5.17658712854837,5.356430288859,-6.60802862432493,-1.8536964100289,-11.7358888588711,2.58674575759254,7.88566635737427,-7.93284982810196,-0.971128763912273,-7.47817601894608,-3.20034329914581,-0.26621078032926,5.9213755221986,3.94840788098106,1.73927251596441,5.1396411238341,6.27520724758218,5.77281725596966,-2.52318652836321,-4.38579656930658,-0.216911633508585,-4.41889553330687,-3.81789321732535,-2.92396286066045,-1.9669252613647,-4.26845745888971,-10.1022336940008,0.822442142209482,1.03775666719096,2.75239492423661,0.468220408673809,2.67308433747732,1.59234073958931,2.10668576771381,1.57165797907888,0.0848884011995425,-2.01896091804991,-3.43871563175577,-1.13161861558243,-2.24661396814154,1.2588370532303,-0.641023913490564,-8.97002114377604e-14
"Do.1.3h","MCW_RM_R_12","1","Doxorubicin","3h","9.8","2",-12.3628013051233,73.9767825054824,24.5763952274475,-8.62652787269371,-19.9085795908697,-18.9744720146995,7.20832835584883,-10.9093921970074,14.5918495637126,-9.74598722781275,-10.7701646627847,-18.7906754462757,8.26533769374692,-7.85076103302001,0.815572059862109,13.8933798381786,8.81362188564033,4.33790757948846,2.39639781724146,0.0900353691787895,3.81463567636704,1.20257090593835,3.71594874860653,5.01878526747024,1.2575029411701,-1.76602132924369,-4.4672224793607,-4.70625598132585,6.64696216248063,-0.827935990063376,2.61870414114464,3.25783398016011,1.99191949851999,-0.142326466866805,2.32348046570003,-1.43987112224203,0.688353885180187,-1.96903340416816,4.37257693613512,-0.645003841316885,2.96811855831814,-0.408483007093138,4.44008745273538,1.99333121908858,4.46109426837523,-5.22550338446138,-0.323219913864787,-3.7582460200949,1.27231844939159,-2.94367105403786,-0.0191519717256684,0.8430272976604,8.47231053028716,4.5384494166096,7.4854857077739,5.90528911041286,-9.26013912288607,-9.27445868626827,5.49598961039921,3.58152222392802,1.70415443135383,0.708640003160875,-4.85903799466812,-7.95611087126322,1.11988079038637,-3.67683027920425,-4.14727934510726,-0.154052352462909,-6.62904724288179,1.60136265500568,-0.956679691111477,-4.91152969260989e-14
"Ep.1.3h","MCW_RM_R_13","1","Epirubicin","3h","9.8","3",-11.1620534016651,66.4879389525309,33.0256278213663,-9.34954871797703,18.0835691673553,-43.0655079240807,3.96335269265849,-34.0166712914107,15.3799312349554,13.3965226172402,10.6406921631539,-22.2942250830568,20.5771679947244,-0.850278881889224,-10.4851371095745,7.39269744992683,-2.4877563958187,6.60559520495552,0.626614035838934,7.78674281880524,4.09727782922515,-3.84483760752253,0.781707133419988,-0.891835267097314,0.815772351519597,-1.38774638230382,-5.45487624913258,-3.91031269789334,-0.214170297625199,0.956892057191415,3.56105258358941,-2.11527496293923,5.32396566506335,1.2557110604245,2.1336980812178,0.280743164228245,-3.35656989773298,-3.97259783221645,4.88866009221653,1.74649814250088,3.84887618520163,2.44009912992629,-3.86580735514603,0.432756589090729,-1.05988336908015,-0.0532636977959566,-1.15562375787973,3.2775320790596,-1.03672143582636,-1.32645201938021,0.765572127180823,2.87675467058917,0.649858947388779,-0.0781798309894493,2.98975577212084,1.50114292708518,-6.77150610145967,-0.756116433054036,-5.84602219108193,1.60537856006884,-1.98699876726463,-2.67309413965734,3.06671053886407,-0.893497664717862,-3.94846462717745,5.49235108768498,8.35648912123431,3.09075346943562,13.1464994462553,-2.09864313462177,2.70416556591613,-5.79715379975428e-14
"Mi.1.3h","MCW_RM_R_14","1","Mitoxantrone","3h","10","4",-10.1994799526612,73.4834277747869,19.0167664793965,-14.6396507520041,-9.06532374964408,-24.2990817426812,1.25113706761897,-13.6500274149186,11.8144649806584,-5.38078376327871,3.91509240025209,-14.5024025107509,16.253670530763,-10.5935285006781,-4.56966208808596,7.19160315489887,8.1821497427519,-6.62649338883962,5.73026509176102,10.6101579824477,-4.1690817697042,9.00701414995041,5.78847469567366,-8.68407485093413,-5.2030609130251,1.92412339252093,-6.20014622101799,0.45715578954658,1.46228993816914,-2.05661400044507,4.13626775439204,-1.95657680229451,1.74543859082373,1.59896289965254,4.18783495127009,-3.40580427025964,-1.25519786631579,-0.611070172382899,2.33175326829955,2.90402634102452,6.00759854347144,7.60072630743622,-1.82936236671697,-0.89830062829314,-5.3789820903045,-4.65018805530216,-2.37199132298815,-1.21528701854106,4.46071065144455,-1.90399560248542,0.618254981101148,2.75150159772531,-5.57299728660944,0.0180056395057111,-0.186755364413079,6.08425930587358,11.3799311874622,5.99020896540898,0.208815197524986,-5.18289566554575,-12.0455615567283,3.00164270765249,-1.86550755535703,3.01484319481267,3.52717380028317,-0.956174668297328,-2.20985357108643,-1.98145623017097,-4.71684950446145,0.0707300874839601,-0.254345075288741,-5.80348452400205e-14
"Tr.1.3h","MCW_RM_R_15","1","Trastuzumab","3h","9.6","5",-12.1761897341057,80.0145362294535,2.64062393596357,-17.0192961480564,-34.2539249064773,-11.7788058819733,-4.12920733323163,-7.63648874982479,9.41594970543423,-2.2509869804715,1.80861015306924,-12.1487221849628,28.2559448453282,-8.35202346031333,-0.516685864572552,-1.49195912917907,5.36547435271098,-2.71244826479259,3.37328343588662,-8.0180878739158,3.85843099595986,-0.249039693613736,0.245118411003825,2.23721030200285,-1.83673875059904,-2.8234085887274,3.19806185694095,1.76466805467854,-9.92696521425267,-8.61737876748327,-7.28237317408624,-1.51410235609384,-3.24387048398346,5.61195404162909,-6.20584423484797,-5.76958700097052,9.59873857203401,-1.91624675432379,-3.47955105230732,-1.73479681641518,1.59393299590549,-5.50077492234108,-3.7913298090596,-3.25569679928811,0.713568938473521,3.91940110791643,11.684346471272,5.5294635245768,0.601584031258029,5.37554463350996,-9.14839605709893,4.98893845660843,8.97387064306598,-5.64132664622735,4.34869015197358,-5.28799459931997,4.21898132917408,2.29972508637976,1.58253719428688,0.809243455424726,0.354279646992236,0.0409237029454678,-1.2111543316802,1.69340852943856,-0.800548031876582,1.26116329961937,1.33288342679,-2.55645983501658,-1.10029251586328,1.53219140931977,-1.1758088594398,-1.0507809967736e-13
"Ve.1.3h","MCW_RM_R_16","1","Vehicle","3h","9.9","6",-14.9822635173859,76.6219875616535,12.7068076977427,-4.1734115204993,-39.846594509169,-17.1621310925451,-1.13452132572551,1.05627051831045,2.20480790239425,-11.7179160884318,-14.8254510011173,-10.4706354038682,21.6429847823343,-16.8570225367775,3.27928898909844,11.5186353286535,12.5339055638394,2.98529318810775,3.33812727082152,-1.04730295640922,1.09948147417545,8.20420311388789,2.39683025373555,11.5990947380602,0.201264270162062,0.544991793198191,0.614930216716569,2.2092307570546,6.57543127378547,-6.59508265267155,-5.10559251932709,-1.41034375634927,-4.43411737860567,6.97044435593121,0.0611979575188011,-5.13682511797232,6.5457938751508,-0.802858567253447,4.2189062380075,-3.5467293107584,-4.89584829165937,-6.39215838339373,4.37706387689403,1.11946464263281,-1.94260060406063,4.91947966603921,-11.3531675223944,-0.827228808177376,-0.300554800360609,2.35385607992367,10.4614767270874,-5.04437496287493,-6.47541791518179,3.70290147624461,-3.86889611222807,-5.08355419408016,1.49817939220443,3.97816020044015,0.188435391872032,-0.583230990711762,8.35139881080405,0.194550575835165,1.07004433868587,1.26448534441873,2.65663327549884,-0.681991386192603,-0.254594752836192,0.599727558416997,3.0979098809713,-0.93576860229883,-0.897384231129001,-1.09269730308274e-13
"Da.1.24h","MCW_RM_R_17","1","Daunorubicin","24h","7.8","7",134.468902935125,41.4283623530906,15.504587797066,-28.5313887434995,-26.6403610828789,16.5068391332867,9.69808305592071,12.4029475162236,40.565761409835,2.12960451829178,-5.49578848070305,31.7221989642053,-18.7489935201316,-9.34775086748134,-2.00390079994331,-6.6100034092898,-16.3222705543128,3.06334978426188,9.76131535928417,-2.53589714057207,12.5343360508179,10.1191362844454,-17.3495357485941,0.364167098622221,8.58832502422129,0.197005384853338,-9.175414095258,12.2057942838511,1.4909477110692,9.89812052325444,15.3058818167197,1.25918866445539,-3.69439395319693,2.01688450608702,0.312951649730559,-9.50333825662982,7.3676335968235,5.9498548692991,4.02220320585303,-2.48056366567323,-3.38104480330643,3.16807380146083,-4.64090939440137,-0.374603324779274,-0.0439782684687933,2.51294197912957,2.26837242034839,2.195045368473,0.621861266247693,-0.49299083431236,0.874081087240912,1.45940491458312,-0.810770591810913,2.24020964356641,0.439639300568103,-0.96477902625823,-1.9229682615454,0.747002168591463,-1.27015600712388,1.18688505005101,-1.44950728151771,1.14411554252095,-0.527181833915077,-1.42786927197957,-0.987111640874272,-2.49610213331789,2.16545153144836,-3.07347507878412,0.142637620443085,-1.52978281956473,0.305826973078841,1.47249833853946e-13
"Do.1.24h","MCW_RM_R_18","1","Doxorubicin","24h","8.7","8",129.349962847696,45.7306263939235,8.56678471220797,-11.3252649469053,-39.0211872166036,7.80248492570085,7.58519714072208,6.20042689203017,36.3599890400654,-2.32952561080005,-26.1124512768676,21.822530953192,-22.1219024853975,-14.6586757240427,5.21273372799439,6.63823532893011,-2.01126236623524,1.38506904143196,-7.56821862063846,-3.78387790165196,-15.0277083006521,-2.69964446298427,-3.89252134607506,0.0906706235061178,0.0453648599858297,-8.05028593233753,-0.333279346275183,1.06295432367517,-1.47752347602939,-8.55233517439373,-5.98233890673745,4.03961328762323,2.99670495286986,6.3418090402455,7.5073797000291,11.4086247425694,-3.8716647200867,-6.65139789016371,-5.39881972765879,6.59093301326056,3.24304440662637,-0.87633375161306,-0.0971727470650983,2.96657116659798,0.709433301896222,3.82937458740989,-1.52600589725335,-0.471032713901127,-2.29358393658933,0.0575289153023672,1.44000392252588,1.94202571961433,6.27129737512186,-0.223562468719172,-9.74395629827046,0.501035571221029,-0.954259869680142,4.11841389031297,-2.2122639033178,4.73164541868924,-5.15087379657351,-5.71955989650706,-2.18447359094236,-1.53433589200708,1.24455764522069,0.610011706444588,0.0488185819938282,2.09639785690955,-0.406511366170729,0.355828889538782,-0.295414750481049,-2.50573813000837e-13
"Ep.1.24h","MCW_RM_R_19","1","Epirubicin","24h","8.6","9",139.047528466173,36.0095030005996,-4.53962908043849,-33.8365725944448,-19.7229186949011,10.8730150286986,8.41169067271299,-11.6641823698166,33.9725591326943,17.495499419666,1.68121638959803,20.3569255396757,-4.57083151142569,-12.0726554702332,-9.34959112852632,-14.8972001449647,-10.7974874705875,-0.466236389360835,-10.6512033883423,-2.34824966646297,-6.09258643931891,-16.2223616581452,-7.54774430254346,-12.4544114199827,-14.9451226343147,-7.24592070128462,3.87874098100319,-1.44765450799078,2.94221501400507,-1.30794725002589,-0.850647987412803,-6.21153319536625,4.95810813323802,2.41093227035122,-0.991649774329575,1.45649157622664,-1.369244404604,-5.83194813705068,2.2307772608542,-2.36158233853645,1.16215259970205,-4.0170273661356,2.87388094461628,2.45722989984008,0.628764306937808,-3.91454683795717,-4.46982083528421,-1.02905424212208,0.853963658572591,-0.56315740219054,-2.30474839229507,-2.55004786266844,-5.92487025142837,-3.15047423871161,9.64754350427923,-0.271398933925177,2.54154245867106,-5.63878518583479,2.90795515759389,-4.36406862681905,5.83650937939376,4.57159851044873,1.39292621914564,5.52544786959433,-1.31794411126308,1.38807882368096,-2.20186687597992,0.989600304185703,0.60606354909785,1.85410889955399,-0.0421157848858385,-1.99442377760498e-13
"Mi.1.24h","MCW_RM_R_20","1","Mitoxantrone","24h","9.1","10",39.6429362131562,82.6264422394172,-23.4572983350904,-13.1856414191475,-44.2686784349267,-4.33347878679047,-30.9175889650067,-15.2954882408157,9.769834319863,-36.5944085796577,15.6551951405873,13.6640556519103,-18.19728255783,-1.98022092758162,-3.85749574624761,5.07359106849603,-0.548802541769467,-11.5679684834768,-0.319900543111567,-0.0437973383202961,3.15075762413168,-10.1313172467668,6.033484948397,-0.929408010817135,10.86119215688,2.76061083424658,8.16766395557435,0.324106686330251,-9.55028199408361,-0.292011059418155,-11.9738336048215,7.13084167164,-1.2552625633312,-7.57406248338087,2.05663274632602,2.78003373929895,-5.1284930421778,11.606041383034,2.22298031264935,-3.03345205744715,2.29626057625976,8.98218426017744,3.4597897106864,-4.90572593398189,1.46843025860493,1.68193812268464,-1.85250677011328,0.641099067999437,2.84284810266581,0.653538749643568,-0.521110024662237,-3.46559367945133,-1.5232226055925,0.788618551386024,4.59836291889324,-1.78348142768754,0.048023343804135,1.33541376782046,-4.62125128836995,-4.22985373702625,1.85920692624826,1.79457187291297,3.5408388722432,-7.01899594587975,2.02482552243546,3.42268601277707,1.74148606571474,0.140330298723651,-0.5374277647215,2.3998548737244,0.363434406093896,-6.89159829463798e-14
