"sigVDX24.ENTREZID","sigVDX24.SYMBOL","sigVDX24.logFC","sigVDX24.AveExpr","sigVDX24.t","sigVDX24.P.Value","sigVDX24.adj.P.Val","sigVDX24.B"
"1643","DDB2",-2.59391464648069,5.18884519152182,-19.482277113051,1.73581339719679e-28,2.44471958861195e-24,54.4452865358181
"8337","H2AC18",-3.00489743862064,4.86192606642999,-15.7801446206893,1.17222366103328e-23,8.25479902099637e-20,43.5086498169022
"7803","PTP4A1",-1.90263973927917,7.66269998783862,-15.3624667631883,4.54669848497297e-23,1.47378968825687e-19,42.1890357798667
"132","ADK",-2.05992040291854,5.17880879967672,-15.2976923201952,5.62123191163669e-23,1.47378968825687e-19,41.9842425818868
"85459","CEP295",2.00874546606969,4.04604615086618,15.2869989097402,5.82188549039078e-23,1.47378968825687e-19,41.8753102352213
"723790","H2AC19",-2.94713277356563,4.86662344198049,-15.2639891469851,6.27857010049789e-23,1.47378968825687e-19,41.8576884495022
"29965","CDIP1",-2.62287122155245,7.28743846094088,-14.6232602516577,5.28089731825299e-22,1.0625165404325e-18,39.7652626784973
"8493","PPM1D",-2.00230710739802,5.52788590085733,-14.1132343254606,2.98554020271525e-21,5.25604352688019e-18,38.0521112716492
"4488","MSX2",-3.08341372181318,4.33222219276033,-14.0764157902707,3.38758046142854e-21,5.29688459534824e-18,37.9081650760791
"25861","WHRN",-3.79079072943434,3.77114261678351,-14.0459847705966,3.76092345594167e-21,5.29688459534824e-18,37.7827428353086
"56963","RGMA",-6.66327654357121,1.53838335967072,-13.8467808526688,7.47806740776669e-21,9.57464557918055e-18,36.7462669685801
"5198","PFAS",1.90924200581639,4.77458898073621,13.6482471871029,1.49099491920537e-20,1.7499310368407e-17,36.4539646120599
"3628","INPP1",-2.65742676794232,4.22754542134584,-13.3042670878999,4.98780276416038e-20,5.40370877926421e-17,35.2648567465705
"199699","DAND5",5.61028726916092,0.28098783419464,13.1588367511167,8.34859345282323e-20,8.39868501354017e-17,34.1281049863297
