"","indv","Drug","Conc","per.live","ldh"
"1","75","DOX",0.01,0.934585164829345,1.18903464006743
"2","75","DOX",0.05,1.10614881601774,1.1067286773041
"3","75","DOX",0.1,0.871899445992561,0.68348144785383
"4","75","DOX",0.5,0.7607141869539,1.47614951683126
"5","75","DOX",1,0.423987668255335,1.26947739057263
"6","75","DOX",5,0.389903923844606,1.2563655486736
"7","75","DOX",10,0.4153908124455,1.01971749655324
"8","75","DOX",50,0.0335633514082764,2.67534462247113
"9","75","EPI",0.01,0.892884431566161,0.999135355235291
"10","75","EPI",0.05,1.01599567576862,1.18235049884957
"11","75","EPI",0.1,0.855075018702676,1.04185024834522
"12","75","EPI",0.5,0.638661478678386,1.07475830242136
"13","75","EPI",1,0.447575362906739,1.05633672148656
"14","75","EPI",5,0.586822072908427,1.02566564164104
"15","75","EPI",10,0.521480894828486,0.834789929865732
"16","75","EPI",50,0.00302036889647872,1.67306285192762
"17","75","DNR",0.01,1.01272306754284,1.07309064663366
"18","75","DNR",0.05,1.10041483837866,0.823105859178484
"19","75","DNR",0.1,0.713286639130096,0.639723140640235
"20","75","DNR",0.5,0.635012069961074,1.04087519761886
"21","75","DNR",1,0.458754846196897,0.680892997690412
"22","75","DNR",5,0.220693417533618,1.47661946094107
"23","75","DNR",10,0.0229290233390353,1.46903219947281
"24","75","DNR",50,0.00520323023496157,2.02634971538734
"25","75","MTX",0.01,1.04634578404895,1.37267589025221
"26","75","MTX",0.05,0.918653897331166,0.889581740727381
"27","75","MTX",0.1,0.778312729926074,0.58520760343785
"28","75","MTX",0.5,0.874359516186085,1.28461873912544
"29","75","MTX",1,0.53980425836194,1.06687160497013
"30","75","MTX",5,0.0225921928200455,1.75695965319829
"31","75","MTX",10,0.0119108740231548,1.56179542676443
"32","75","MTX",50,0.00309267860853616,1.90906529059988
"33","75","TRZ",0.01,0.929904545218054,0.963293395567643
"34","75","TRZ",0.05,1.03200631809726,1.04366932161494
"35","75","TRZ",0.1,0.765050925160378,0.634388163061327
"36","75","TRZ",0.5,0.952340699805001,0.913070776255708
"37","75","TRZ",1,0.881347563855767,0.88361244577133
"38","75","TRZ",5,1.00764128026756,0.880587553150367
"39","75","TRZ",10,0.873085471068791,1.27804970324655
"40","75","VEH",0.01,0.910188963061988,0.906896615090595
"41","75","VEH",0.05,1.02243247603521,1.09023302981007
"42","75","VEH",0.1,1.00040423077903,1.05233097736846
"43","75","VEH",0.5,1.04098953826538,1.04406392694064
"44","75","VEH",1,0.888255594625061,0.991370061109297
"45","75","VEH",5,1.03842683598018,0.970637804406649
"46","75","VEH",10,1.13106651765024,0.924546593837932
"47","75","VEH",50,1.01409446064343,1.06092176926886
