"sigVEP24.ENTREZID","sigVEP24.SYMBOL","sigVEP24.logFC","sigVEP24.AveExpr","sigVEP24.t","sigVEP24.P.Value","sigVEP24.adj.P.Val","sigVEP24.B"
"1643","DDB2",-2.49755420255839,5.18884519152182,-18.8467534310631,1.05074100042992e-27,1.4798636250055e-23,52.6417928578458
"8337","H2AC18",-2.95190191388206,4.86192606642999,-15.5502145368215,2.46559431695908e-23,1.73627151800258e-19,42.7558425494366
"85459","CEP295",2.0717387345162,4.04604615086618,15.374402490312,4.37263751721541e-23,2.05280755974873e-19,42.0943046655376
"723790","H2AC19",-2.90412950072543,4.86662344198049,-15.0851007508985,1.13193043822426e-22,3.98552707298762e-19,41.2602043697703
"25861","WHRN",-3.81123491693982,3.77114261678351,-14.124474634856,2.87268291851818e-21,8.09177324488201e-18,38.0194772829713
"56963","RGMA",-6.6770822551064,1.53838335967072,-13.8677654459184,6.95410557889131e-21,1.63236038288509e-17,36.7171874744007
"57828","CATSPERG",-3.6837579437565,0.476859074495718,-13.4947483396347,2.55086237267435e-20,5.1323350938208e-17,35.3021416493665
"8493","PPM1D",-1.88215613555262,5.52788590085733,-13.3232550495327,4.66432075889959e-20,8.21153669604272e-17,35.3313945786604
"7803","PTP4A1",-1.5928226286181,7.66269998783862,-13.1304237682059,9.23540747624488e-20,1.4452386543937e-16,34.655862996845
"29965","CDIP1",-2.27765054583422,7.28743846094088,-12.9794466538175,1.58188068865631e-19,2.22792076190354e-16,34.1233895993931
"23312","DMXL2",1.51840187332018,4.81793753609291,12.9292931603852,1.89274794490035e-19,2.42340564145241e-16,33.9451918761055
"55632","G2E3",2.60718278263343,3.11256489761471,12.833298553624,2.67066614839108e-19,3.13447183616167e-16,33.4899681384033
"4488","MSX2",-2.77779511435795,4.33222219276033,-12.6498605495952,5.17332268747866e-19,5.60469821003457e-16,32.9472695988963
"57622","LRFN1",3.01327689233657,3.43266356651724,12.5342135104364,7.86599425077039e-19,7.91319021627502e-16,32.433804900468
"642938","INSYN2A",-6.10829667276535,0.276319269377034,-11.8917656369106,8.31751252783006e-18,7.79019400820102e-15,29.9244046122223
"100144748","KLLN",-3.79485659957018,2.55615742415872,-11.8750484494358,8.84997899256009e-18,7.79019400820102e-15,30.0844899640174
"51557","LGSN",-4.62577837729635,2.62614051265189,-11.8327725445759,1.03552137566648e-17,8.57899003228632e-15,29.9008688579739
"5198","PFAS",1.59418265617254,4.77458898073621,11.6513944777635,2.0366041464744e-17,1.59352959994141e-14,29.3268965266173
"51191","HERC5",-3.5555436794736,1.21292691381954,-11.5785589754322,2.67517965316775e-17,1.91827452823939e-14,28.8763509239816
