"sigVEP3.ENTREZID","sigVEP3.SYMBOL","sigVEP3.logFC","sigVEP3.AveExpr","sigVEP3.t","sigVEP3.P.Value","sigVEP3.adj.P.Val","sigVEP3.B"
"5514","PPP1R10",1.66626408913763,5.626744910146,7.97254138276024,3.78113289054373e-11,4.23826474205248e-07,15.0305821430441
"284406","ZFP82",1.46459743472416,2.19065478578069,7.85762268233992,6.01855260160817e-11,4.23826474205248e-07,13.6978575266523
"4690","NCK1",0.596846402194703,4.26063857492032,7.34308942122772,4.82262620263836e-10,1.85444672109251e-06,12.5595059251072
"1385","CREB1",0.771218734798863,5.06370564928723,7.27052845937677,6.46527737787519e-10,1.85444672109251e-06,12.3708628181492
"57547","ZNF624",1.37782103381927,1.55836134971468,7.26604070955675,6.5835228667016e-10,1.85444672109251e-06,11.3363312722608
"4899","NRF1",0.782155829904727,3.24796272112543,7.08203656972254,1.38327782363199e-09,2.59886114382741e-06,11.3833457750826
"7716","VEZF1",0.764801684342936,4.96003690116036,7.07197405033151,1.44053965121546e-09,2.59886114382741e-06,11.6041317537881
"10221","TRIB1",1.81843017468452,6.26322750539779,7.06590606038937,1.4762062731198e-09,2.59886114382741e-06,11.6184975603539
"5193","PEX12",1.16972797700548,3.12005349048709,6.89835840604007,2.89803043733903e-09,4.53509563105365e-06,10.6308857466886
"162239","ZFP1",0.964398550445212,3.34990931629238,6.82048624439938,3.96292058206768e-09,5.58137734778412e-06,10.4279156995701
"114821","ZBED9",1.34665312125042,2.4336762277658,6.7327803310968,5.6347369987457e-09,7.21451235366677e-06,9.8775736332763
"23394","ADNP",0.734720025301016,6.64257307707577,6.44787809329244,1.76001563224017e-08,2.06567168037255e-05,9.27613789945893
"284309","ZNF776",0.938335677182687,3.82367756695441,6.36497129702636,2.44803956485278e-08,2.65216840241435e-05,8.88465326686588
"7705","ZNF146",0.717750140316978,5.91720527532027,6.33459624876712,2.76209744874872e-08,2.77867003344121e-05,8.84815896327308
"10140","TOB1",1.02366670113887,5.37294931689944,6.1615153458968,5.48311264327229e-08,5.09491159961571e-05,8.18992147077735
"51278","IER5",-0.923431819245383,5.94729948000738,-6.14781374130369,5.78802794616951e-08,5.09491159961571e-05,8.14428033679462
"23642","SNHG1",-1.34314284834867,5.35127435968601,-5.95729840305482,1.22505116972421e-07,0.000101491886319975,7.43330500431619
"7707","ZNF148",0.654727527596772,5.59868104429151,5.87382164538943,1.69856846134312e-07,0.000132903545608647,7.12594330847343
"26512","INTS6",0.846679314257445,4.59219718687425,5.76601238411048,2.58609517635946e-07,0.000191697707704456,6.71741554727537
"3337","DNAJB1",0.750483705672928,6.11426190249596,5.75267462937759,2.72376561429725e-07,0.000191807574558812,6.67730760052663
"9304","SNORD22",-2.02449694033898,1.20095489637022,-5.70505144465415,3.27705921241455e-07,0.000219781437845936,6.00064336432092
"27245","AHDC1",0.910724695688313,5.8092415307381,5.68817958456615,3.49860495742495e-07,0.000223974328274422,6.44204557791618
"84872","ZC3H10",1.00128168854201,2.25175552571295,5.54871714325024,5.99562641508702e-07,0.000367140880130807,5.70893107693223
"60468","BACH2",1.366276562534,3.98846581762416,5.50585241481283,7.06969163858133e-07,0.000414873070990748,5.76538113257872
"168451","THAP5",0.759762746291433,4.49061901397815,5.3976403007106,1.06984563443688e-06,0.000602708236616359,5.39155501626306
"54925","ZSCAN32",0.601461644509774,3.43969950502764,5.35234987396262,1.27143321274549e-06,0.00068872559108875,5.19511983259913
"8690","JRKL",0.933983202742387,3.06727005343621,5.32527266330943,1.40935354661519e-06,0.000729015016744495,5.04591667069547
"51193","ZNF639",0.797889175430918,4.43869467566575,5.31226971705676,1.48071776674491e-06,0.000729015016744495,5.08990020315293
"147949","ZNF583",1.0425096417783,1.95392123893609,5.30866978917721,1.50109595893144e-06,0.000729015016744495,4.87619262777528
"54971","BANP",0.768560167754814,3.21456175748568,5.1958931634024,2.29983060708777e-06,0.00107969380900747,4.60540085697423
"79692","ZNF322",0.611194012632517,4.05744511410844,5.16975350192904,2.53775557884015e-06,0.00115295966362531,4.58436416462847
"22822","PHLDA1",1.32873991365455,7.11388820734616,5.1067702185242,3.21481949860042e-06,0.00141492243182151,4.34494796861757
"339324","ZNF260",1.16369552915959,3.77450081317623,5.05235265047814,3.94035432734172e-06,0.00168169546503881,4.17288162838738
"149483","CCDC17",-1.94339947409184,0.0612077236384548,-5.01419063115063,4.5426479243297e-06,0.00183847442130987,3.56942344843853
"7565","ZNF17",1.145410185868,2.26172756487624,5.01264982569965,4.5687734127979e-06,0.00183847442130987,3.92561347896101
