SampleID,Drug,Conc,Percent,Name
ind1a,Daun,0.01,0.6447900135190736,Daunorubicin
ind1a,Daun,0.01,0.8118460882854287,Daunorubicin
ind1a,Daun,0.01,0.9250205725033797,Daunorubicin
ind1a,Daun,0.01,0.9337198025039676,Daunorubicin
ind1a,Daun,0.05,0.8847397089025805,Daunorubicin
ind1a,Daun,0.05,0.9104696847932849,Daunorubicin
ind1a,Daun,0.05,1.0104027145280827,Daunorubicin
ind1a,Daun,0.05,1.1155906777390838,Daunorubicin
ind1a,Daun,0.1,0.6978069710774446,Daunorubicin
ind1a,Daun,0.1,0.9061288272062719,Daunorubicin
ind1a,Daun,0.1,0.9601970547727514,Daunorubicin
ind1a,Daun,0.1,1.0461171734293886,Daunorubicin
ind1a,Daun,0.5,0.47585340527711334,Daunorubicin
ind1a,Daun,0.5,0.6301895013999369,Daunorubicin
ind1a,Daun,0.5,0.6965845246704122,Daunorubicin
ind1a,Daun,0.5,0.7751293319241253,Daunorubicin
ind1a,Daun,1,0.3283282766781559,Daunorubicin
ind1a,Daun,1,0.41258178365771603,Daunorubicin
ind1a,Daun,1,0.5194320034674207,Daunorubicin
ind1a,Daun,1,0.5583579286289241,Daunorubicin
ind1a,Daun,5,0.037343506528397186,Daunorubicin
ind1a,Daun,5,0.15829348234914836,Daunorubicin
ind1a,Daun,5,0.20100567764583666,Daunorubicin
ind1a,Daun,5,0.3200616123081331,Daunorubicin
ind1a,Daun,10,0,Daunorubicin
ind1a,Daun,10,0.0016112526400591848,Daunorubicin
ind1a,Daun,10,0.014234546127550204,Daunorubicin
ind1a,Daun,10,0.03606810808456895,Daunorubicin
ind1a,Daun,50,0,Daunorubicin
ind1a,Daun,50,0,Daunorubicin
ind1a,Daun,50,0,Daunorubicin
ind1a,Daun,50,0.0063202697965169035,Daunorubicin
ind1a,Doxo,0.01,0.6459692588020924,Doxorubicin
ind1a,Doxo,0.01,0.7047551872097807,Doxorubicin
ind1a,Doxo,0.01,0.7346881796273437,Doxorubicin
ind1a,Doxo,0.01,0.8040873155822017,Doxorubicin
ind1a,Doxo,0.05,0.798365925529065,Doxorubicin
ind1a,Doxo,0.05,0.8301321546566658,Doxorubicin
ind1a,Doxo,0.05,1.0293329761585857,Doxorubicin
ind1a,Doxo,0.05,1.052674345923743,Doxorubicin
ind1a,Doxo,0.1,0.8086026062082847,Doxorubicin
ind1a,Doxo,0.1,1.051885792986545,Doxorubicin
ind1a,Doxo,0.1,1.2271056255959316,Doxorubicin
ind1a,Doxo,0.1,1.4228625913762052,Doxorubicin
ind1a,Doxo,0.5,0.6967235912554931,Doxorubicin
ind1a,Doxo,0.5,0.7695481263095436,Doxorubicin
ind1a,Doxo,0.5,0.830616899371419,Doxorubicin
ind1a,Doxo,0.5,1.0496699486380745,Doxorubicin
ind1a,Doxo,1,0.30816357419523505,Doxorubicin
ind1a,Doxo,1,0.4053751900545568,Doxorubicin
ind1a,Doxo,1,0.441783107331806,Doxorubicin
ind1a,Doxo,1,0.5554597541302776,Doxorubicin
ind1a,Doxo,5,0.33403184496623856,Doxorubicin
ind1a,Doxo,5,0.39390235165583076,Doxorubicin
ind1a,Doxo,5,0.5622167893539662,Doxorubicin
ind1a,Doxo,5,0.5788512170221912,Doxorubicin
ind1a,Doxo,10,0.42766782067193587,Doxorubicin
ind1a,Doxo,10,0.49076795784614713,Doxorubicin
ind1a,Doxo,10,0.5855705793977399,Doxorubicin
ind1a,Doxo,10,0.6680710693056372,Doxorubicin
ind1a,Doxo,50,0.0066066570216716134,Doxorubicin
ind1a,Doxo,50,0.02378495282017348,Doxorubicin
ind1a,Doxo,50,0.02420465823634847,Doxorubicin
ind1a,Doxo,50,0.08094883050320208,Doxorubicin
ind1a,Epi,0.01,0.6381002762593311,Epirubicin
ind1a,Epi,0.01,0.7342693822371127,Epirubicin
ind1a,Epi,0.01,0.781428172573914,Epirubicin
ind1a,Epi,0.01,1.061563216363957,Epirubicin
ind1a,Epi,0.05,0.6992454683453879,Epirubicin
ind1a,Epi,0.05,0.839673185105813,Epirubicin
ind1a,Epi,0.05,1.0351995713903026,Epirubicin
ind1a,Epi,0.05,1.0961782301991247,Epirubicin
ind1a,Epi,0.1,0.8642229049687467,Epirubicin
ind1a,Epi,0.1,0.9583536391566904,Epirubicin
ind1a,Epi,0.1,1.2343680474626548,Epirubicin
ind1a,Epi,0.1,1.273890242610446,Epirubicin
ind1a,Epi,0.5,0.6017133003281971,Epirubicin
ind1a,Epi,0.5,0.8195425636461404,Epirubicin
ind1a,Epi,0.5,0.8335651109751349,Epirubicin
ind1a,Epi,0.5,0.8391648588010606,Epirubicin
ind1a,Epi,1,0.35208423630747215,Epirubicin
ind1a,Epi,1,0.4647547694234037,Epirubicin
ind1a,Epi,1,0.4912179315184413,Epirubicin
ind1a,Epi,1,0.520491493123637,Epirubicin
ind1a,Epi,5,0.3588155750183583,Epirubicin
ind1a,Epi,5,0.4420593555782422,Epirubicin
ind1a,Epi,5,0.4983835724392384,Epirubicin
ind1a,Epi,5,0.9463220675944334,Epirubicin
ind1a,Epi,10,0.5379188712522046,Epirubicin
ind1a,Epi,10,0.5549023450258018,Epirubicin
ind1a,Epi,10,0.6683922311494328,Epirubicin
ind1a,Epi,10,0.697106277353191,Epirubicin
ind1a,Epi,50,0,Epirubicin
ind1a,Epi,50,0,Epirubicin
ind1a,Epi,50,0,Epirubicin
ind1a,Epi,50,0,Epirubicin
ind1a,Mito,0.01,0.681258449421031,Mitoxantrone
