"sigVDA24.ENTREZID","sigVDA24.SYMBOL","sigVDA24.logFC","sigVDA24.AveExpr","sigVDA24.t","sigVDA24.P.Value","sigVDA24.adj.P.Val","sigVDA24.B"
"1643","DDB2",-2.72104571034189,5.18884519152182,-20.4216599506019,1.3080025127986e-29,1.84219073902554e-25,57.0095496111481
"7803","PTP4A1",-1.99265795922093,7.66269998783862,-16.271216309936,2.44768471507076e-24,1.72365957635283e-20,45.0864282869249
"25861","WHRN",-4.19867758990306,3.77114261678351,-15.485994481277,3.03820882230863e-23,1.40599890497414e-19,42.5232918686741
"29965","CDIP1",-2.73524789655638,7.28743846094088,-15.4021807340086,3.99318064462975e-23,1.40599890497414e-19,42.3246217615361
"85459","CEP295",2.04164232896746,4.04604615086618,15.0562777741963,1.24515450350073e-22,3.02602181898864e-19,41.1359274831787
"4488","MSX2",-3.3115267674524,4.33222219276033,-15.0457918182118,1.28913170363049e-22,3.02602181898864e-19,41.135726326561
"56474","CTPS2",1.59606205271627,5.27732520710595,14.7920196089259,2.99872991979149e-22,6.03344459862047e-19,40.3253790434387
"56963","RGMA",-6.89795896800203,1.53838335967072,-14.3026743484456,1.5628215670652e-21,2.75134736881828e-18,38.3037371306484
"51191","HERC5",-4.21178630934732,1.21292691381954,-14.009300015925,4.26676456861194e-21,6.67701246492561e-18,37.4115471188478
"8337","H2AC18",-2.64797011609323,4.86192606642999,-13.9251237821328,5.70340361512393e-21,8.03267365154054e-18,37.411366243035
"8493","PPM1D",-1.96680710136223,5.52788590085733,-13.8562962433376,7.23570689737109e-21,9.26433599477949e-18,37.1708752752199
"9148","NEURL1",-2.96415223177451,2.63370474200478,-13.6585041920517,1.4385980056956e-20,1.68843452601807e-17,36.4242880073718
"723790","H2AC19",-2.62834744890048,4.86662344198049,-13.6268907915312,1.60636552435821e-20,1.74031169577393e-17,36.3865160500086
"55632","G2E3",2.88536957226303,3.11256489761471,13.581366102796,1.88333395471061e-20,1.89463395843887e-17,36.1020706269844
"100144748","KLLN",-4.29929133685541,2.55615742415872,-13.5336633924273,2.22555958413647e-20,2.0896520788652e-17,35.9739608763559
"57828","CATSPERG",-3.68008913293277,0.476859074495718,-13.4104977098351,3.42962551791093e-20,3.0189278621411e-17,35.2031799727047
"60509","AGBL5",-1.92450151119873,5.18377474211197,-13.3321729567342,4.51979144248167e-20,3.74451427505364e-17,35.3557907604771
"3628","INPP1",-2.65291096517068,4.22754542134584,-13.2022246342582,7.15731378433627e-20,5.60020040769956e-17,34.9086098128179
"27165","GLS2",-6.32866929257155,2.39252913932927,-13.120382945632,9.57106602824603e-20,7.09467862851669e-17,34.4895471681133
"51557","LGSN",-5.08912415443854,2.62614051265189,-13.0404428064315,1.27232284685641e-19,8.95969748756281e-17,34.2397488004524
"5198","PFAS",1.85273854804909,4.77458898073621,13.0147090201533,1.3946755302915e-19,9.35362388982167e-17,34.2490602130101
"8671","SLC4A4",2.64488576306496,5.20797915460493,12.989342996295,1.52691590764217e-19,9.77503801965105e-17,34.1595625390427
"83667","SESN2",-2.31837834193789,7.01912496210995,-12.859684023323,2.4292333271805e-19,1.48753574695696e-16,33.6797537170109
"9538","EI24",-2.10294759920956,7.49366074527982,-12.7264839135964,3.92282731217818e-19,2.30204582769656e-16,33.2098475262377
"100","ADA",-3.26855699160739,4.33265863698005,-12.6628621246259,4.93578323424523e-19,2.78062284284439e-16,32.9985935922651
"5564","PRKAB1",-1.95843953817403,5.3916083727789,-12.6255209697754,5.64949500912686e-19,3.05344895259915e-16,32.8438456955138
"57622","LRFN1",3.12168624745079,3.43266356651724,12.6157128681708,5.85367237433804e-19,3.05344895259915e-16,32.7633886678742
"5453","POU3F1",-8.20816971846545,1.8859779783306,-12.4944372494494,9.08899639537897e-19,4.57176518687562e-16,32.1845518306637
"121053","NOPCHAP1",-2.73248271470542,3.02873873460358,-12.4551304856974,1.04863077695276e-18,5.09272960779403e-16,32.2338547393799
"8079","MLF2",-1.69465852470909,8.1748174054034,-12.3456425145435,1.56337997452045e-18,7.33954785371535e-16,31.8448194241265
"8339","H2BC8",-4.90381978949799,1.93857708427709,-12.3086220726971,1.79001751803718e-18,8.13245378194696e-16,31.6366268526827
"5437","POLR2H",-2.10327849726885,5.16917118990824,-12.2285685189623,2.40019477499817e-18,1.05638572534607e-15,31.4099026407386
"642938","INSYN2A",-6.26322703735553,0.276319269377034,-12.2075423231441,2.59276504775615e-18,1.1065606949272e-15,31.1579149541191
"100294145","LOC100294145",-1.99104722861688,4.56534430108195,-12.1312509152156,3.43222726548679e-18,1.42174967079753e-15,31.0655001546714
"22837","COBLL1",-2.78922266944043,4.5284855118083,-12.0885183864322,4.01738611118347e-18,1.61659617114023e-15,30.9157444202393
"132","ADK",-1.61848445666196,5.17880879967672,-12.0336050289104,4.91975649089247e-18,1.92471806715915e-15,30.6910159681599
"4248","MGAT3",1.69990550879972,5.11152839959541,11.9861434633398,5.86317059593512e-18,2.23180796413919e-15,30.543529000267
"8797","TNFRSF10A",-4.84917962276335,3.03349523336292,-11.9309687237031,7.19208775537833e-18,2.6656148407039e-15,30.3357374744121
"55502","HES6",-3.72158704780707,3.30311279900644,-11.8946593234308,8.22868120514343e-18,2.97160887418564e-15,30.2184284320677
"26263","FBXO22",-1.67452505742801,5.85716448465967,-11.8758838357356,8.82257197808002e-18,3.10642759348197e-15,30.0994826567131
"55585","UBE2Q1",-0.936739630179589,6.40853027494511,-11.8551766960237,9.52786647895884e-18,3.27293832901601e-15,30.0152890996028
"84722","PSRC1",4.05560775732224,0.652448197168095,11.8259763032572,1.0620242073704e-17,3.56132117538206e-15,29.6905425570313
"8463","TEAD2",1.19093421747012,5.57903027069622,11.7742767550313,1.28737468564341e-17,4.21660117967483e-15,29.7377368054756
"57369","GJD2",5.94595839680722,1.01282918643966,11.7556739340182,1.37978180913511e-17,4.35030634707813e-15,29.4877108887844
"3268","AGFG2",2.21642408906174,3.01926084199037,11.7536997661043,1.38997291691647e-17,4.35030634707813e-15,29.6434304661432
"8930","MBD4",1.91386383963366,4.14853829444629,11.7371350969552,1.47853126564827e-17,4.49249560881941e-15,29.6450435454769
"199699","DAND5",5.00255609824942,0.28098783419464,11.7334132597835,1.49919975585425e-17,4.49249560881941e-15,29.3076273559259
"23312","DMXL2",1.36554189783836,4.81793753609291,11.693784954767,1.73819514720012e-17,5.10015426107635e-15,29.4654373528498
"148756","OVAAL",-5.28525785133649,2.34593424806153,-11.6820762136232,1.815911527405e-17,5.21944856162694e-15,29.4137815466515
"127544","RNF19B",-2.39845337332085,5.3792625890013,-11.6649638401556,1.93584510468612e-17,5.45288849087986e-15,29.3372478187949
"55125","CEP192",2.06615954799537,4.02027474244273,11.6187219554445,2.30146780790878e-17,6.35566129540927e-15,29.2088503710891
"124997","WDR81",-2.45529841518895,5.66384148488537,-11.5149567103794,3.39633439737668e-17,9.19884108704869e-15,28.768574458531
"57763","ANKRA2",-1.57740406498109,4.85865199285506,-11.48824332377,3.75500028537145e-17,9.97838189040971e-15,28.6844454023157
"8970","H2BC11",-3.66445283240288,1.62846401459549,-11.451951131923,4.30429953751347e-17,1.12262508678407e-14,28.5308426983086
"43","ACHE",-3.29184588741116,3.95387503331404,-11.3703957474997,5.85317741360307e-17,1.49883910351247e-14,28.2841093515423
"151534","LBX2-AS1",-3.93081632104907,-0.0660208223950993,-11.3645756312416,5.98316623877755e-17,1.50476630905255e-14,28.0762164053265
"105373311","LOC105373311",-3.34819027504412,2.42090549041278,-11.2818939211763,8.17779756453535e-17,2.02063334910379e-14,27.9309012417634
"284252","KCTD1",-1.61651806812128,5.27454105256793,-11.2685247883371,8.60224452310772e-17,2.08886227350774e-14,27.8438188097465
"54566","EPB41L4B",-4.39308379022966,1.56170429494044,-11.2536995961526,9.09894847978751e-17,2.17202695575131e-14,27.8022440314496
"5141","PDE4A",-4.04445522184525,1.7432485779818,-11.2408823474843,9.55163296078124e-17,2.24208664366072e-14,27.7601508210934
"6772","STAT1",-1.81695197140925,7.4643021522928,-11.1864072986952,1.17433067656003e-16,2.66986802940757e-14,27.5391384938749
"2232","FDXR",-2.86756581301319,6.40552132971439,-11.1841048265664,1.18463770320986e-16,2.66986802940757e-14,27.5283757974897
"441631","TSPAN11",-4.03877415219614,4.6300816000174,-11.1819701681349,1.19427496345269e-16,2.66986802940757e-14,27.5626185674308
"5333","PLCD1",-3.67374047181431,4.17794693274786,-11.1583218118475,1.30647670616853e-16,2.87506530151213e-14,27.4843839465844
"27184","DISC2",5.12893725949468,1.71626216279277,11.1385816016688,1.40823706765175e-16,3.0513247478165e-14,27.2787792052086
"8531","YBX3",-2.13560233971519,7.79837271731327,-11.1177406196574,1.52435973928277e-16,3.25289129819069e-14,27.2900703393813
"493869","GPX8",3.33906498049834,5.89653946870056,11.1052557688409,1.59849871683632e-16,3.36018745192877e-14,27.274549328638
"1943","EFNA2",3.07499547668997,1.55372155501145,11.0301510108786,2.12788479717975e-16,4.40722492404111e-14,26.8286803170904
"126820","DNAI3",-3.40994034147557,4.19333368721411,-10.9696576612099,2.68050812902582e-16,5.47134441872459e-14,26.7660299242361
"29901","SAC3D1",-2.18731818354938,4.64743579113754,-10.9543302666957,2.84217741861051e-16,5.71846096624434e-14,26.6854300147685
"28960","DCPS",2.24884369764148,2.75689508260992,10.9236372180344,3.19607792030738e-16,6.33993822952242e-14,26.5845561018254
"390660","ADAMTS7P1",-2.78511519354182,1.52371206648557,-10.8295954668563,4.5820540607426e-16,8.96300685993039e-14,26.2298790099747
"7155","TOP2B",0.939765150382447,7.63014889643793,10.8216768550305,4.72337817056781e-16,9.11288467866809e-14,26.1467933327333
"157506","RDH10",-2.19181119028576,5.90717076350307,-10.8140653915578,4.86335933539448e-16,9.16064545066189e-14,26.1138294807141
"3012","H2AC8",-4.22666794326119,2.14998925161853,-10.8132703768626,4.87821931837292e-16,9.16064545066189e-14,26.19542681423
"8266","UBL4A",1.73651789215559,5.21966742176014,10.7920055273864,5.29312739884286e-16,9.80900082701354e-14,26.0740727482681
"284080","PICART1",-4.58675971584241,-0.150862557963004,-10.7792994577249,5.55782951004024e-16,1.01657754310918e-13,25.9358867090424
"340526","RTL5",-2.2695674273882,5.58548679079306,-10.7279756790101,6.76999449046096e-16,1.222417979534e-13,25.7913383678195
"9001","HAP1",-4.27041590942515,1.2841913128603,-10.7204334550874,6.96931886961433e-16,1.23987407770388e-13,25.7853656316761
"6547","SLC8A3",-6.40986969184968,0.351776044383627,-10.7177099803565,7.04273829993685e-16,1.23987407770388e-13,25.7569541182139
