"","SampleID","sDrug","Conc","Mean","indv"
"175","ind3b","TRZ",1,1.08341509014846,"3"
"176","ind3b","VEH",0.01,1.16801814910842,"3"
"177","ind3b","VEH",0.05,1.00187223290805,"3"
"178","ind3b","VEH",0.1,0.923553216618035,"3"
"179","ind3b","VEH",0.5,1.01452604826819,"3"
"180","ind3b","VEH",1,0.859421470265201,"3"
"181","ind4a","DOX",0.01,1.04692197779299,"4"
"182","ind4a","DOX",0.05,0.958403723016475,"4"
"183","ind4a","DOX",0.1,0.831052845848764,"4"
"184","ind4a","DOX",0.5,0.831818075327042,"4"
"185","ind4a","DOX",1,0.468429213340928,"4"
"186","ind4a","EPI",0.01,1.07776105952809,"4"
"187","ind4a","EPI",0.05,1.03029196225454,"4"
"188","ind4a","EPI",0.1,0.879288472145614,"4"
"189","ind4a","EPI",0.5,0.835200500188888,"4"
"190","ind4a","EPI",1,0.501793399151953,"4"
"191","ind4a","DNR",0.01,1.01762204247097,"4"
"192","ind4a","DNR",0.05,1.01087099730348,"4"
"193","ind4a","DNR",0.1,0.919143487510835,"4"
"194","ind4a","DNR",0.5,0.560797256575229,"4"
"195","ind4a","DNR",1,0.385121194861085,"4"
"196","ind4a","MTX",0.01,0.8528704573193,"4"
"197","ind4a","MTX",0.05,0.933407455987539,"4"
"198","ind4a","MTX",0.1,0.805644419930134,"4"
"199","ind4a","MTX",0.5,0.94130394674804,"4"
"200","ind4a","MTX",1,0.725511043604835,"4"
"201","ind4a","TRZ",0.01,0.915344241089188,"4"
"202","ind4a","TRZ",0.05,1.02398104529045,"4"
"203","ind4a","TRZ",0.1,0.755343025240985,"4"
"204","ind4a","TRZ",0.5,0.855103361632467,"4"
"205","ind4a","TRZ",1,1.08130339851908,"4"
"206","ind4a","VEH",0.01,0.956972908316939,"4"
"207","ind4a","VEH",0.05,1.01080072961285,"4"
"208","ind4a","VEH",0.1,1.04478370498779,"4"
"209","ind4a","VEH",0.5,0.996993156080603,"4"
"210","ind4a","VEH",1,1.17507119802544,"4"
"211","ind4b","DOX",0.01,0.739171065214993,"4"
"212","ind4b","DOX",0.05,0.789543954530885,"4"
"213","ind4b","DOX",0.1,0.936061921879688,"4"
"214","ind4b","DOX",0.5,0.345793973866539,"4"
"215","ind4b","DOX",1,0.29915764411749,"4"
"216","ind4b","EPI",0.01,0.906392531356899,"4"
"217","ind4b","EPI",0.05,0.832692663635994,"4"
"218","ind4b","EPI",0.1,0.702039065074034,"4"
"219","ind4b","EPI",0.5,0.318998906511311,"4"
"220","ind4b","EPI",1,0.261568258171695,"4"
"221","ind4b","DNR",0.01,0.844102880052966,"4"
"222","ind4b","DNR",0.05,0.634652368032576,"4"
"223","ind4b","DNR",0.1,0.606441753994286,"4"
"224","ind4b","DNR",0.5,0.419750335397791,"4"
"225","ind4b","DNR",1,0.23345511890027,"4"
"226","ind4b","MTX",0.01,0.844102880052966,"4"
"227","ind4b","MTX",0.05,0.634652368032576,"4"
"228","ind4b","MTX",0.1,0.606441753994286,"4"
"229","ind4b","MTX",0.5,0.419750335397791,"4"
"230","ind4b","MTX",1,0.23345511890027,"4"
"231","ind4b","TRZ",0.01,1.00857487034245,"4"
"232","ind4b","TRZ",0.05,0.850088933832325,"4"
"233","ind4b","TRZ",0.1,0.966765919361897,"4"
"234","ind4b","TRZ",0.5,0.762691130795949,"4"
"235","ind4b","TRZ",1,0.777003910570877,"4"
"236","ind4b","VEH",0.01,0.987399768271601,"4"
"237","ind4b","VEH",0.05,1.00403588051266,"4"
"238","ind4b","VEH",0.1,0.868435675893643,"4"
"239","ind4b","VEH",0.5,0.962573282120081,"4"
"240","ind4b","VEH",1,0.920627952974461,"4"
"241","ind5a","DOX",0.01,1.03749032847999,"5"
"242","ind5a","DOX",0.05,0.9926203245717,"5"
"243","ind5a","DOX",0.1,0.743078651447225,"5"
"244","ind5a","DOX",0.5,0.816757899738005,"5"
"245","ind5a","DOX",1,0.509172562076829,"5"
"246","ind5a","EPI",0.01,1.08917597346942,"5"
"247","ind5a","EPI",0.05,1.06597655678019,"5"
"248","ind5a","EPI",0.1,0.74891948321728,"5"
"249","ind5a","EPI",0.5,0.796815799635903,"5"
"250","ind5a","EPI",1,0.384958929503638,"5"
"251","ind5a","DNR",0.01,1.1083470753584,"5"
"252","ind5a","DNR",0.05,0.956173517551267,"5"
"253","ind5a","DNR",0.1,0.734093245577777,"5"
"254","ind5a","DNR",0.5,0.783771170077785,"5"
"255","ind5a","DNR",1,0.384550887996335,"5"
"256","ind5a","MTX",0.01,1.04681797222418,"5"
"257","ind5a","MTX",0.05,1.04837056468725,"5"
"258","ind5a","MTX",0.1,0.741673290727375,"5"
"259","ind5a","MTX",0.5,0.814706239311524,"5"
"260","ind5a","MTX",1,0.448042359609218,"5"
"261","ind5a","TRZ",0.01,0.962000369927499,"5"
"262","ind5a","TRZ",0.05,0.904953949931874,"5"
"263","ind5a","TRZ",0.1,0.806935656523905,"5"
"264","ind5a","TRZ",0.5,0.915999338004083,"5"
"265","ind5a","TRZ",1,0.81298062069186,"5"
"266","ind5a","VEH",0.01,1.02318950447951,"5"
"267","ind5a","VEH",0.05,0.904414155277207,"5"
"268","ind5a","VEH",0.1,0.870531938571111,"5"
"269","ind5a","VEH",0.5,0.884352623158824,"5"
"270","ind5a","VEH",1,0.886869160372032,"5"
"271","ind5b","DOX",0.01,1.32382367704204,"5"
"272","ind5b","DOX",0.05,1.26984388557438,"5"
"273","ind5b","DOX",0.1,0.914848073064652,"5"
"274","ind5b","DOX",0.5,0.833176699958555,"5"
"275","ind5b","DOX",1,0.687018607432316,"5"
"276","ind5b","EPI",0.01,1.04083502997558,"5"
"277","ind5b","EPI",0.05,1.1633921424872,"5"
"278","ind5b","EPI",0.1,0.814164795890113,"5"
"279","ind5b","EPI",0.5,0.707082941749896,"5"
"280","ind5b","EPI",1,0.504668138842349,"5"
"281","ind5b","DNR",0.01,0.939153991198138,"5"
"282","ind5b","DNR",0.05,1.24041688806979,"5"
"283","ind5b","DNR",0.1,0.657745156925139,"5"
"284","ind5b","DNR",0.5,0.681942798658985,"5"
"285","ind5b","DNR",1,0.342381490844291,"5"
"286","ind5b","MTX",0.01,1.00023123212886,"5"
"287","ind5b","MTX",0.05,1.09243103993328,"5"
"288","ind5b","MTX",0.1,0.937263313042329,"5"
"289","ind5b","MTX",0.5,0.928414656214063,"5"
"290","ind5b","MTX",1,0.418095920336745,"5"
"291","ind5b","TRZ",0.01,0.992157846946889,"5"
"292","ind5b","TRZ",0.05,1.06956205901542,"5"
"293","ind5b","TRZ",0.1,0.634099535252246,"5"
"294","ind5b","TRZ",0.5,1.09457153475413,"5"
"295","ind5b","TRZ",1,1.01012367459786,"5"
"296","ind5b","VEH",0.01,1.04459678192554,"5"
"297","ind5b","VEH",0.05,0.972160378817943,"5"
"298","ind5b","VEH",0.1,1.05277932788359,"5"
"299","ind5b","VEH",0.5,1.14305588795557,"5"
"300","ind5b","VEH",1,1.19135521073228,"5"
"301","ind6a","DOX",0.01,0.62953866106445,"6"
"302","ind6a","DOX",0.05,1.0182265730224,"6"
"303","ind6a","DOX",0.1,0.961545845047013,"6"
"304","ind6a","DOX",0.5,0.777209464346494,"6"
"305","ind6a","DOX",1,0.627051480672525,"6"
"306","ind6a","EPI",0.01,0.791999409280077,"6"
"307","ind6a","EPI",0.05,0.973613526470331,"6"
"308","ind6a","EPI",0.1,0.900200088126387,"6"
"309","ind6a","EPI",0.5,0.723485896017699,"6"
"310","ind6a","EPI",1,0.537177452125769,"6"
"311","ind6a","DNR",0.01,0.885132179134708,"6"
"312","ind6a","DNR",0.05,0.94213050164359,"6"
"313","ind6a","DNR",0.1,0.764149180965731,"6"
"314","ind6a","DNR",0.5,0.734169361243476,"6"
"315","ind6a","DNR",1,0.549111723472342,"6"
"316","ind6a","MTX",0.01,0.90116434005925,"6"
"317","ind6a","MTX",0.05,0.988627098352281,"6"
"318","ind6a","MTX",0.1,1.10114242203263,"6"
"319","ind6a","MTX",0.5,0.977567648059904,"6"
"320","ind6a","MTX",1,0.697175801290191,"6"
"321","ind6a","TRZ",0.01,0.853123191012766,"6"
"322","ind6a","TRZ",0.05,0.958027793975737,"6"
"323","ind6a","TRZ",0.1,0.89758142027783,"6"
"324","ind6a","TRZ",0.5,0.937867623595983,"6"
"325","ind6a","TRZ",1,0.93930829989333,"6"
"326","ind6a","VEH",0.01,1.00155341573802,"6"
"327","ind6a","VEH",0.05,1.13898923022143,"6"
"328","ind6a","VEH",0.1,0.819418211240495,"6"
"329","ind6a","VEH",0.5,1.00740764869809,"6"
"330","ind6a","VEH",1,1.10310611063138,"6"
"331","ind6b","DOX",0.01,0.798897743514228,"6"
"332","ind6b","DOX",0.05,1.01688649080736,"6"
"333","ind6b","DOX",0.1,1.09444428845195,"6"
"334","ind6b","DOX",0.5,0.703918341757768,"6"
"335","ind6b","DOX",1,0.523675472477182,"6"
"336","ind6b","EPI",0.01,1.07066315850261,"6"
"337","ind6b","EPI",0.05,0.975862167408931,"6"
"338","ind6b","EPI",0.1,1.04600160048295,"6"
"339","ind6b","EPI",0.5,0.574589553700874,"6"
"340","ind6b","EPI",1,0.381936618809624,"6"
"341","ind6b","DNR",0.01,0.906263083430783,"6"
"342","ind6b","DNR",0.05,0.7795174574626,"6"
"343","ind6b","DNR",0.1,0.738435106733963,"6"
"344","ind6b","DNR",0.5,0.633486148661887,"6"
"345","ind6b","DNR",1,0.49129884988258,"6"
"346","ind6b","MTX",0.01,0.802182135793379,"6"
"347","ind6b","MTX",0.05,1.08453058981386,"6"
"348","ind6b","MTX",0.1,0.751000301845469,"6"
"349","ind6b","MTX",0.5,0.851706437835509,"6"
"350","ind6b","MTX",1,0.538439040335831,"6"
"351","ind6b","TRZ",0.01,0.791792989446634,"6"
"352","ind6b","TRZ",0.05,0.992423918008451,"6"
"353","ind6b","TRZ",0.1,0.879847954119487,"6"
"354","ind6b","TRZ",0.5,0.965207084361897,"6"
"355","ind6b","TRZ",1,1.12977961100741,"6"
"356","ind6b","VEH",0.01,0.993319329550868,"6"
"357","ind6b","VEH",0.05,0.930530575539569,"6"
"358","ind6b","VEH",0.1,0.93675986438013,"6"
"359","ind6b","VEH",0.5,1.00097370792681,"6"
"360","ind6b","VEH",1,1.40672392880799,"6"
