"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"122",22977,"ENSG00000162482","AKR7A3"
"123",210,"ENSG00000148218","ALAD"
"124",10840,"ENSG00000144908","ALDH1L1"
"125",8659,"ENSG00000159423","ALDH4A1"
"126",7915,"ENSG00000112294","ALDH5A1"
"127",501,"ENSG00000164904","ALDH7A1"
"128",64577,"ENSG00000118514","ALDH8A1"
"129",223,"ENSG00000143149","ALDH9A1"
"130",229,"ENSG00000136872","ALDOB"
"131",10195,"ENSG00000214160","ALG3"
"132",29929,"ENSG00000088035","ALG6"
"133",7840,"ENSG00000116127","ALMS1"
"134",200420,"ENSG00000290727","ALMS1P1"
"135",240,"ENSG00000275565","ALOX5"
"136",259173,"ENSG00000178038","ALS2CL"
"137",23600,"ENSG00000242110","AMACR"
"138",262,"ENSG00000123505","AMD1"
"139",57463,"ENSG00000181754","AMIGO1"
"140",273,"ENSG00000078053","AMPH"
"141",275,"ENSG00000145020","AMT"
"142",279,"ENSG00000243480","AMY2A"
"143",25847,"ENSG00000129055","ANAPC13"
"144",29945,"ENSG00000053900","ANAPC4"
"145",90806,"ENSG00000174606","ANGEL2"
"146",9068,"ENSG00000116194","ANGPTL1"
"147",10218,"ENSG00000171819","ANGPTL7"
"148",286,"ENSG00000029534","ANK1"
"149",150709,"ENSG00000151687","ANKAR"
"150",728780,"ENSG00000189045","ANKDD1B"
"151",56172,"ENSG00000154122","ANKH"
"152",54882,"ENSG00000131503","ANKHD1"
"153",54467,"ENSG00000001629","ANKIB1"
"154",51281,"ENSG00000144504","ANKMY1"
"155",57037,"ENSG00000106524","ANKMY2"
"156",57763,"ENSG00000164331","ANKRA2"
"157",253650,"ENSG00000180071","ANKRD18A"
"158",100289137,"ENSG00000180071","ANKRD18A"
"159",22852,"ENSG00000107890","ANKRD26"
"160",375248,"ENSG00000135976","ANKRD36"
"161",57730,"ENSG00000196912","ANKRD36B"
"162",400986,"ENSG00000174501","ANKRD36C"
"163",57182,"ENSG00000151458","ANKRD50"
"164",79998,"ENSG00000144031","ANKRD53"
"165",441869,"ENSG00000235098","ANKRD65"
"166",203286,"ENSG00000165138","ANKS6"
"167",55139,"ENSG00000163516","ANKZF1"
"168",50636,"ENSG00000146205","ANO7"
"169",84168,"ENSG00000169604","ANTXR1"
"170",118429,"ENSG00000163297","ANTXR2"
"171",195977,"ENSG00000274209","ANTXRL"
"172",301,"ENSG00000135046","ANXA1"
"173",307,"ENSG00000196975","ANXA4"
"174",308,"ENSG00000164111","ANXA5"
"175",309,"ENSG00000197043","ANXA6"
"176",8416,"ENSG00000143412","ANXA9"
"177",313,"ENSG00000136250","AOAH"
"178",26,"ENSG00000002726","AOC1"
"179",55435,"ENSG00000138660","AP1AR"
"180",1173,"ENSG00000161203","AP2M1"
"181",8546,"ENSG00000132842","AP3B1"
"182",10947,"ENSG00000070718","AP3M2"
"183",10717,"ENSG00000134262","AP4B1"
"184",9179,"ENSG00000221838","AP4M1"
"185",9907,"ENSG00000242802","AP5Z1"
"186",320,"ENSG00000276497","APBA1"
"187",54518,"ENSG00000077420","APBB1IP"
"188",323,"ENSG00000163697","APBB2"
"189",10307,"ENSG00000113108","APBB3"
"190",51107,"ENSG00000117362","APH1A"
"191",338,"ENSG00000084674","APOB"
"192",10930,"ENSG00000124701","APOBEC2"
"193",347,"ENSG00000189058","APOD"
"194",100505854,"ENSG00000214293","APTR"
"195",54840,"ENSG00000137074","APTX"
"196",360,"ENSG00000165272","AQP3"
"197",23237,"ENSG00000198576","ARC"
"198",374,"ENSG00000109321","AREG"
"199",378,"ENSG00000168374","ARF4"
"200",106144532,"ENSG00000272146","ARF4-AS1"
"201",57221,"ENSG00000112379","ARFGEF3"
"202",27236,"ENSG00000164144","ARFIP1"
"203",55843,"ENSG00000075884","ARHGAP15"
"204",83478,"ENSG00000138639","ARHGAP24"
"205",55160,"ENSG00000074964","ARHGEF10L"
"206",128272,"ENSG00000142632","ARHGEF19"
"207",26084,"ENSG00000277101","ARHGEF26"
"208",64283,"ENSG00000214944","ARHGEF28"
"209",445328,"ENSG00000288422","ARHGEF35"
"210",389337,"ENSG00000183111","ARHGEF37"
"211",84904,"ENSG00000137135","ARHGEF39"
"212",50649,"ENSG00000136002","ARHGEF4"
"213",7984,"ENSG00000284933","ARHGEF5"
"214",10425,"ENSG00000177479","ARIH2"
"215",285598,"ENSG00000175414","ARL10"
"216",10123,"ENSG00000188042","ARL4C"
"217",26225,"ENSG00000162980","ARL5A"
"218",10550,"ENSG00000144746","ARL6IP5"
"219",55156,"ENSG00000104442","ARMC1"
"220",83787,"ENSG00000282813","ARMC10"
"221",84071,"ENSG00000118690","ARMC2"
"222",405,"ENSG00000143437","ARNT"
"223",10109,"ENSG00000163466","ARPC2"
"224",10092,"ENSG00000162704","ARPC5"
"225",92714,"ENSG00000197070","ARRDC1"
"226",85026,"ENSG00000203993","ARRDC1-AS1"
"227",100129716,"ENSG00000281357","ARRDC3-AS1"
"228",153642,"ENSG00000164291","ARSK"
"229",419,"ENSG00000156219","ART3"
"230",9048,"ENSG00000117407","ARTN"
"231",64801,"ENSG00000173409","ARV1"
"232",427,"ENSG00000104763","ASAH1"
"233",55616,"ENSG00000282854","ASAP3"
"234",51665,"ENSG00000065802","ASB1"
"235",79754,"ENSG00000196372","ASB13"
"236",142685,"ENSG00000146809","ASB15"
"237",140458,"ENSG00000164122","ASB5"
"238",25842,"ENSG00000111875","ASF1A"
"239",9070,"ENSG00000129691","ASH2L"
"240",9311,"ENSG00000213199","ASIC3"
"241",440,"ENSG00000070669","ASNS"
"242",54529,"ENSG00000138381","ASNSD1"
"243",444,"ENSG00000198363","ASPH"
"244",151516,"ENSG00000244617","ASPRV1"
"245",28990,"ENSG00000034533","ASTE1"
"246",23245,"ENSG00000148219","ASTN2"
"247",55210,"ENSG00000197785","ATAD3A"
"248",83858,"ENSG00000160072","ATAD3B"
"249",219293,"ENSG00000215915","ATAD3C"
"250",1388,"ENSG00000228628","ATF6B"
"251",83734,"ENSG00000152348","ATG10"
"252",9140,"ENSG00000145782","ATG12"
"253",23192,"ENSG00000168397","ATG4B"
"254",84938,"ENSG00000125703","ATG4C"
"255",10533,"ENSG00000197548","ATG7"
"256",471,"ENSG00000138363","ATIC"
"257",64225,"ENSG00000119787","ATL2"
"258",84913,"ENSG00000168874","ATOH8"
"259",475,"ENSG00000177556","ATOX1"
"260",23200,"ENSG00000058063","ATP11B"
"261",79572,"ENSG00000133657","ATP13A3"
"262",84852,"ENSG00000203865","ATP1A1-AS1"
"263",477,"ENSG00000018625","ATP1A2"
"264",480,"ENSG00000132681","ATP1A4"
"265",533,"ENSG00000117410","ATP6V0B"
"266",155066,"ENSG00000171130","ATP6V0E2"
"267",401431,"ENSG00000204934","ATP6V0E2-AS1"
"268",523,"ENSG00000114573","ATP6V1A"
"269",245973,"ENSG00000143882","ATP6V1C2"
"270",90423,"ENSG00000250565","ATP6V1E2"
"271",534,"ENSG00000234920","ATP6V1G2"
"272",10396,"ENSG00000124406","ATP8A1"
"273",64756,"ENSG00000123472","ATPAF1"
"274",51374,"ENSG00000138085","ATRAID"
"275",84126,"ENSG00000164053","ATRIP"
"276",549,"ENSG00000148090","AUH"
"277",79000,"ENSG00000127423","AUNIP"
"278",550,"ENSG00000115307","AUP1"
"279",54998,"ENSG00000175756","AURKAIP1"
"280",26053,"ENSG00000158321","AUTS2"
"281",563,"ENSG00000160862","AZGP1"
"282",148789,"ENSG00000282880","B3GALNT2"
"283",8707,"ENSG00000162630","B3GALT2"
"284",8705,"ENSG00000235155","B3GALT4"
"285",126792,"ENSG00000176022","B3GALT6"
"286",10678,"ENSG00000170340","B3GNT2"
"287",93010,"ENSG00000156966","B3GNT7"
"288",2683,"ENSG00000086062","B4GALT1"
