"","ind1a","ind1b","ind2a","ind2b","ind3a","ind3b","ind4a","ind4b","ind5a","ind5b","ind6a","ind6b"
"DNR",0.945895230868223,0.859805302205883,0.984998276696626,9.15821232914432,2.43775913408298,1.02124134858199,1.23376090505668,0.562336960433429,0.744644055757013,1.4251118834466,0.832183327289044,0.642467045205244
"DOX",0.468375410655596,0.986826473392218,0.685871251938211,10.9894091652368,0.432835624775647,0.4022158474161,0.707069358128014,0.656778803364501,0.424027515916345,0.720103752545849,0.634436303090316,1.38092546257117
"EPI",0.475097173634439,0.432861284731713,0.588771143528985,0.651625969180807,15.8304055434349,0.706702398214079,0.764931555597127,0.872155051770247,0.479129962085598,0.591015711618421,0.612825978239587,1.85146986564817
"MTX",3.68395899002293,1.00726479532026,3.52893367024017,24.5618979756578,21.0367671822939,18.3732217394677,2.83274167939819,0.561241355378732,1.62380156105878,4.18078419616702,4.28534384435164,1.97623871441653
