"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"138",3703,"ENSG00000134910","STT3A"
"139",8407,"ENSG00000158710","TAGLN2"
"140",25851,"ENSG00000205356","TECPR1"
"141",387718,"ENSG00000175018","TEX36"
"142",29844,"ENSG00000276504","TFPT"
"143",29844,"ENSG00000276263","TFPT"
"144",29844,"ENSG00000276323","TFPT"
"145",29844,"ENSG00000276296","TFPT"
"146",29844,"ENSG00000273833","TFPT"
"147",29844,"ENSG00000276022","TFPT"
"148",29844,"ENSG00000275086","TFPT"
"149",29844,"ENSG00000274073","TFPT"
"150",29844,"ENSG00000278161","TFPT"
"151",29844,"ENSG00000105619","TFPT"
"152",7039,"ENSG00000163235","TGFA"
"153",100113407,"ENSG00000205269","TMEM170B"
"154",79639,"ENSG00000126106","TMEM53"
"155",7125,"ENSG00000101470","TNNC2"
"156",10452,"ENSG00000130204","TOMM40"
"157",125488,"ENSG00000168234","TTC39C"
"158",85451,"ENSG00000132478","UNK"
"159",51699,"ENSG00000111237","VPS29"
"160",22803,"ENSG00000088930","XRN2"
"161",133923,"ENSG00000164185","ZNF474"
"162",84527,"ENSG00000188321","ZNF559"
"163",57232,"ENSG00000221994","ZNF630"
"164",169834,"ENSG00000228623","ZNF883"
"165",9326,"ENSG00000278574","ZNHIT3"
"166",9326,"ENSG00000273611","ZNHIT3"
