"","indv","Daun","Doxo","Epi","Mito"
"1","ind1a",0.971101601968725,15.3725301266217,15.1261386917212,0.894080110428349
"2","ind1b",0.882610349098256,0.634388069183373,2.86103482604901,2.25105535408504
"3","ind2a",2.01838233963228,18.0746395766968,11.5074949393043,0.960261076794933
"4","ind2b",4.18971818215585,35.9268203180946,9.02056202083313,0.991900109495519
"5","ind3a",0.539452913240208,25.8028735553093,0.544852034212719,1.09121865367476
"6","ind3b",0.78969920443923,21.2817723708308,2.77242880705636,1.00787738285051
"7","ind4a",0.668267959399232,2.0335392655342,2.47837330247914,0.883309174417751
"8","ind4b",0.252826054376284,0.354228069452738,0.219512797715107,0.875754375691004
"9","ind5a",1.37330780044359,28.0833592003813,7.39016024533735,0.951010128241526
"10","ind5b",0.705079290893714,12.0087645982312,4.44319642191321,1.01015458682759
"11","ind6a",1.23516621234685,3.93976046568382,2.49187321192665,0.996719431185665
"12","ind6b",0.882360624246527,0.944244121155771,0.53760913080759,0.879671714369641
