"","RFLU","sample","plate","well","time"
"1",66106.5,"Epi_0.5",1,"B01",0
"2",74821.5,"Mito_0.1",1,"B02",0
"3",70958.5,"Veh_0.01",1,"B03",0
"4",70515.5,"Epi_05",1,"B04",0
"5",68277.5,"Veh_10",1,"B05",0
"6",70283.5,"Mito_0.5",1,"B06",0
"7",66649.5,"Daun_01",1,"B07",0
"8",67307.5,"Tras_05",1,"B08",0
"9",67179.5,"Doxo_0.5",1,"B09",0
"10",63302.5,"Daun_05",1,"B10",0
"11",67925.5,"Mito_0.05",1,"B11",0
"12",55627.5,"Tras_10",1,"B12",0
"13",60670.5,"Doxo_50",1,"C01",0
"14",72800.5,"Daun_05",1,"C02",0
"15",70965.5,"Epi_0.05",1,"C03",0
"16",63383.5,"Veh_0.05",1,"C04",0
"17",62578.5,"Mito_50",1,"C05",0
"18",61275.5,"Empty Blank",1,"C06",0
"19",63424.5,"Empty Blank",1,"C07",0
"20",62723.5,"Veh_10",1,"C08",0
"21",65494.5,"Epi_10",1,"C09",0
"22",68073.5,"Mito_50",1,"C10",0
"23",65905.5,"Tras_0.5",1,"C11",0
"24",62771.5,"Epi_10",1,"C12",0
"25",27778.5,"Empty Blank",1,"D01",0
"26",71260.5,"Doxo_0.5",1,"D02",0
"27",70526.5,"Daun_01",1,"D03",0
"28",66053.5,"Tras_0.05",1,"D04",0
"29",62268.5,"Empty Blank",1,"D05",0
"30",62905.5,"Epi_50",1,"D06",0
"31",61041.5,"Daun_0.05",1,"D07",0
"32",62510.5,"Doxo_05",1,"D08",0
"33",62764.5,"Veh_10",1,"D09",0
"34",59526.5,"Epi_0.01",1,"D10",0
"35",69373.5,"Doxo_50",1,"D11",0
"36",67317.5,"Daun_0.1",1,"D12",0
"37",62150.5,"Tras_0.01",1,"E01",0
"38",68975.5,"Mito_0.5",1,"E02",0
"39",67177.5,"Epi_01",1,"E03",0
"40",69257.5,"Veh_0.01",1,"E04",0
"41",67734.5,"Tras_01",1,"E05",0
"42",63808.5,"Veh_05",1,"E06",0
"43",63408.5,"Doxo_10",1,"E07",0
"44",63147.5,"Veh_05",1,"E08",0
