"sigVDX3.ENTREZID","sigVDX3.SYMBOL","sigVDX3.logFC","sigVDX3.AveExpr","sigVDX3.t","sigVDX3.P.Value","sigVDX3.adj.P.Val","sigVDX3.B"
"5514","PPP1R10",1.8281236609596,5.626744910146,8.61682499666624,2.80820889976703e-12,3.95508141443189e-08,15.9845552404752
"4899","NRF1",0.826658010423468,3.24796272112543,7.43775529408642,3.28933680193202e-10,2.31635097592053e-06,10.9521289665158
"51278","IER5",-1.0190877065517,5.94729948000738,-6.79157770246982,4.45066810502885e-09,2.08944031970755e-05,9.96743693324847
"23642","SNHG1",-1.32555075780251,5.35127435968601,-5.88182975773821,1.64622257564673e-07,0.000579634968885214,6.77149726935453
"5193","PEX12",0.959344806510206,3.12005349048709,5.75913480420884,2.65620317257027e-07,0.000748199309649595,5.62861835369572
"9304","SNORD22",-2.00374069571271,1.20095489637022,-5.63935164146538,4.22655369028346e-07,0.000992113036232537,4.17152032625649
"114821","ZBED9",1.03026769108389,2.4336762277658,5.28515766852994,1.64114453064343e-06,0.00330198279565458,3.97440788806151
"54971","BANP",0.757060026169713,3.21456175748568,5.125380089883,2.9981643143933e-06,0.0052782682754894,3.63533345765345
"284406","ZFP82",0.856307862515747,2.19065478578069,4.83352154718022,8.85861640555294e-06,0.0138627503839786,2.6225084843873
"29998","BICRA",0.795853127539448,3.33793142066892,4.75256245208028,1.19122516967105e-05,0.0167772152896471,2.71062705914176
"23394","ADNP",0.531429253026993,6.64257307707577,4.66068364425165,1.66303758453231e-05,0.0195294063804828,2.78750852200425
"60468","BACH2",1.12539908615577,3.98846581762416,4.66052945073439,1.66396532636888e-05,0.0195294063804828,2.62482200591956
"26512","INTS6",0.667825451996658,4.59219718687425,4.61685069597787,1.94813911563323e-05,0.0211058394650603,2.54974427719924
"84872","ZC3H10",0.814989170785323,2.25175552571295,4.57893186852346,2.23277390017898e-05,0.0212808463944521,1.87753742300263
"8603","FAM193A",0.772768408416527,4.74252353852065,4.57475607038149,2.2664917347116e-05,0.0212808463944521,2.43221246241889
"284309","ZNF776",0.620676662873244,3.82367756695441,4.32578440631254,5.47903036656811e-05,0.0471921869413698,1.62863103763897
"10743","RAI1",0.644622636938906,5.92676244635155,4.30236515124603,5.94651399904102e-05,0.0471921869413698,1.66310567622257
"27245","AHDC1",0.681487258545598,5.8092415307381,4.29830599616461,6.03137862073741e-05,0.0471921869413698,1.65096596093508
"283219","KCTD21",0.835268681881342,3.68593999705992,4.2820823181102,6.38243760811629e-05,0.0473106585645841,1.42012896724698
