"","V1","V2","V3","V4"
"653635",0.0215224603955036,0.0019218110815996,3.42950452864928e-05,0.97652143347761
"729737",0.0135478254325385,0.000837991937916566,7.92348572222155e-06,0.985606259143823
"102723897",0.0108746658183197,0.0783087404946306,0.000715796324522367,0.910100797362527
"100132287",0.766467824107032,6.08204599444372e-05,0.00012688720723025,0.233344468225793
"102465432",0.997272273965707,1.1360925879896e-06,0.000271667984627531,0.00245492195707775
"100133331",0.663887820344868,0.000245983962365415,0.000290232840829873,0.335575962851936
"643837",2.70288140370679e-06,0.000192641596887089,9.52117282302188e-10,0.999804654569592
"148398",1.44836797077424e-06,0.000315076770387051,1.37165772096897e-09,0.999683473489984
"26155",0.0071660778156572,0.00991446075724517,5.68906739819045e-05,0.982862570753116
"339451",0.994977684462132,6.01271599999646e-06,0.000793460469333463,0.00422284235253472
"57801",0.989314546342653,2.01885875667619e-05,0.00952259372291976,0.00114267134686021
"9636",5.24793523364441e-07,0.000306376836920122,1.4018897701742e-09,0.999693096967667
"375790",0.131311629252112,0.00116811003833761,0.000113674292363206,0.867406586417187
"54991",1.30499618237311e-10,0.000978439483219574,9.90831909887581e-11,0.999021560287198
"51150",0.97011368524157,0.000379053462623831,0.0137141007961634,0.0157931604996428
"126792",0.0171138077210379,0.000296188780059462,4.10518953726674e-06,0.982585898309365
"118424",5.54094533792698e-07,0.000292804860701341,2.81037231742689e-09,0.999706638234393
"6339",2.71692181737656e-10,0.411129655391572,3.10282297511553e-08,0.588870313308506
"116983",0.000460624868757151,0.111262795158358,4.58957967257582e-05,0.888230684176159
"126789",1.66440273345847e-09,0.000488343613232351,8.82115387666198e-11,0.999511654634153
"54973",0.617948438266209,0.00030532235189461,0.000440623473419583,0.381305615908477
"80772",0.0761834772074108,0.00497386493994666,0.000250776094816505,0.918591881757826
"83756",0.000450429785394919,0.0277444997074359,1.50213149587993e-05,0.971790049192211
"1855",0.956912297462827,3.65415093890129e-05,0.000499453788452879,0.0425517072393316
"54587",0.412424967873246,0.00142124463338945,0.00061186261078682,0.585541924882578
"54998",0.997219867860067,1.7695599094016e-06,0.00235186040028185,0.000426502179741416
"81669",0.0216882318611106,0.0214553501705516,0.000431102047614569,0.956425315920723
"148413",0.998503091290771,4.98805706943437e-07,0.000292837110837482,0.00120357279268482
"55052",0.998121532768306,5.1486503676609e-07,0.00018930846806006,0.00168864389859741
"64856",0.977266654369438,9.17132086164919e-05,0.0201096075517076,0.00253202487023798
"219293",1.52171700868065e-05,0.000924886613890942,2.28774531092111e-08,0.999059873338569
"83858",1.5703722843208e-05,0.000552059734056094,9.69773096515776e-09,0.99943222684537
"55210",2.78848242204579e-10,0.00196554465625143,2.43826316586697e-10,0.998034454821074
