"","ensembl_gene_id","gene_version","gene_name","qval"
"115","ENSG00000189337","16","KAZN",0.00745036
"116","ENSG00000132906","17","CASP9",1.25251e-25
"117","ENSG00000116138","12","DNAJC16",8.41673e-07
"118","ENSG00000116771","5","AGMAT",2.60247e-06
"119","ENSG00000235084","3","CHCHD2P6",0.00724858
"120","ENSG00000116786","11","PLEKHM2",0.0116872
"121","ENSG00000162461","7","SLC25A34",0.0355161
"122","ENSG00000233954","6","UQCRHL",0.011918
"123","ENSG00000179743","4","FLJ37453",1.80563e-05
"124","ENSG00000186510","11","CLCNKA",8.24863e-11
"125","ENSG00000232456","1","RP11-5P18.10",6.09138e-17
"126","ENSG00000184908","17","CLCNKB",1.23329e-06
"127","ENSG00000185519","8","FAM131C",1.714e-05
"128","ENSG00000142632","16","ARHGEF19",3.65936e-48
"129","ENSG00000237276","8","ANO7L1",1.68035e-14
"130","ENSG00000132881","11","RSG1",2.47953e-10
"131","ENSG00000037637","10","FBXO42",0.00763866
"132","ENSG00000226029","1","LINC01772",0.0385428
"133","ENSG00000219481","10","NBPF1",7.6736e-08
"134","ENSG00000186301","8","MST1P2",3.85292e-07
"135","ENSG00000215908","10","CROCCP2",3.48573e-05
"136","ENSG00000186715","10","MST1L",1.82351e-18
"137","ENSG00000228549","3","RP11-108M9.3",0.000878503
"138","ENSG00000235241","1","RP11-108M9.5",7.5505e-06
"139","ENSG00000238142","1","RP11-108M9.4",6.62577e-07
"140","ENSG00000058453","16","CROCC",1.26078e-29
"141","ENSG00000117122","13","MFAP2",8.66294e-18
"142","ENSG00000117118","9","SDHB",0.00153317
"143","ENSG00000117115","12","PADI2",1.32062e-19
"144","ENSG00000159339","13","PADI4",1.43834e-09
"145","ENSG00000074964","16","ARHGEF10L",0.0475844
"146","ENSG00000159423","16","ALDH4A1",3.50045e-10
"147","ENSG00000127463","13","EMC1",1.89334e-20
"148","ENSG00000053372","4","MRTO4",0.000354804
"149","ENSG00000162482","4","AKR7A3",0.000108115
"150","ENSG00000053371","12","AKR7A2",3.01081e-10
"151","ENSG00000040487","12","PQLC2",0.000121274
"152","ENSG00000173436","13","MINOS1",0.0207771
"153","ENSG00000162542","13","TMCO4",0.00267456
"154","ENSG00000169914","5","OTUD3",3.52172e-11
"155","ENSG00000188257","10","PLA2G2A",0.0116173
"156","ENSG00000127472","10","PLA2G5",1.132e-06
"157","ENSG00000162545","5","CAMK2N1",0.0229681
"158","ENSG00000090432","6","MUL1",6.42309e-10
"159","ENSG00000158825","5","CDA",8.9631e-18
"160","ENSG00000158828","7","PINK1",6.97848e-05
"161","ENSG00000117242","7","PINK1-AS",2.70032e-11
"162","ENSG00000117245","12","KIF17",0.0141811
"163","ENSG00000127483","17","HP1BP3",0.0153707
"164","ENSG00000075151","20","EIF4G3",0.000205041
"165","ENSG00000117298","14","ECE1",0.0380622
"166","ENSG00000227001","3","NBPF2P",9.18421e-25
"167","ENSG00000142794","18","NBPF3",1.13474e-62
"168","ENSG00000142798","17","HSPG2",0.000193369
"169","ENSG00000218510","6","LINC00339",1.17853e-103
"170","ENSG00000184677","16","ZBTB40",0.0186199
"171","ENSG00000125945","14","ZNF436",2.67634e-16
"172","ENSG00000249087","6","ZNF436-AS1",1.08611e-07
"173","ENSG00000204219","9","TCEA3",1.85952e-17
"174","ENSG00000088280","18","ASAP3",1.28343e-23
"175","ENSG00000011007","12","ELOA",0.033158
"176","ENSG00000117305","14","HMGCL",1.41335e-17
"177","ENSG00000179163","11","FUCA1",2.49018e-16
"178","ENSG00000142661","18","MYOM3",7.37899e-05
"179","ENSG00000185436","11","IFNLR1",7.9733e-05
"180","ENSG00000001460","17","STPG1",0.0103573
"181","ENSG00000184454","6","NCMAP",0.0272276
"182","ENSG00000133226","16","SRRM1",0.0413039
"183","ENSG00000169504","14","CLIC4",0.00477108
"184","ENSG00000261349","1","RP3-465N24.5",6.31672e-37
"185","ENSG00000187010","19","RHD",1.22001e-63
"186","ENSG00000224183","1","SDHDP6",1.41515e-07
"187","ENSG00000183726","10","TMEM50A",0.0142265
"188","ENSG00000238084","4","RP3-469D22.1",0.0316387
"189","ENSG00000188672","17","RHCE",1.30902e-29
"190","ENSG00000204178","9","TMEM57",0.0303042
"191","ENSG00000157978","11","LDLRAP1",4.03848e-11
"192","ENSG00000117643","14","MAN1C1",0.0368751
"193","ENSG00000162430","16","SELENON",0.00285463
"194","ENSG00000228172","5","RP1-317E23.3",2.4854e-23
"195","ENSG00000117640","17","MTFR1L",8.06591e-71
"196","ENSG00000127423","10","AUNIP",0.00013267
"197","ENSG00000182749","5","PAQR7",0.0441615
"198","ENSG00000158006","13","PAFAH2",0.00476106
"199","ENSG00000158008","9","EXTL1",3.64163e-06
"200","ENSG00000158014","14","SLC30A2",1.68952e-05
"201","ENSG00000197245","5","FAM110D",6.44788e-10
"202","ENSG00000236782","6","RP11-96L14.7",0.00242822
"203","ENSG00000142675","17","CNKSR1",1.21682e-22
"204","ENSG00000236155","6","RP11-231P20.2",2.63239e-06
"205","ENSG00000130695","14","CEP85",3.75253e-11
"206","ENSG00000142669","14","SH3BGRL3",0.000770062
"207","ENSG00000169442","8","CD52",8.21713e-30
"208","ENSG00000117682","16","DHDDS",0.0319105
"209","ENSG00000060642","10","PIGV",8.5395e-09
"210","ENSG00000175793","11","SFN",0.0261462
"211","ENSG00000090273","13","NUDC",7.73886e-07
"212","ENSG00000131910","4","NR0B2",0.00691637
"213","ENSG00000175707","8","KDF1",0.027784
"214","ENSG00000090020","10","SLC9A1",8.61809e-10
"215","ENSG00000186501","14","TMEM222",4.67773e-13
"216","ENSG00000142733","14","MAP3K6",9.67722e-06
"217","ENSG00000142748","12","FCN3",1.40749e-05
"218","ENSG00000000938","12","FGR",1.7501e-10
"219","ENSG00000225886","3","RP11-288L9.4",0.0053886
"220","ENSG00000117748","9","RPA2",4.44989e-73
"221","ENSG00000158161","15","EYA3",3.52207e-05
"222","ENSG00000126698","10","DNAJC8",0.0204592
"223","ENSG00000130770","17","ATPIF1",0.0138172
"224","ENSG00000270605","1","RP5-1092A3.4",9.0821e-65
"225","ENSG00000130766","4","SESN2",0.00306372
"226","ENSG00000204138","12","PHACTR4",0.00484504
"227","ENSG00000278274","1","SNORA61",0.0139268
"228","ENSG00000188060","7","RAB42",0.0240836
"229","ENSG00000162419","12","GMEB1",0.00564448
"230","ENSG00000277916","1","uc_338",0.0202792
"231","ENSG00000116353","15","MECR",2.32382e-11
"232","ENSG00000223382","4","LINC01778",0.00113381
"233","ENSG00000162512","15","SDC3",0.00118719
"234","ENSG00000168528","11","SERINC2",5.5827e-08
"235","ENSG00000162517","12","PEF1",0.000326192
"236","ENSG00000121775","17","TMEM39B",0.00714957
"237","ENSG00000182866","16","LCK",0.0146509
"238","ENSG00000225828","1","FAM229A",0.00349808
"239","ENSG00000162522","10","KIAA1522",0.0411753
"240","ENSG00000134684","10","YARS",0.0466567
"241","ENSG00000278966","2","RP5-1174N9.2",3.60587e-17
"242","ENSG00000217644","5","RP4-803A2.1",5.13719e-11
"243","ENSG00000239670","1","RP4-803A2.2",5.43868e-18
"244","ENSG00000270115","1","RP11-415J8.7",0.0253596
"245","ENSG00000189280","3","GJB5",0.00280229
"246","ENSG00000187513","8","GJA4",0.0264232
"247","ENSG00000230163","1","RP5-997D16.2",9.61865e-05
"248","ENSG00000163866","8","SMIM12",3.37378e-12
"249","ENSG00000197056","9","ZMYM1",7.19528e-05
"250","ENSG00000229994","1","RPL5P4",0.0436353
"251","ENSG00000142687","17","KIAA0319L",0.0242925
"252","ENSG00000142686","7","C1orf216",0.00114201
"253","ENSG00000092853","13","CLSPN",0.0143194
"254","ENSG00000092847","11","AGO1",0.0105952
"255","ENSG00000116871","15","MAP7D1",0.0301403
"256","ENSG00000054116","11","TRAPPC3",1.05904e-11
"257","ENSG00000214193","10","SH3D21",0.000687509
"258","ENSG00000142694","6","EVA1B",0.0125622
"259","ENSG00000116883","8","RP11-268J15.5",7.85174e-22
"260","ENSG00000196182","10","STK40",0.000799053
"261","ENSG00000116885","18","OSCP1",0.00918229
"262","ENSG00000116898","11","MRPS15",0.0212459
"263","ENSG00000233621","1","LINC01137",9.40058e-39
"264","ENSG00000163875","15","MEAF6",4.08701e-09
"265","ENSG00000163879","10","DNALI1",1.3034e-19
"266","ENSG00000134697","12","GNL2",3.45241e-05
"267","ENSG00000116922","14","C1orf109",0.000102416
"268","ENSG00000188786","9","MTF1",0.00360334
"269","ENSG00000204084","12","INPP5B",1.66344e-22
"270","ENSG00000183431","11","SF3A3",2.22874e-22
"271","ENSG00000183386","9","FHL3",3.06839e-09
"272","ENSG00000228436","2","RP5-864K19.4",0.000775813
"273","ENSG00000158315","10","RHBDL2",0.0424927
"274","ENSG00000168653","10","NDUFS5",5.37587e-43
"275","ENSG00000127603","23","MACF1",0.0450717
"276","ENSG00000183682","7","BMP8A",2.7897e-05
"277","ENSG00000237624","1","OXCT2P1",1.00238e-10
"278","ENSG00000182109","7","RP11-69E11.4",1.18239e-20
"279","ENSG00000243970","1","PPIEL",3.88669e-08
"280","ENSG00000090621","13","PABPC4",0.0348414
"281","ENSG00000116981","3","NT5C1A",1.25799e-11
"282","ENSG00000116983","12","HPCAL4",0.000227295
"283","ENSG00000084072","16","PPIE",6.52463e-36
"284","ENSG00000198754","5","OXCT2",3.09282e-14
"285","ENSG00000043514","15","TRIT1",5.58377e-26
"286","ENSG00000131238","16","PPT1",5.41533e-05
"287","ENSG00000259943","1","RP1-39G22.7",0.0497307
"288","ENSG00000187801","14","ZFP69B",0.0316823
"289","ENSG00000187815","9","ZFP69",1.31089e-12
"290","ENSG00000238287","1","RP11-656D10.3",7.71201e-20
"291","ENSG00000164002","11","EXO5",4.72926e-09
"292","ENSG00000117010","15","ZNF684",1.41677e-09
"293","ENSG00000171793","13","CTPS1",0.00104418
"294","ENSG00000235358","1","RP11-399E6.1",2.76589e-21
"295","ENSG00000204060","6","FOXO6",0.0203972
"296","ENSG00000127129","9","EDN2",3.2256e-08
"297","ENSG00000177181","14","RIMKLA",1.03352e-05
"298","ENSG00000066185","12","ZMYND12",1.82723e-13
"299","ENSG00000117385","15","P3H1",0.0339263
"300","ENSG00000164008","14","C1orf50",1.27126e-08
"301","ENSG00000228452","1","RP5-994D16.9",8.0503e-06
"302","ENSG00000177868","11","SVBP",4.08944e-30
"303","ENSG00000164010","13","ERMAP",1.07255e-08
"304","ENSG00000164011","17","ZNF691",0.00040309
"305","ENSG00000117394","20","SLC2A1",0.00150754
"306","ENSG00000227533","5","SLC2A1-AS1",1.15808e-40
"307","ENSG00000243710","7","CFAP57",2.02628e-22
"308","ENSG00000117395","12","EBNA1BP2",0.0458945
"309","ENSG00000066056","13","TIE1",2.41646e-10
"310","ENSG00000117400","16","MPL",0.0480323
"311","ENSG00000159479","16","MED8",0.000430892
"312","ENSG00000142949","16","PTPRF",0.000290301
"313","ENSG00000126091","19","ST3GAL3",2.66267e-06
"314","ENSG00000117407","16","ARTN",0.0201969
"315","ENSG00000237950","1","RP11-7O11.3",0.0499099
"316","ENSG00000117408","10","IPO13",0.00244004
"317","ENSG00000117410","13","ATP6V0B",1.14588e-16
"318","ENSG00000117411","16","B4GALT2",0.0112296
"319","ENSG00000178028","13","DMAP1",0.00240322
"320","ENSG00000117419","14","ERI3",0.00418515
"321","ENSG00000126106","13","TMEM53",0.0161144
"322","ENSG00000198520","10","C1orf228",0.0144235
"323","ENSG00000142945","12","KIF2C",0.0270252
"324","ENSG00000142937","11","RPS8",5.86773e-09
"325","ENSG00000222009","8","BTBD19",0.000404131
"326","ENSG00000070785","16","EIF2B3",0.0290481
"327","ENSG00000126088","13","UROD",2.12006e-05
"328","ENSG00000162415","6","ZSWIM5",0.00459132
"329","ENSG00000132781","17","MUTYH",0.00397148
"330","ENSG00000070759","16","TESK2",0.0293475
"331","ENSG00000280670","2","CCDC163",1.27967e-90
"332","ENSG00000132763","14","MMACHC",1.94449e-12
"333","ENSG00000117450","13","PRDX1",3.17487e-10
"334","ENSG00000159588","14","CCDC17",6.90932e-05
"335","ENSG00000234329","1","RP11-767N6.2",0.0019027
"336","ENSG00000230896","1","RP11-767N6.7",0.00828521
"337","ENSG00000197429","10","IPP",0.0184325
"338","ENSG00000086015","20","MAST2",1.37766e-17
"339","ENSG00000117461","14","PIK3R3",0.0296776
"340","ENSG00000171357","5","LURAP1",0.00491515
"341","ENSG00000085999","11","RAD54L",0.029705
"342","ENSG00000173660","11","UQCRH",0.016496
"343","ENSG00000117481","10","NSUN4",1.65355e-13
"344","ENSG00000117480","15","FAAH",6.89911e-08
"345","ENSG00000079277","19","MKNK1",2.64323e-08
"346","ENSG00000142961","14","MOB3C",2.83452e-09
"347","ENSG00000123472","12","ATPAF1",0.00085573
"348","ENSG00000142973","13","CYP4B1",1.31406e-21
"349","ENSG00000186377","7","CYP4X1",3.70507e-05
"350","ENSG00000186160","4","CYP4Z1",3.82498e-05
"351","ENSG00000162365","11","CYP4A22",0.0162543
"352","ENSG00000226252","1","RP1-18D14.7",0.0135208
"353","ENSG00000162367","11","TAL1",1.56559e-08
"354","ENSG00000186564","5","FOXD2",0.0360631
"355","ENSG00000269113","3","TRABD2B",0.000630588
"356","ENSG00000242267","6","SKINT1L",0.00428302
