"","probe","entrez","gene","pval.exp","odds.exp","pval.anthr","odds.exp.1","pval.expAnth","odds.expAnth","adjpval"
"196","201072_s_at",6599,"SMARCC1",0.439808425733357,0.983557102271383,0.00138374197290592,0.319616058476137,0.24349108909615,0.549949791076858,0.623945915808884
"197","212689_s_at",55818,"KDM3A",0.479670327476853,0.997093778968023,0.00134749119547872,0.306042266369096,0.245354535768981,1.92945551653977,0.624419601117878
"198","40446_at",5252,"PHF1",0.177313857768884,0.829127390592153,0.00151984566474106,0.320050748457124,0.245467676766569,0.565105030007175,0.624419601117878
"199","202645_s_at",4221,"MEN1",0.160210644733525,0.838872006711738,0.00155649074314235,0.33179055755493,0.247485330070179,0.578285830915102,0.625704653555036
"200","203874_s_at",6594,"SMARCA1",0.143516697567993,1.1955291425036,0.00130536641231083,0.310858551117041,0.247768270274304,1.71035473643595,0.625704653555036
"201","214509_at",8354,"HIST1H3I",0.20388033674638,1.29589131266825,0.00130079721308674,0.314814792730586,0.256627759001471,0.582839700564457,0.642748725741784
"202","219528_s_at",64919,"BCL11B",0.339700128281423,0.78157712453777,0.00138530497322986,0.371684500800365,0.257217574166688,1.66372097149952,0.642748725741784
"203","219960_s_at",51377,"UCHL5",0.478497805436356,1.01372881620789,0.00136966155720131,0.336207187027187,0.257283923216582,1.68276948744672,0.642748725741784
"204","217058_at",2778,"GNAS",0.531333887357648,1.07399151159696,0.00136725198858034,0.308738058944328,0.260778279071934,0.592688030874936,0.64860024757068
"205","217218_at",23063,"WAPAL",0.480318806763918,0.990053535264307,0.00141010145711606,0.300731698255575,0.264033210493554,0.577848727484619,0.64860024757068
"206","208445_s_at",9031,"BAZ1B",0.395663176939642,0.826473102968219,0.0011810811758588,0.347947181587698,0.264579322971494,1.67846626974881,0.64860024757068
"207","211221_at",10474,"TADA3",0.418295133591932,0.962347991372792,0.00128771017244855,0.304618205885387,0.264669604629265,0.597719152634837,0.64860024757068
"208","203132_at",5925,"RB1",0.0180123797779957,1.67287094146165,0.00138837176094742,0.392244200368252,0.265443844456036,0.593611751914219,0.64860024757068
"209","213867_x_at",60,"ACTB",0.509444216427951,0.986945836569954,0.00135942731941341,0.295286322689849,0.267257145396882,1.6897726714827,0.64860024757068
"210","201075_s_at",6599,"SMARCC1",0.441119990883524,1.04398212761985,0.00139608328999397,0.324090979248942,0.267599002230645,1.75210576246375,0.64860024757068
"211","208577_at",8352,"HIST1H3C",0.510198214177786,0.861065393238043,0.00130603762963111,0.357436369439766,0.269992302322066,1.6641839785569,0.64860024757068
"212","212723_at",23210,"JMJD6",0.0505175107982456,1.2812053748254,0.000790096604961543,0.30214293507344,0.270795059582035,1.52009899208227,0.64860024757068
"213","214300_s_at",7156,"TOP3A",0.158810028674127,1.38768257280557,0.00107639868043918,0.324215598539218,0.270918345619116,0.596869360992989,0.64860024757068
"214","204742_s_at",23047,"PDS5B",0.411511858482753,0.936975236883478,0.00125198326476939,0.302710697856778,0.273724903620689,0.562355774050534,0.64860024757068
"215","AFFX-HSAC07/X00351_3_at",60,"ACTB",0.196066655916045,1.19392307879268,0.00142085060241226,0.295109146530703,0.27483956665749,1.77543635502695,0.64860024757068
"216","213209_at",10629,"TAF6L",0.0816771339503217,0.774145309144312,0.00198280193978384,0.317930276626407,0.276017657578791,0.575815310158988,0.64860024757068
"217","218599_at",9985,"REC8",0.158668740701057,0.794184083848009,0.00188214744842763,0.277061025953181,0.276325082809032,0.523712274286624,0.64860024757068
"218","209702_at",79068,"FTO",0.526257588058733,1.00253025984829,0.00155915868289569,0.295891967862829,0.276626675956435,0.550041124294855,0.64860024757068
"219","220605_s_at",22933,"SIRT2",0.459775898570125,0.953370238160354,0.00166235260719272,0.312036306118752,0.277180771197489,0.526524558204668,0.64860024757068
"220","220070_at",79831,"KDM8",0.467723980854493,0.971036921137872,0.00129251238819617,0.304693739672777,0.278400759805436,0.607168192078024,0.64860024757068
"221","213984_at",23244,"PDS5A",0.184528987983306,1.16581430377127,0.00138723044253164,0.33049200032392,0.278536207591477,1.56315902418078,0.64860024757068
"222","208900_s_at",7150,"TOP1",0.509338113337497,1.00702461630419,0.00129428955352817,0.351816285727002,0.279167968825257,0.639585087551791,0.64860024757068
