"","entrezgene_id","ensembl_gene_id","hgnc_symbol"
"1",1933,"ENSG00000283391","EEF1B2"
"2",10818,"ENSG00000166225","FRS2"
"3",8200,"ENSG00000125965","GDF5"
"4",51020,"ENSG00000111906","HDDC2"
"5",3695,"ENSG00000139626","ITGB7"
"6",5916,"ENSG00000172819","RARG"
"7",80010,"ENSG00000178966","RMI1"
"8",64078,"ENSG00000197506","SLC28A3"
"9",23371,"ENSG00000111077","TNS2"
"10",283337,"ENSG00000139651","ZNF740"
"11",124903732,"ENSG00000260788","RP11-298D21.1
"
